year,total_rate
2030,9.8741356371796
2031,11.5815504053452
2032,13.5841076149103
2033,15.9327877437152
2034,18.6873630807528
2035,21.9179086002999
2036,25.7065704819667
2037,30.1496354595434
2038,35.3599511340014
2039,41.4697553483586
2040,48.6339817975237
2041,57.0341193294419
2042,66.88271396018399
2043,78.4286155146581
2044,91.9630849966868
2045,107.8268941746454
2046,126.4185651886621
2047,148.2039147831399
2048,173.7270842873775
2049,203.6232515295772
2050,238.63323270983238
2051,279.62018830000727
2052,327.5886436050311
2053,383.70601655388833
2054,449.3268054742347
2055,526.0195183766135
2056,615.5963097089435
2057,720.145113651454
2058,842.0638029062169
2059,984.0955310110828
2060,1149.3639007446964
2061,1341.4059015390062
2062,1564.1996309702324
2063,1822.18261484573
2064,2120.2550296821587
2065,2463.760293234715
2066,2858.4333472886187
2067,3310.3046092328573
2068,3825.5452290969743
2069,4410.237344152834
2070,5070.052098104941
2071,5809.819204256931
2072,6632.976015813742
2073,7540.892912721626
2074,8532.086864952485
2075,9601.357449985277
2076,10738.909464434462
2077,11929.561606312567
2078,13152.17647111572
2079,14379.474520534575
2080,15578.401609168839
2081,16711.192776066757
2082,17737.2042056976
2083,18615.469605583083
2084,19307.79053890494
2085,19782.022832069262
2086,20015.114837514167
2087,19995.428636448254
2088,19723.9549678688
2089,19214.208702233416
2090,18490.823442461584
2091,17587.090665642136
2092,16541.85185795835
2093,15396.21530398277
2094,14190.52973665302
2095,12961.931486756637
2096,11742.631904804171
2097,10558.968336992155
2098,9431.132736847656
2099,8373.428354194892
2100,7394.884102222267
2101,6500.067181355481
2102,5689.963970418683
2103,4962.835373226789
2104,4314.987539803962
2105,3741.4276566942867
2106,3236.3957362032047
2107,2793.7773325426538
2108,2407.4101344014666
2109,2071.3009839883225
2110,1779.7705122861075
2111,1527.5414453097412
2112,1309.7845963005761
2113,1122.1341974858815
2114,960.6818987968379
2115,821.9566623569724
2116,702.8959938545669
2117,600.8124910199077
2118,513.3585338192887
2119,438.4910514056657
2120,374.43763251471415
2121,319.6647553500114
2122,272.8485612723476
2123,232.84835102315628
2124,198.68281610885612
2125,169.5089102679581
2126,144.6032003291144
2127,123.3454998794364
2128,105.2045737705649
2129,89.7256998172255
2130,76.51988119176451
2131,65.2545155019548
2132,55.645341925463995
2133,47.449504401748605
2134,40.4595856460162
2135,34.4984829491949
2136,29.4150119381965
2137,25.0801384655501
2138,21.3837514819106
2139,18.2319011083153
2140,15.5444362161478
2141,13.2529847196561
2142,11.2992275845453
2143,9.6334243622494
2144,8.2131539753907
2145,7.0022396065570005
2146,5.9698309740456
2147,5.089621100094
2148,4.339177967391199
2149,3.6993742883118
2150,3.1539010398358003
2151,2.6888524996816003
2152,2.2923723037131
2153,1.9543515728486
2154,1.6661714649442
2155,1.4204836249924
2156,1.2110229631809
2157,1.0324480065849
2158,0.8802047675956001
2159,0.7504106685528
2160,0.6397555697028
2161,0.5454173820496
2162,0.4649901172637
2163,0.3964225422235
2164,0.3379658760735
2165,0.2881291971197
2166,0.2456414238389
2167,0.2094189005548
2168,0.1785377619665
2169,0.1522103723413
2170,0.129765238175
2171,0.1106298827487
2172,0.09431624578656456
2173,0.08040823566340784
2174,0.06855111734458158
2175,0.05844246481976347
2176,0.049824447777438496
2177,0.04247725564413176
2178,0.036213491124762874
2179,0.030873390718905717
