Country,Model,scenario,growth_rate_pct,resource_required_gt
UK,Logistic,minimum,7.387651823311881,1.0921269505029638
UK,Logistic,minimum,8.35110393923658,3.0666989555982336
UK,Logistic,minimum,9.84394243292116,1.4376511434846986
UK,Logistic,minimum,9.07115651121946,1.1787865589068725
UK,Logistic,minimum,9.542536329791961,1.405705510129342
UK,Logistic,minimum,7.658098556424001,0.8030875440222228
UK,Logistic,minimum,9.20304899197298,1.3044859503830497
UK,Logistic,minimum,9.00726081419124,2.347239370453966
UK,Logistic,minimum,9.9120069564162,1.257726443650447
UK,Logistic,minimum,8.64416111486492,1.0809847822232874
UK,Logistic,minimum,8.70561386970375,1.536767419042644
UK,Logistic,minimum,9.69332263400955,1.453337517402549
UK,Logistic,minimum,7.01130427761511,0.9964163022803736
UK,Logistic,minimum,6.528092896067831,0.8287209062624644
UK,Logistic,minimum,6.05476269864335,0.87936505328894
UK,Logistic,minimum,5.24708452072598,0.5967623203965913
UK,Logistic,minimum,8.786001433394249,1.6067987511521835
UK,Logistic,minimum,8.44850634819235,1.5111932438113893
UK,Logistic,minimum,7.59552426711677,2.5336589240915384
UK,Logistic,minimum,8.66582901728708,1.0220035939333092
UK,Logistic,minimum,5.171147594347,0.7870513689321255
UK,Logistic,minimum,8.36821075639054,1.0805923842751348
UK,Logistic,minimum,6.49404607547617,2.382903123571568
UK,Logistic,minimum,6.987329659634931,6.876609441762078
UK,Logistic,minimum,7.248535986497839,1.137123533003564
UK,Logistic,minimum,6.527518366556199,2.076801129109869
UK,Logistic,minimum,7.860212979778219,0.9999906873206922
UK,Logistic,minimum,7.698375341407469,4.446804161839567
UK,Logistic,minimum,8.63976374580054,1.1216564026841922
UK,Logistic,minimum,9.53175733134511,1.2388413328638224
UK,Logistic,minimum,7.85599674342227,4.008822858837763
UK,Logistic,minimum,9.056501724432579,1.105426765338251
UK,Logistic,minimum,5.805795369524,2.0131058637233377
UK,Logistic,minimum,9.099903465102791,1.2700529345425005
UK,Logistic,minimum,9.61823121709316,2.1263089327916735
UK,Logistic,minimum,8.9532745658802,1.347681357622616
UK,Logistic,minimum,6.74479597761051,2.040918152491526
UK,Logistic,minimum,3.56894062487767,1.1551220098024138
UK,Logistic,minimum,8.11837173336216,1.25228626631815
UK,Logistic,minimum,5.50802330223771,0.7549906339686622
UK,Logistic,minimum,7.06897849574358,6.934344449042364
UK,Logistic,minimum,8.36596866544048,1.573302353235702
UK,Logistic,minimum,9.73061887356369,1.7411822508766466
UK,Logistic,minimum,9.1467570443842,2.0203742517931853
UK,Logistic,minimum,6.493439194616429,0.916624389334792
