Region_no,Region_name,Q [Mt/y] for t= 10 y,Q [Mt/y] for t= 20 y,Q [Mt/y] for t= 30 y,Q [Mt/y] for t= 40 y,Q [Mt/y] for t= 50 y,Q [Mt/y] for t= 60 y,Q [Mt/y] for t= 70 y,Q [Mt/y] for t= 80 y,Q [Mt/y] for t= 90 y,Q [Mt/y] for t= 100 y,Q [Mt/y] for t= 110 y,Q [Mt/y] for t= 120 y,Q [Mt/y] for t= 130 y,Q [Mt/y] for t= 140 y,Q [Mt/y] for t= 150 y
15,Banggai-Sula,529,156,100,100,100,49,49,49,49,49,49,36,36,36,36
22,Bintuni,2025,2025,1156,756,756,529,529,240,240,240,240,240,240,240,240
35,Central Sumatra,324,169,121,90,56,56,56,56,36,36,36,36,16,16,16
50,East Java,2862,2862,1482,1482,625,900,625,625,625,441,441,441,441,210,210
83,Kutei,1332,576,420,324,324,169,169,169,169,90,90,90,90,90,90
118,North Java,380,156,132,81,81,64,56,36,42,42,36,36,30,30,25
120,North Sumatra,2809,2809,1482,1482,900,900,900,441,441,441,441,441,441,441,441
153,Salawati,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
174,South Sumatra,600,324,210,169,144,121,90,90,56,56,56,56,56,42,42
178,Sunda,72,36,36,36,36,16,16,16,16,16,16,16,16,16,16
180,Tarakan-Muara,380,240,100,100,64,49,49,49,49,36,30,25,25,25,25
