country,scenario,model,allocation_order,whole_period_pass,years_of_shortfall,first_shortfall_year,last_shortfall_year,shortfall_window_yr,max_gap_rate_mt_yr,max_gap_year,total_unmet_volume_gt,cumulative_demand_full_gt,cumulative_screened_full_gt,overall_r_cumulative
Australia,growth10,Gompertz,ascend,True,0,,,0,0.0,,0.0,48.5433,48.5433,1.0
Australia,growth10,Logistic,ascend,False,14,2149.0,2162.0,14,495.5276,2156.0,4.3897,425.2335,420.8438,0.9897
Brazil,growth10,Gompertz,ascend,True,0,,,0,0.0,,0.0,106.7701,106.7701,1.0
Brazil,growth10,Logistic,ascend,True,0,,,0,0.0,,0.0,294.4703,294.4703,1.0
Canada,growth10,Gompertz,ascend,True,0,,,0,0.0,,0.0,65.584,65.584,1.0
Canada,growth10,Logistic,ascend,False,82,2098.0,2179.0,82,6329.8448,2144.0,283.1789,375.0586,91.8797,0.245
China,growth10,Gompertz,ascend,True,0,,,0,0.0,,0.0,50.1665,50.1665,1.0
China,growth10,Logistic,ascend,False,63,2117.0,2179.0,63,5036.6085,2150.0,185.961,360.9715,175.0106,0.4848
EU,growth10,Gompertz,ascend,True,0,,,0,0.0,,0.0,59.9383,59.9383,1.0
EU,growth10,Logistic,ascend,True,0,,,0,0.0,,0.0,93.2304,93.2304,1.0
Indonesia,growth10,Gompertz,ascend,True,0,,,0,0.0,,0.0,5.5675,5.5675,1.0
Indonesia,growth10,Logistic,ascend,True,0,,,0,0.0,,0.0,15.5763,15.5763,1.0
Middle East,growth10,Gompertz,ascend,True,0,,,0,0.0,,0.0,22.2645,22.2645,1.0
Middle East,growth10,Logistic,ascend,True,0,,,0,0.0,,0.0,45.1102,45.1102,1.0
Thailand,growth10,Gompertz,ascend,True,0,,,0,0.0,,0.0,2.646,2.646,1.0
Thailand,growth10,Logistic,ascend,True,0,,,0,0.0,,0.0,10.2751,10.2751,1.0
UK,growth10,Gompertz,ascend,True,0,,,0,0.0,,0.0,31.8088,31.8088,1.0
UK,growth10,Logistic,ascend,True,0,,,0,0.0,,0.0,76.8665,76.8665,1.0
US,growth10,Gompertz,ascend,True,0,,,0,0.0,,0.0,262.6136,262.6136,1.0
US,growth10,Logistic,ascend,True,0,,,0,0.0,,0.0,500.6319,500.6319,1.0
Australia,ipcc_high,Gompertz,ascend,True,0,,,0,0.0,,0.0,383.817,383.817,1.0
Australia,ipcc_high,Logistic,ascend,False,20,2077.0,2096.0,20,8626.3998,2086.0,105.2788,502.3427,397.064,0.7904
Brazil,ipcc_high,Logistic,ascend,True,0,,,0,0.0,,0.0,299.7018,299.7018,1.0
Canada,ipcc_high,Gompertz,ascend,False,125,2055.0,2179.0,125,3337.5355,2107.0,257.0985,350.7132,93.6147,0.2669
Canada,ipcc_high,Logistic,ascend,False,47,2058.0,2104.0,47,14968.5942,2081.0,321.7162,403.8995,82.1832,0.2035
EU,ipcc_high,Gompertz,ascend,True,0,,,0,0.0,,0.0,88.004,88.004,1.0
EU,ipcc_high,Logistic,ascend,True,0,,,0,0.0,,0.0,93.6128,93.6128,1.0
Middle East,ipcc_high,Gompertz,ascend,True,0,,,0,0.0,,0.0,42.8804,42.8804,1.0
Middle East,ipcc_high,Logistic,ascend,True,0,,,0,0.0,,0.0,45.5067,45.5067,1.0
Thailand,ipcc_high,Gompertz,ascend,True,0,,,0,0.0,,0.0,8.7884,8.7884,1.0
Thailand,ipcc_high,Logistic,ascend,True,0,,,0,0.0,,0.0,10.4963,10.4963,1.0
UK,ipcc_high,Gompertz,ascend,True,0,,,0,0.0,,0.0,72.8708,72.8708,1.0
UK,ipcc_high,Logistic,ascend,True,0,,,0,0.0,,0.0,77.8942,77.8942,1.0
US,ipcc_high,Gompertz,ascend,True,0,,,0,0.0,,0.0,497.074,497.074,1.0
US,ipcc_high,Logistic,ascend,True,0,,,0,0.0,,0.0,504.7437,504.7437,1.0
Australia,ipcc_low,Gompertz,ascend,True,0,,,0,0.0,,0.0,7.6767,7.6767,1.0
Australia,ipcc_low,Logistic,ascend,True,0,,,0,0.0,,0.0,34.5285,34.5285,1.0
Canada,ipcc_low,Logistic,ascend,True,0,,,0,0.0,,0.0,0.6189,0.6189,1.0
China,ipcc_low,Gompertz,ascend,False,59,2121.0,2179.0,59,544.5223,2157.0,24.3256,202.3922,178.0666,0.8798
China,ipcc_low,Logistic,ascend,False,46,2081.0,2126.0,46,9169.3734,2103.0,226.5324,402.8863,176.3539,0.4377
EU,ipcc_low,Gompertz,ascend,True,0,,,0,0.0,,0.0,88.6825,88.6825,1.0
EU,ipcc_low,Logistic,ascend,True,0,,,0,0.0,,0.0,93.6135,93.6135,1.0
Indonesia,ipcc_low,Gompertz,ascend,True,0,,,0,0.0,,0.0,3.4812,3.4812,1.0
Indonesia,ipcc_low,Logistic,ascend,True,0,,,0,0.0,,0.0,14.0892,14.0892,1.0
Middle East,ipcc_low,Gompertz,ascend,True,0,,,0,0.0,,0.0,42.8988,42.8988,1.0
Middle East,ipcc_low,Logistic,ascend,True,0,,,0,0.0,,0.0,45.5067,45.5067,1.0
Thailand,ipcc_low,Gompertz,ascend,True,0,,,0,0.0,,0.0,8.759,8.759,1.0
Thailand,ipcc_low,Logistic,ascend,True,0,,,0,0.0,,0.0,10.4963,10.4963,1.0
UK,ipcc_low,Gompertz,ascend,True,0,,,0,0.0,,0.0,72.4097,72.4097,1.0
UK,ipcc_low,Logistic,ascend,True,0,,,0,0.0,,0.0,77.894,77.894,1.0
Australia,maximum,Gompertz,ascend,False,91,2089.0,2179.0,91,24957.5899,2179.0,1291.3612,1712.2927,420.9316,0.2458
