allocation_order,scenario,pathway,country,model,status,basin_match_basis,basin_count,peak_demand_mt_yr,allocated_peak_mt_yr
ascend,growth10,v8_fixedC_deterministic,Australia,Gompertz,ok,AssignedCountry == Australia,9,1018.2543059017684,1037.6644952696697
ascend,growth10,v8_fixedC_deterministic,Australia,Logistic,ok,AssignedCountry == Australia,9,8995.643670420279,8500.116024087458
ascend,growth10,v8_fixedC_deterministic,Brazil,Gompertz,ok,AssignedCountry == Brazil,10,1394.7129321496614,1410.416806600135
ascend,growth10,v8_fixedC_deterministic,Brazil,Logistic,ok,AssignedCountry == Brazil,10,5446.253643540346,5544.366811677575
ascend,growth10,v8_fixedC_deterministic,Canada,Gompertz,ok,AssignedCountry == Canada,3,1199.6800461631585,1207.4859013558707
ascend,growth10,v8_fixedC_deterministic,Canada,Logistic,ok,AssignedCountry == Canada,3,7284.418967472434,954.5741987710321
ascend,growth10,v8_fixedC_deterministic,China,Gompertz,ok,AssignedCountry == China,21,992.0541937835696,1002.5161991623445
ascend,growth10,v8_fixedC_deterministic,China,Logistic,ok,AssignedCountry == China,21,7285.685000535379,2249.0764618808976
ascend,growth10,v8_fixedC_deterministic,EU,Gompertz,ok,RegionGroup in ['Europe'] and AssignedCountry not in ['UK'],28,579.728916930102,592.9229450844717
ascend,growth10,v8_fixedC_deterministic,EU,Logistic,ok,RegionGroup in ['Europe'] and AssignedCountry not in ['UK'],28,1721.4794586100593,1736.7379377744196
ascend,growth10,v8_fixedC_deterministic,Indonesia,Gompertz,ok,AssignedCountry == Indonesia,11,73.1327657149048,73.84406408427962
ascend,growth10,v8_fixedC_deterministic,Indonesia,Logistic,ok,AssignedCountry == Indonesia,11,285.2203516579609,288.2000788164471
ascend,growth10,v8_fixedC_deterministic,Middle East,Gompertz,ok,RegionGroup in ['Middle East'],13,241.40441282995388,249.24879621892077
ascend,growth10,v8_fixedC_deterministic,Middle East,Logistic,ok,RegionGroup in ['Middle East'],13,828.599831400911,830.4829663001015
ascend,growth10,v8_fixedC_deterministic,Thailand,Gompertz,ok,AssignedCountry == Thailand,2,42.4574815651362,43.96784978900782
ascend,growth10,v8_fixedC_deterministic,Thailand,Logistic,ok,AssignedCountry == Thailand,2,205.5595022219987,212.93034816471447
ascend,growth10,v8_fixedC_deterministic,UK,Gompertz,ok,AssignedCountry == UK,6,381.8269909357975,382.04567235713813
ascend,growth10,v8_fixedC_deterministic,UK,Logistic,ok,AssignedCountry == UK,6,1415.2917469673366,1433.7381731556504
ascend,growth10,v8_fixedC_deterministic,US,Gompertz,ok,AssignedCountry in ['USA'],20,2749.316359847258,2775.7374203652967
ascend,growth10,v8_fixedC_deterministic,US,Logistic,ok,AssignedCountry in ['USA'],20,9082.716398834757,9107.218780760988
ascend,ipcc_high,v8_fixedC_deterministic,Australia,Gompertz,ok,AssignedCountry == Australia,9,4339.253848428503,4415.812645133883
ascend,ipcc_high,v8_fixedC_deterministic,Australia,Logistic,ok,AssignedCountry == Australia,9,20015.114837514167,11388.714991137254
ascend,ipcc_high,v8_fixedC_deterministic,Brazil,Gompertz,no_growth_path,AssignedCountry == Brazil,10,,0.0
ascend,ipcc_high,v8_fixedC_deterministic,Brazil,Logistic,ok,AssignedCountry == Brazil,10,13447.766567530212,20034.851675079262
