country,scenario,model,allocation_order,checkpoint,basin,region_no,allocated_rate_mt_yr,max_feasible_rate_mt_yr,utilisation_ratio,delivered_cumulative_gt,share_of_country_annual,share_of_country_cumulative,wells_used,step_rank,assigned_period_yr
Australia,growth10,Gompertz,ascend,2050,Adavale,1,0.2002,0.2002,1.0,0.004205,0.0108,0.0188,1,1,150
Australia,growth10,Gompertz,ascend,2050,Bowen-Surat,27,0.619,0.619,1.0,0.012998,0.0333,0.0581,1,2,150
Australia,growth10,Gompertz,ascend,2050,Canning,31,17.7412,55.2663,0.321,0.206434,0.9559,0.9231,42,3,130
Australia,growth10,Gompertz,ascend,2050,Gippsland,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,growth10,Gompertz,ascend,2050,Bass,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,growth10,Gompertz,ascend,2050,Perth,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,growth10,Gompertz,ascend,2100,Adavale,1,0.2002,0.2002,1.0,0.014217,0.0011,0.0034,1,1,150
Australia,growth10,Gompertz,ascend,2100,Bowen-Surat,27,0.619,0.619,1.0,0.043946,0.0034,0.0104,1,2,150
Australia,growth10,Gompertz,ascend,2100,Canning,31,55.2663,55.2663,1.0,2.538677,0.3052,0.601,42,3,130
Australia,growth10,Gompertz,ascend,2100,Gippsland,63,124.9823,177.3312,0.7048,1.627126,0.6903,0.3852,100,4,90
Australia,growth10,Gompertz,ascend,2100,Bass,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,growth10,Gompertz,ascend,2100,Perth,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,growth10,Gompertz,ascend,2179,Adavale,1,0.2002,0.2002,1.0,0.030037,0.0002,0.0006,1,1,150
Australia,growth10,Gompertz,ascend,2179,Bowen-Surat,27,0.619,0.619,1.0,0.092844,0.0006,0.0019,1,2,150
Australia,growth10,Gompertz,ascend,2179,Canning,31,55.2663,55.2663,1.0,6.904717,0.0543,0.1422,42,3,130
Australia,growth10,Gompertz,ascend,2179,Gippsland,63,177.3312,177.3312,1.0,15.452989,0.1742,0.3183,100,4,90
Australia,growth10,Gompertz,ascend,2179,Bass,17,308.6529,308.6529,1.0,16.746163,0.3031,0.345,306,5,60
