checkpoint,annual_demand_mt_yr,annual_screened_mt_yr,annual_gap_mt_yr,r_annual,cumulative_demand_gt,cumulative_screened_gt,cumulative_gap_gt,r_cumulative,annual_pass,cumulative_pass,overall_pass,first_shortfall_year,years_of_shortfall,max_gap_rate_mt_yr,max_gap_year,total_unmet_volume_gt,active_basins,total_basins,active_basin_fraction,total_wells,n_eff,largest_basin_share,dominant_basin_name,country,scenario,pathway,model,allocation_order
2050,18.5604,18.5604,0.0,1.0,0.2236,0.2236,0.0,1.0,True,True,True,,0,0.0,,0.0,3,6,0.5,44,1.09,0.9559,Canning,Australia,growth10,v8_fixedC_deterministic,Gompertz,ascend
2100,181.0679,181.0679,0.0,1.0,4.224,4.224,0.0,1.0,True,True,True,,0,0.0,,0.0,4,6,0.6667,144,1.76,0.6903,Gippsland,Australia,growth10,v8_fixedC_deterministic,Gompertz,ascend
2179,1018.2543,1018.2543,0.0,1.0,48.5433,48.5433,0.0,1.0,True,True,True,,0,0.0,,0.0,6,6,1.0,690,2.91,0.4676,Perth,Australia,growth10,v8_fixedC_deterministic,Gompertz,ascend
2050,18.5604,18.5604,0.0,1.0,0.2089,0.2089,0.0,1.0,True,True,True,,0,0.0,,0.0,3,9,0.3333,44,1.09,0.9559,Canning,Australia,growth10,v8_fixedC_deterministic,Logistic,ascend
2100,643.4793,643.4793,0.0,1.0,9.4155,9.4155,0.0,1.0,True,True,True,,0,0.0,,0.0,7,9,0.7778,971,3.82,0.3157,Bass,Australia,growth10,v8_fixedC_deterministic,Logistic,ascend
2179,4792.7858,4792.7858,0.0,1.0,425.2335,420.8438,4.3897,0.9897,True,False,False,2149.0,14,495.5276,2156.0,4.3897,9,9,1.0,3516,2.88,0.5233,Browse,Australia,growth10,v8_fixedC_deterministic,Logistic,ascend
2050,100.5161,100.5161,-0.0,1.0,1.2383,1.2383,-0.0,1.0,True,True,True,,0,0.0,,0.0,4,7,0.5714,94,1.88,0.6943,Espirito Santo,Brazil,growth10,v8_fixedC_deterministic,Gompertz,ascend
2100,639.6171,639.6171,0.0,1.0,17.9743,17.9743,0.0,1.0,True,True,True,,0,0.0,,0.0,7,7,1.0,788,3.64,0.3629,Solimoes,Brazil,growth10,v8_fixedC_deterministic,Gompertz,ascend
2179,1394.7129,1394.7129,0.0,1.0,106.7701,106.7701,0.0,1.0,True,True,True,,0,0.0,,0.0,7,7,1.0,788,1.95,0.6918,Campos,Brazil,growth10,v8_fixedC_deterministic,Gompertz,ascend
2050,100.5161,100.5161,-0.0,1.0,1.1266,1.1266,-0.0,1.0,True,True,True,,0,0.0,,0.0,4,8,0.5,94,1.88,0.6943,Espirito Santo,Brazil,growth10,v8_fixedC_deterministic,Logistic,ascend
2100,2769.9897,2769.9897,0.0,1.0,45.9322,45.9322,0.0,1.0,True,True,True,,0,0.0,,0.0,8,8,1.0,1791,2.61,0.4974,Barreirinhas-Para-Maranhao,Brazil,growth10,v8_fixedC_deterministic,Logistic,ascend
2179,385.4419,385.4419,0.0,1.0,294.4703,294.4703,0.0,1.0,True,True,True,,0,0.0,,0.0,6,8,0.75,325,2.98,0.4871,Solimoes,Brazil,growth10,v8_fixedC_deterministic,Logistic,ascend
2050,33.2172,33.2172,0.0,1.0,0.4022,0.4022,0.0,1.0,True,True,True,,0,0.0,,0.0,2,3,0.6667,463,1.02,0.9886,Scotian,Canada,growth10,v8_fixedC_deterministic,Gompertz,ascend
2100,287.0918,287.0918,0.0,1.0,7.0555,7.0555,0.0,1.0,True,True,True,,0,0.0,,0.0,2,3,0.6667,463,1.0,0.9987,Scotian,Canada,growth10,v8_fixedC_deterministic,Gompertz,ascend
2179,1199.68,1199.68,0.0,1.0,65.584,65.584,0.0,1.0,True,True,True,,0,0.0,,0.0,3,3,1.0,947,1.92,0.6051,Grand Banks,Canada,growth10,v8_fixedC_deterministic,Gompertz,ascend
2050,33.2172,33.2172,0.0,1.0,0.3727,0.3727,0.0,1.0,True,True,True,,0,0.0,,0.0,2,3,0.6667,343,1.02,0.9886,Scotian,Canada,growth10,v8_fixedC_deterministic,Logistic,ascend
2100,1129.0074,954.5742,174.4332,0.8455,16.778,16.4683,0.3097,0.9815,False,False,False,2098.0,3,174.4332,2100.0,0.3097,3,3,1.0,827,1.91,0.6109,Grand Banks,Canada,growth10,v8_fixedC_deterministic,Logistic,ascend
2179,1992.1001,954.5742,1037.5259,0.4792,375.0586,91.8797,283.1789,0.245,False,False,False,2098.0,82,6329.8448,2144.0,283.1789,3,3,1.0,827,1.91,0.6109,Grand Banks,Canada,growth10,v8_fixedC_deterministic,Logistic,ascend
2050,21.4368,21.4368,-0.0,1.0,0.258,0.258,-0.0,1.0,True,True,True,,0,0.0,,0.0,10,16,0.625,29,1.43,0.8345,Yilan-Yitong,China,growth10,v8_fixedC_deterministic,Gompertz,ascend
2100,200.7288,200.7288,-0.0,1.0,4.7726,4.7726,0.0,1.0,True,True,True,,0,0.0,,0.0,13,16,0.8125,204,3.42,0.3886,Nanxiang,China,growth10,v8_fixedC_deterministic,Gompertz,ascend
2179,992.0542,992.0542,0.0,1.0,50.1665,50.1665,0.0,1.0,True,True,True,,0,0.0,,0.0,16,16,1.0,839,3.94,0.3972,Ordos,China,growth10,v8_fixedC_deterministic,Gompertz,ascend
2050,21.4368,21.4368,-0.0,1.0,0.2401,0.2401,0.0,1.0,True,True,True,,0,0.0,,0.0,10,21,0.4762,29,1.43,0.8345,Yilan-Yitong,China,growth10,v8_fixedC_deterministic,Logistic,ascend
2100,756.3975,756.3975,-0.0,1.0,11.0606,11.0606,-0.0,1.0,True,True,True,,0,0.0,,0.0,18,21,0.8571,846,6.51,0.2134,Beibuwan,China,growth10,v8_fixedC_deterministic,Logistic,ascend
2179,2797.6797,2249.0765,548.6032,0.8039,360.9715,175.0106,185.961,0.4848,False,False,False,2117.0,63,5036.6085,2150.0,185.961,21,21,1.0,1862,7.39,0.2192,Tarim,China,growth10,v8_fixedC_deterministic,Logistic,ascend
2050,125.5123,125.5123,-0.0,1.0,1.5981,1.5981,-0.0,1.0,True,True,True,,0,0.0,,0.0,14,18,0.7778,149,4.54,0.3229,Norwegian,EU,growth10,v8_fixedC_deterministic,Gompertz,ascend
2100,493.1173,493.1173,0.0,1.0,17.3492,17.3492,0.0,1.0,True,True,True,,0,0.0,,0.0,18,18,1.0,526,7.13,0.2337,Caltanissetta,EU,growth10,v8_fixedC_deterministic,Gompertz,ascend
2179,450.6232,450.6232,0.0,1.0,59.9383,59.9383,0.0,1.0,True,True,True,,0,0.0,,0.0,18,18,1.0,526,6.9,0.2557,Caltanissetta,EU,growth10,v8_fixedC_deterministic,Gompertz,ascend
2050,125.5123,125.5123,-0.0,1.0,1.4148,1.4148,-0.0,1.0,True,True,True,,0,0.0,,0.0,13,20,0.65,119,3.85,0.36,Norwegian,EU,growth10,v8_fixedC_deterministic,Logistic,ascend
2100,1682.2328,1682.2328,0.0,1.0,40.3466,40.3466,-0.0,1.0,True,True,True,,0,0.0,,0.0,20,20,1.0,1067,4.74,0.3629,Northern North Sea,EU,growth10,v8_fixedC_deterministic,Logistic,ascend
2179,28.3947,28.3947,0.0,1.0,93.2304,93.2304,0.0,1.0,True,True,True,,0,0.0,,0.0,11,20,0.55,34,2.97,0.5209,Vienna,EU,growth10,v8_fixedC_deterministic,Logistic,ascend
2050,5.2914,5.2914,0.0,1.0,0.0655,0.0655,0.0,1.0,True,True,True,,0,0.0,,0.0,2,3,0.6667,17,1.3,0.8677,Sunda,Indonesia,growth10,v8_fixedC_deterministic,Gompertz,ascend
2100,33.2245,33.2245,0.0,1.0,0.9371,0.9371,0.0,1.0,True,True,True,,0,0.0,,0.0,3,3,1.0,53,1.37,0.842,Sunda,Indonesia,growth10,v8_fixedC_deterministic,Gompertz,ascend
2179,73.1328,73.1328,0.0,1.0,5.5675,5.5675,0.0,1.0,True,True,True,,0,0.0,,0.0,3,3,1.0,53,1.94,0.6079,North Java,Indonesia,growth10,v8_fixedC_deterministic,Gompertz,ascend
2050,5.2914,5.2914,0.0,1.0,0.0597,0.0597,0.0,1.0,True,True,True,,0,0.0,,0.0,2,5,0.4,17,1.3,0.8677,Sunda,Indonesia,growth10,v8_fixedC_deterministic,Logistic,ascend
2100,141.2626,141.2626,-0.0,1.0,2.3559,2.3559,0.0,1.0,True,True,True,,0,0.0,,0.0,4,5,0.8,115,2.7,0.4788,Central Sumatra,Indonesia,growth10,v8_fixedC_deterministic,Logistic,ascend
2179,22.3437,22.3437,0.0,1.0,15.5763,15.5763,-0.0,1.0,True,True,True,,0,0.0,,0.0,2,5,0.4,17,1.06,0.9687,Sunda,Indonesia,growth10,v8_fixedC_deterministic,Logistic,ascend
2050,30.4796,30.4796,0.0,1.0,0.3811,0.3811,0.0,1.0,True,True,True,,0,0.0,,0.0,3,4,0.75,38,1.03,0.9832,Sinjar,Middle East,growth10,v8_fixedC_deterministic,Gompertz,ascend
2100,156.7164,156.7164,-0.0,1.0,4.8509,4.8509,0.0,1.0,True,True,True,,0,0.0,,0.0,4,4,1.0,220,1.61,0.7492,Sabatayn,Middle East,growth10,v8_fixedC_deterministic,Gompertz,ascend
