Region_no,Region_name,Q [Mt/y] for t= 10 y,Q [Mt/y] for t= 20 y,Q [Mt/y] for t= 30 y,Q [Mt/y] for t= 40 y,Q [Mt/y] for t= 50 y,Q [Mt/y] for t= 60 y,Q [Mt/y] for t= 70 y,Q [Mt/y] for t= 80 y,Q [Mt/y] for t= 90 y,Q [Mt/y] for t= 100 y,Q [Mt/y] for t= 110 y,Q [Mt/y] for t= 120 y,Q [Mt/y] for t= 130 y,Q [Mt/y] for t= 140 y,Q [Mt/y] for t= 150 y
19,Beibuwan,1225,552,400,306,196,196,196,100,100,100,100,100,100,100,49
24,Bohai Bay,1521,930,625,441,342,342,256,210,210,169,144,144,144,144,121
26,Bose,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,Erlian,900,441,256,210,169,144,121,100,100,90,72,72,64,56,56
69,Hailar-Temtsag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,Huabei,2809,1482,900,600,441,441,324,324,256,256,210,210,210,210,144
76,Jianghan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,Jiuquan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,Junggar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,Nanxiang,210,210,210,144,81,81,81,81,81,81,81,42,42,42,42
127,Ordos,1156,529,380,240,240,156,156,156,132,132,100,100,100,81,81
136,Pearl River Mouth,1640,992,650,650,462,462,272,272,272,272,210,210,210,144,144
146,Qaidam,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
157,Sanshui,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
158,Santanghu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
166,Sichuan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
170,Songliao,702,289,225,156,132,110,90,81,72,64,64,56,49,42,42
177,Subei,1024,484,361,225,225,182,110,110,110,110,110,25,25,25,72
183,Tarim,2652,1406,870,870,600,600,420,420,324,324,256,256,256,210,210
192,Turpan,400,196,132,100,81,64,56,49,49,36,36,30,30,25,25
201,Yilan-Yitong,289,156,100,72,49,49,42,36,30,30,25,25,25,20,20
