year,total_rate
2030,79.2315421137431
2031,83.85797506149339
2032,88.7368791434322
2033,93.8798562145583
2034,99.29876863306609
2035,105.005707189576
2036,111.01295269105451
2037,117.3329305479214
2038,123.97815768489221
2039,130.9611810738972
2040,138.29450717276652
2041,145.99052154835888
2042,154.0613979697973
2043,162.5189962791084
2044,171.374748385761
2045,180.6395317915446
2046,190.3235301363234
2047,200.4360803670083
2048,210.9855062752791
2049,221.97893832778152
2050,233.42211992922952
2051,245.3192005171991
2052,257.672516190042
2053,270.48235891811015
2054,283.7467357841262
2055,297.4611201404469
2056,311.6181970567651
2057,326.2076059570127
2058,341.2156839019107
2059,356.62521355395774
2060,372.4151804517424
2061,388.5605448039996
2062,405.0320335709879
2063,421.7959591082984
2064,438.81407107959006
2065,456.0434486706885
2066,473.43644032666884
2067,490.9406582536162
2068,508.49903474574364
2069,526.0499469864739
2070,543.5274163029401
2071,560.861386907214
2072,577.9780879229148
2073,594.8004809717618
2074,611.2487937929498
2075,627.2411383151716
2076,642.6942093385276
2077,657.5240575692053
2078,671.6469282568685
2079,684.9801542000774
2080,697.443089506601
2081,708.9580683280672
2082,719.4513709388642
2083,728.8541781007425
2084,737.1034937403058
2085,744.143015643439
2086,749.923934193395
2087,754.4056401753865
2088,757.5563243369086
2089,759.353453694049
2090,759.784112441692
2091,758.8451986619402
2092,756.5434717069597
2093,752.8954490174046
2094,747.9271550718465
2095,741.6737289897062
2096,734.1789008795541
2097,725.4943502001659
2098,715.6789620688892
2099,704.7979995235092
2100,692.9222111637222
2101,680.126894343067
2102,666.4909341602953
2103,652.0958379488375
2104,637.0247838478731
2105,621.3617004421505
2106,605.1903924777897
2107,588.593725403009
2108,571.6528790529161
2109,554.44667829885
2110,537.0510060095529
2111,519.5383013057035
2112,501.9771438986521
2113,484.43192334045597
2114,466.96259031142773
2115,449.62448565413797
2116,432.4682417359771
2117,415.53974988096434
2118,398.88018704044856
2119,382.5260945493884
2120,366.5095017121776
2121,350.8580870486323
2122,335.59537027447203
2123,320.7409284592752
2124,306.3106302678409
2125,292.31688271977293
2126,278.7688854715829
2127,265.67288821371324
2128,253.0324473630578
2129,240.8486788048445
2130,229.1205039843382
2131,217.84488716009352
2132,207.0170621003687
2133,196.6307469292469
2134,186.67834620722428
2135,177.15113966250152
2136,168.0394572751772
2137,159.3328406590692
2138,151.02019088791448
2139,143.0899030774803
2140,135.5299881662195
2141,128.32818243820148
2142,121.47204540677289
2143,114.9490467292417
2144,108.7466428552224
2145,102.8523441271315
2146,97.2537730535503
2147,91.9387144673578
2148,86.8951582627999
2149,82.1113353811717
2150,77.5757476850867
2151,73.2771923279721
2152,69.2047811896873
2153,65.3479559119744
2154,61.6964990297946
2155,58.2405416570529
2156,54.9705681483746
2157,51.87741812288
2158,48.9522862016366
2159,46.1867197778438
2160,43.5726151080297
2161,41.1022119836612
2162,38.7680872156613
2163,36.5631471393641
2164,34.4806193244426
2165,32.514043653177
2166,30.6572629111153
2167,28.9044130165609
2168,27.249912999355402
2169,25.6884548249393
2170,24.2149931467026
2171,22.8247350578885
2172,21.513129903877
2173,20.275859206323798
2174,19.1088267423115
2175,18.0081488143079
2176,16.970144740224303
2177,15.9913275871197
2178,15.068395167083
2179,14.1982213094225
