year,total_rate
2030,21.7842081735969
2031,25.772134997617503
2032,30.3660075342613
2033,35.636228127106605
2034,41.658127327136505
2035,48.5118876376708
2036,56.282409261043696
2037,65.0591152259743
2038,74.9356940637076
2039,86.00977905809661
2040,98.3825640038236
2041,112.1583563504316
2042,127.4440695692505
2043,144.3486575366799
2044,162.9824946616285
2045,183.4567063786736
2046,205.8824554641091
2047,230.370190393284
2048,257.0288626299686
2049,285.96512030950277
2050,317.2824862370014
2051,351.0805284622442
2052,387.45403190893927
2053,426.4921796253442
2054,468.2777521858168
2055,512.8863536113386
2056,560.3856718962888
2057,610.8347818357842
2058,664.2834973516301
2059,720.7717799259126
2060,780.329209081273
2061,842.9745201088581
2062,908.715213452299
2063,977.5472393228022
2064,1049.4547602605119
2065,1124.4099934845226
2066,1202.3731340016784
2067,1283.2923585852182
2068,1367.1039099002464
2069,1453.7322592546975
2070,1543.090345701453
2071,1635.0798885179638
2072,1729.5917694510752
2073,1826.5064805423624
2074,1925.6946328475003
2075,2027.0175209348458
2076,2130.3277376952665
2077,2235.4698337175837
2078,2342.2810152812067
2079,2450.591874887888
2080,2560.2271481951393
2081,2671.006491221613
2082,2782.7452717650426
2083,2895.255369101886
2084,3008.345976218999
2085,3121.8243990563747
2086,3235.496847510206
2087,3349.169213251539
2088,3462.647829751843
2089,3575.7402102668716
2090,3688.255759908954
2091,3800.006458329586
2092,3910.8075099340513
2093,4020.477958952723
2094,4128.8412670953985
2095,4235.7258519113675
2096,4340.965584365197
2097,4444.400244513298
2098,4545.875934526213
2099,4645.245448644083
2100,4742.368599975578
2101,4837.1125043524
2102,4929.351821730839
2103,5018.9689558880555
2104,5105.854213393087
2105,5189.90592304091
2106,5271.030517122168
2107,5349.142576061763
2108,5424.164838096813
2109,5496.028175779277
2110,5564.671541181691
2111,5630.041881756826
2112,5692.094028855011
2113,5750.790560937275
2114,5806.101643539901
2115,5858.004848047472
2116,5906.484951318716
2117,5951.533718183297
2118,5993.149668790066
2119,6031.337832738897
2120,6066.109491870909
2121,6097.481913526491
2122,6125.47807600847
2123,6150.126387910116
2124,6171.460402885518
2125,6189.518531354184
2126,6204.3437505435195
2127,6215.983314182928
2128,6224.488463072521
2129,6229.91413765849
2130,6232.31869365677
2131,6231.763621677311
2132,6228.313271713591
2133,6222.034583276331
2134,6212.996821867284
2135,6201.27132240856
2136,6186.931240165754
2137,6170.0513096291315
2138,6150.707611746778
2139,6128.97734983673
2140,6104.938634442085
2141,6078.670277333774
2142,6050.251594810261
2143,6019.76222039171
2144,5987.281926958338
2145,5952.890458338486
2146,5916.667370311457
2147,5878.691880953192
2148,5839.042730219329
2149,5797.7980486300585
2150,5755.035234894138
2151,5710.830842285486
2152,5665.260473564777
2153,5618.398684220112
2154,5570.318893785217
2155,5521.093304980349
2156,5470.792830410137
2157,5419.487026543865
2158,5367.244034696792
2159,5314.130528726178
2160,5260.211669152469
2161,5205.551063414282
2162,5150.210731965615
2163,5094.25107992468
2164,5037.730873985883
2165,4980.7072243097955
2166,4923.235571109966
2167,4865.369675660507
2168,4807.161615454039
2169,4748.661783245924
2170,4689.918889727558
2171,4630.97996957888
2172,4571.89039065792
2173,4512.693866093258
2174,4453.432469053515
2175,4394.146649976481
2176,4334.875256049016
2177,4275.655552737577
2178,4216.523247177854
2179,4157.512513240726
