Region_no,Region_name,Q [Mt/y] for t= 10 y,Q [Mt/y] for t= 20 y,Q [Mt/y] for t= 30 y,Q [Mt/y] for t= 40 y,Q [Mt/y] for t= 50 y,Q [Mt/y] for t= 60 y,Q [Mt/y] for t= 70 y,Q [Mt/y] for t= 80 y,Q [Mt/y] for t= 90 y,Q [Mt/y] for t= 100 y,Q [Mt/y] for t= 110 y,Q [Mt/y] for t= 120 y,Q [Mt/y] for t= 130 y,Q [Mt/y] for t= 140 y,Q [Mt/y] for t= 150 y
1,Adavale,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,Bass,1225,784,552,400,306,306,240,196,196,156,156,132,132,100,100
25,Bonaparte,3192,1640,961,650,650,650,462,462,462,272,272,272,272,272,272
27,Bowen-Surat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,Browse,2916,2916,1521,1521,930,930,930,625,625,342,342,342,342,342,342
31,Canning,650,272,182,182,121,90,81,72,64,72,64,42,42,42,36
63,Gippsland,812,552,400,306,306,196,196,196,100,100,100,100,100,100,100
113,North Carnarvon,3481,3481,1722,1722,1024,1024,1024,676,676,676,676,484,484,484,484
139,Perth,1369,870,576,420,324,256,256,169,169,169,169,121,121,121,121
