year,total_rate
2030,46.822339251108204
2031,52.469263599364496
2032,58.7896738237366
2033,65.86195735679989
2034,73.7731281657224
2035,82.6196474829727
2036,92.5082882746793
2037,103.5570355157054
2038,115.89601044683829
2039,129.6684020562522
2040,145.03138285286
2041,162.1569783626148
2042,181.232850447744
2043,202.46294329161609
2044,226.0679274979142
2045,252.2853620632654
2046,281.369475934733
2047,313.5904505523265
2048,349.2330625364179
2049,388.5945221912864
2050,431.98131991779957
2051,479.70487075394817
2052,532.0757296933846
2053,589.3961407553453
2054,651.9506857147827
2055,719.9948198843523
2056,793.7411294656341
2057,873.3432257358111
2058,958.8773139695064
2059,1050.3216470106313
2060,1147.5342999503496
2061,1250.2299840501223
2062,1357.9569482613838
2063,1470.0753786251275
2064,1585.7390697354117
2065,1703.8824639219504
2066,1823.2153741985285
2067,1942.2277571355428
2068,2059.2067099203628
2069,2172.267370433229
2070,2279.398565421037
2071,2378.5228897370357
2072,2467.5694788352675
2073,2544.556193451575
2074,2607.676465431018
2075,2655.3848886440533
2076,2686.4750070992263
2077,2700.1428299625136
2078,2696.0304681331736
2079,2674.2458880701597
2080,2635.356931374049
2081,2580.360163149903
2082,2510.6274466912137
2083,2427.835070707665
2084,2333.8815316021723
2085,2230.8005728051457
2086,2120.675816606589
2087,2005.5624196831218
2088,1887.4198480508712
2089,1768.0583359952607
2090,1649.1000857524564
2091,1531.9549504930237
2092,1417.8093279009126
2093,1307.6263159854793
2094,1202.1548338447203
2095,1101.9453385598729
2096,1007.369907140995
2097,918.6447276008596
2098,835.8533907648731
2099,758.9697420260261
2100,687.879402397017
2101,622.3993774180316
2102,562.29542901698
2103,507.2970863750803
2104,457.1103202389998
2105,411.4280074060655
2106,369.93837630469864
2107,332.33165892969555
2108,298.3051864959257
2109,267.56716262260187
2110,239.8393340245417
2111,214.8587587481296
2112,192.37884905840568
2113,172.16984236627238
2114,154.0188305609758
2115,137.72945670248978
2116,123.12136873761379
2117,110.0295029440019
2118,98.30325519167
2119,87.8055857278001
2120,78.4120928507556
2121,70.0100823198824
2122,62.4976524144779
2123,55.782808980389895
2124,49.782620373206
2125,44.4224187313859
2126,39.6350513224198
2127,35.360183654340005
2128,31.543654510244398
2129,28.1368819408194
2130,25.096318453087
2131,22.3829530920083
2132,19.961857767438598
2133,17.8017749856302
2134,15.8747440649466
2135,14.1557629198129
2136,12.6224825619126
2137,11.254931575145301
2138,10.0352679564975
2139,8.9475558681512
2140,7.9775650085048
2141,7.1125904755054
2142,6.3412911598548005
2143,5.653544865586
2144,5.0403185087602
2145,4.4935518900948
2146,4.0060536737222
2147,3.5714083311186
2148,3.1838929268547
2149,2.8384027310766
2150,2.5303847428908
2151,2.2557782996178
2152,2.0109620295338
2153,1.7927064807692001
2154,1.5981318271668
2155,1.424670113432
2156,1.2700315575015
2157,1.1321744782434
2158,1.0092784616636001
2159,0.8997204194505
2160,0.8020532301402999
2161,0.7149866859152
2162,0.6373704974756
2163,0.5681791356635
2164,0.5064983121583001
2165,0.451512922665
2166,0.4024962948767
2167,0.35880060046400003
2168,0.31984830533659997
2169,0.2851245460356
2170,0.254170332169
2171,0.2265764854585
2172,0.2019782358204
2173,0.1800504032514
2174,0.1605031021836
2175,0.1430779116495
2176,0.1275444608469
2177,0.1136973850507
2178,0.1013536117836
2179,0.090349941365527
