Country ,Growth,Storage ,Rate,Global,Type
US,11.4,506,1.04,0.1,Target
US,11.4,506,1.04,0.2,Target
US,11.4,506,1.04,0.3,Target
US,11.4,506,1.04,0.4,Target
US,11.4,506,1.04,0.5,Target
US,11.4,506,1.04,0.6,Target
US,11.4,506,1.04,0.7,Target
US,11.4,506,1.04,0.8,Target
China,24,403,0.88,0.1,Target
China,24,403,0.88,0.2,Target
China,24,403,0.88,0.3,Target
China,24,403,0.88,0.4,Target
China,24,403,0.88,0.5,Target
China,24,403,0.88,0.6,Target
China,24,403,0.88,0.7,Target
China,24,403,0.88,0.8,Target
UK,14.8,78,0.175,0.1,Target
UK,14.8,78,0.175,0.2,Target
UK,14.8,78,0.175,0.3,Target
UK,14.8,78,0.175,0.4,Target
UK,14.8,78,0.175,0.5,Target
UK,14.8,78,0.175,0.6,Target
UK,14.8,78,0.175,0.7,Target
UK,14.8,78,0.175,0.8,Target
US,2.323001849,4.393131138,0.018910917,0.1,Modelled
US,4.093105182,7.492849812,0.056737939,0.2,Modelled
US,1.680681766,5.599779445,0.01612543,0.2,Modelled
US,4.902012945,6.36750367,0.062493595,0.2,Modelled
US,4.158484213,5.504668259,0.0449461,0.2,Modelled
US,3.153439833,4.854816632,0.029187607,0.2,Modelled
US,4.358450831,7.578912183,0.062055441,0.2,Modelled
US,3.49594955,7.386644848,0.045840205,0.2,Modelled
US,3.51259519,4.50748016,0.030031256,0.2,Modelled
US,4.041419104,13.22511416,0.072446822,0.2,Modelled
US,2.618536996,7.622313352,0.032209222,0.2,Modelled
US,6.017520031,6.385709619,0.079334109,0.2,Modelled
US,3.32037886,9.578196535,0.048671959,0.2,Modelled
US,4.789354291,7.578912183,0.070129939,0.2,Modelled
US,5.181622989,9.020789442,0.087804725,0.2,Modelled
US,5.137374301,5.349725925,0.054733747,0.2,Modelled
US,6.04210844,6.36750367,0.079299061,0.2,Modelled
US,3.038559211,5.647949534,0.032154355,0.2,Modelled
US,2.425657629,4.827173487,0.021740702,0.2,Modelled
US,2.882778463,5.631846972,0.030160891,0.2,Modelled
US,4.638928172,4.995425073,0.045282854,0.2,Modelled
US,3.600131521,7.30276577,0.047265477,0.2,Modelled
US,1.810929447,4.691300898,0.015422232,0.2,Modelled
US,4.705829177,4.981182888,0.045916995,0.2,Modelled
US,3.714164802,8.186265845,0.05253372,0.2,Modelled
US,4.840623885,5.304099318,0.050916869,0.2,Modelled
US,5.389226316,6.877778308,0.075203346,0.2,Modelled
US,3.944180052,14.24421227,0.0714929,0.2,Modelled
US,5.361735541,8.256685253,0.086566856,0.2,Modelled
US,3.829930501,6.936941923,0.049406743,0.2,Modelled
US,5.034641212,7.428944985,0.073631327,0.2,Modelled
US,1.985506957,4.546254137,0.01655315,0.2,Modelled
US,3.919305509,5.199144821,0.039781954,0.2,Modelled
US,3.446057247,8.617973549,0.048787687,0.2,Modelled
US,3.022964125,8.817081422,0.041370985,0.2,Modelled
US,4.57208465,5.380361503,0.048780133,0.2,Modelled
US,5.183324407,7.016619172,0.072952739,0.2,Modelled
US,2.826289338,7.91054312,0.036114199,0.2,Modelled
US,4.24713559,7.30276577,0.05845253,0.2,Modelled
US,3.474488282,5.61579032,0.037319583,0.2,Modelled
US,6.088682328,5.928845845,0.073623096,0.2,Modelled
US,5.762071559,5.696533989,0.066517977,0.2,Modelled
US,4.726789174,8.99507076,0.077045374,0.2,Modelled
US,2.61765466,7.117503918,0.031152192,0.2,Modelled
US,4.080855468,4.65128985,0.036404386,0.2,Modelled
US,7.325844803,8.766877288,0.13689574,0.2,Modelled
US,5.183825372,12.13949373,0.102842292,0.2,Modelled
US,4.857043275,7.261184094,0.069088358,0.2,Modelled
US,5.110099488,7.776184053,0.077662769,0.2,Modelled
US,4.612641699,9.855606658,0.078073119,0.2,Modelled
US,3.792599199,5.038396421,0.037021402,0.2,Modelled
US,4.980249583,6.135496325,0.061412943,0.2,Modelled
US,2.682313209,4.813410995,0.024208866,0.2,Modelled
US,5.116343833,5.349725925,0.054532133,0.2,Modelled
US,4.392653421,5.583814219,0.04846925,0.2,Modelled
US,4.82807523,9.578196535,0.082248113,0.2,Modelled
US,6.743779468,7.578912183,0.107668416,0.2,Modelled
