year,total_rate
2030,67.18475018432841
2031,76.62950499070111
2032,86.98248766446861
2033,98.27437198102321
2034,110.5303864477971
2035,123.7697669767998
2036,138.0052811619557
2037,153.2428332465097
2038,169.48115703044311
2039,186.71160200535599
2040,204.9180159773355
2041,224.07672540770199
2042,244.15661272388408
2043,265.1192879790155
2044,286.91935051308195
2045,309.5047347266374
2046,332.8171327478804
2047,356.7924856743374
2048,381.36153421241534
2049,406.4504189246115
2050,431.98131992119806
2051,457.8731256903854
2052,484.04212083285057
2053,510.40268273336767
2054,536.8679776413189
2055,563.350647218158
2056,589.7634773174274
2057,616.0200415653524
2058,642.0353131815584
2059,667.7262393953985
2060,693.0122737507365
2061,717.8158625298865
2062,742.0628824471676
2063,765.6830276481891
2064,788.6101448890753
2065,810.7825165495836
2066,832.1430918471755
2067,852.6396672596753
2068,872.2250177285434
2069,890.8569807013346
2070,908.4984954807204
2071,925.1176006801636
2072,940.6873928458997
2073,955.1859494952027
2074,968.5962199468664
2075,980.9058873866732
2076,992.1072056242368
2077,1002.1968139638799
2078,1011.1755335372814
2079,1019.0481483354696
2080,1025.8231740381475
2081,1031.5126175749156
2082,1036.1317301709223
2083,1039.6987564336441
2084,1042.2346818323313
2085,1043.7629807111327
2086,1044.3093667645505
2087,1043.901547692792
2088,1042.5689855474207
2089,1040.3426640766913
2090,1037.2548641869512
2091,1033.3389484529494
2092,1028.62915543696
2093,1023.1604044151265
2094,1016.9681109599201
2095,1010.088013690368
2096,1002.556012376889
2097,994.4080174750044
2098,985.6798110617407
2099,976.4069190597256
2100,966.6244945564297
2101,956.367211959086
2102,945.6691716689984
2103,934.5638149114922
2104,923.0838483190545
2105,911.2611778345267
2106,899.1268514778508
2107,886.7110105031647
2108,874.0428484623104
2109,861.1505776854075
2110,848.0614026884379
2111,834.8015000212067
2112,821.3960040760142
2113,807.8689983874033
2114,794.2435119659298
2115,780.5415202236226
2116,766.7839500652459
2117,752.9906887372578
2118,739.1805960451978
2119,725.371519569786
2120,711.5803125320384
2121,697.8228539779739
2122,684.11407097378
2123,670.4679625224785
2124,656.8976249329905
2125,643.415278391972
2126,630.0322945077247
2127,616.7592246138216
2128,603.605828637738
2129,590.5811043567179
2130,577.6933168792528
2131,564.9500282059233
2132,552.358126737894
2133,539.9238566150922
2134,527.6528467789965
2135,515.550139667071
2136,503.62021945716583
2137,491.8670397907269
2138,480.2940509134081
2139,468.9042261807071
2140,457.7000878845534
2141,446.6837323644227
2142,435.8568543735436
2143,425.22077067713997
2144,414.7764428654605
2145,404.5244993695854
2146,394.4652566727559
2147,384.5987397142057
2148,374.9247014862877
2149,365.4426418290667
2150,356.15182542953386
2151,347.0512990352278
2152,338.1399078943362
2153,329.4163114363335
2154,320.8789982089037
2155,312.5263000883384
2156,304.3564057817975
2157,296.3673736407968
2158,288.55714380607986
2159,280.9235497046305
2160,273.4643289200357
2161,266.177133457701
2162,259.0595394266064
2163,252.1090561593326
2164,245.32313479205519
2165,238.6991763260643
2166,232.2345391921493
2167,225.9265463389176
2168,219.7724918657552
2169,213.76964722076312
2170,207.915266983551
2171,202.2065942523044
2172,196.64086565403642
2173,191.2153159964069
2174,185.92718257894768
2175,180.7737091809696
2176,175.7521497428578
2177,170.85977175688748
2178,166.0938593831093
2179,161.4517163052736
