years	Q	target	years2	Q2	target2	years3	Q3	target3	years4	Q4	target4	years5	Q5	target5		Q6	target6	years7	Q7	target7	years8	Q8	target8	years9	Q9	target9	years10	Q10	target10	Sum
0.13381193	19.33367223	0.60912252	0.152603899	1.622006212	0.055642316	0.079130701	1.360765989	0.022489741	0.139833388	12.77987575	0.332851858	0.172811101	1.102835221	0.02117178	12.06144537	15.76882923	0.138717905	0.175671472	10.29800713	0.351727003	0.116655106	1.005774511	0.001402857	0.116596741	2.047990001	0.04607762	0.080845869	1.002883099	0.00843359	1.58763719
0.073672927	23.20982725	0.24431065	0.155752946	2.089681125	0.068966636	0.195968343	47.49732675	0.974990506	0.123763305	4.985106245	0.141488314	0.185786489	1.002883099	0.021606727	9.753792808	2.05389456	0.041135506	0.14478815	5.34172985	0.153327962	0.097169112	1.011582367	0.002671246	0.096954423	3.046989571	0.03577192	0.185810471	9.445910166	0.160363252	1.844632718
0.060393247	6.53324373	0.081658837	0.247269039	6.098124673	0.374479986	0.139281954	12.70650192	0.216785183	0.184156607	15.23335977	0.66782337	0.108268068	1.005774511	0.002788229	15.64869486	3.684610606	0.137694991	0.129812027	3.302780562	0.090582982	0.180434796	1.008674259	0.017351507	0.17956787	5.942148292	0.224759476	0.142095415	1.462316096	0.037279809	1.85120437
0.049657488	5.520407192	0.054793891	0.15247529	1.708276394	0.057865645	0.191644328	25.35718419	0.749454128	0.151220589	10.06353793	0.34053159	0.155258296	1.032175243	0.014175449	18.47194663	6.028302662	0.27095779	0.144461597	14.50575657	0.222986972	0.183926271	6.276238301	0.040128502	0.116119583	1.955792745	0.044554319	0.191992101	1.608057505	0.074928398	1.870376685
0.084974116	334.9933678	0.486961384	0.215530458	4.746998612	0.242904048	0.086259332	6.842405407	0.051435348	0.180159792	12.09959107	0.527138734	0.1919647	2.156917124	0.036565193	16.70499895	6.13333836	0.232820315	0.065116895	2.893112631	0.020723086	0.156831579	1.626682617	0.018616645	0.188947486	5.057384597	0.224133596	0.182193037	1.470760256	0.063791391	1.905089738
0.058286136	57.05055597	0.183344685	0.195756621	12.13447539	0.2959035	0.186794117	5.874112172	0.267972945	0.138390563	20.9088469	0.399473925	0.155713817	1.011582367	0.014066339	15.15676883	2.827241068	0.102647447	0.169242711	16.08983676	0.384089868	0.19497589	1.011582367	0.011516865	0.188047208	3.70588743	0.16981253	0.188441849	2.563611512	0.102678395	1.931506498
0.104612743	62.15251909	0.714837568	0.18073663	2.73123513	0.113093439	0.158884574	8.515939318	0.264618425	0.139893132	7.721860125	0.243585281	0.155548565	1.144892449	0.014552494	18.91923995	5.908032296	0.273483017	0.122997371	8.714351203	0.121266552	0.171524463	1.014498859	0.018587871	0.146614642	7.206334691	0.139188093	0.181525863	2.884795479	0.098983071	2.002195812
0.057389638	10.22828607	0.109566169	0.24202141	10.59879065	0.56826399	0.129009634	4.122434732	0.108898868	0.115840648	47.49732675	0.273919664	0.19534591	1.011582367	0.027289892	17.37756993	6.9017582	0.275121241	0.179277164	20.9088469	0.506790235	0.189437266	1.322148754	0.035044357	0.128253066	1.922299067	0.053479264	0.170130784	3.100079585	0.085346618	2.043720299
0.141059099	47.93163131	1.339211897	0.158902045	10.12164994	0.131220652	0.09056287	2.213534379	0.038681641	0.088339178	2.378724173	0.04632526	0.182080706	3.227581513	0.031301762	14.57496108	4.098766361	0.134757256	0.153669553	5.561427712	0.178727816	0.184227757	1.005774511	0.02383431	0.089172351	1.479253177	0.02292067	0.1794632	6.981696894	0.131755146	2.078736408
0.066158529	46.71566697	0.231548916	0.234102364	4.970775007	0.287740241	0.11508403	2.226316457	0.057557109	0.170172559	15.95146959	0.593834037	0.151595399	8.714351203	0.015266442	17.22789904	10.26840231	0.350525416	0.110821355	34.4059979	0.105539895	0.175873162	1.011582367	0.017311323	0.183238561	8.943095573	0.296144582	0.198171011	3.611099124	0.142773636	2.098241598
