Region_no,Region_name,Q [Mt/y] for t= 10 y,Q [Mt/y] for t= 20 y,Q [Mt/y] for t= 30 y,Q [Mt/y] for t= 40 y,Q [Mt/y] for t= 50 y,Q [Mt/y] for t= 60 y,Q [Mt/y] for t= 70 y,Q [Mt/y] for t= 80 y,Q [Mt/y] for t= 90 y,Q [Mt/y] for t= 100 y,Q [Mt/y] for t= 110 y,Q [Mt/y] for t= 120 y,Q [Mt/y] for t= 130 y,Q [Mt/y] for t= 140 y,Q [Mt/y] for t= 150 y
6,Anadarko,8010,2970,1560,1560,961,961,961,961,961,961,961,961,961,961,961
7,Appalachian,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,Arkoma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,Big Horn,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,Black Warrior,100,56,36,25,20,16,16,12,12,9,9,1,1,1,1
39,Cook Inlet,756,400,240,196,156,132,100,100,81,72,72,64,49,49,49
43,Denver,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,Fort Worth,4160,1936,1122,1122,1122,729,729,506,506,506,506,380,380,380,380
65,Green River,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,Illinois,8190,8190,3025,3025,3025,1560,1560,1560,1560,1560,1560,930,930,930,930
86,Laramie,225,81,72,72,72,64,49,49,49,49,30,30,30,30,30
89,Los Angeles,1849,729,729,729,729,380,380,380,380,380,100,100,100,100,100
119,North Slope,13806,4096,4096,4096,4096,1892,1892,1892,1892,1892,1892,1892,1089,1089,1089
130,Palo Duro,1122,506,289,225,182,156,156,132,110,90,81,81,72,72,64
133,Paradox,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
138,Permian,7396,7396,7396,2862,2862,2862,2862,2862,2862,930,930,930,930,930,930
144,Powder River,210,110,72,56,42,36,30,25,25,20,20,16,16,16,12
152,Sacramento,1892,1089,729,729,506,380,380,289,289,289,156,156,132,156,156
154,San Joaquin,4032,1892,1122,1122,1122,1122,729,729,729,506,506,380,380,380,380
156,San Juan,256,144,81,72,72,64,36,36,36,36,36,16,16,16,16
