year,total_rate
2030,9.1495816592364
2031,10.6068436345166
2032,12.2961281217489
2033,14.2543508631676
2034,16.5242919529583
2035,19.155524306316998
2036,22.2054880506993
2037,25.7407334015822
2038,29.838357944871
2039,34.5876680629986
2040,40.0920985570658
2041,46.471429376326
2042,53.8643438068771
2043,62.4313785212542
2044,72.3583225601456
2045,83.860129590032
2046,97.1854155988361
2047,112.6216224390011
2048,130.5009361024874
2049,151.2070569950031
2050,175.1829272834008
2051,202.9395269127706
2052,235.0658541185463
2053,272.2402067810794
2054,315.2428758409132
2055,364.970348573898
2056,422.45109428450627
2057,488.8629632481935
2058,565.5521654420962
2059,654.0537009492396
2060,756.1129790679989
2061,873.7081759503794
2062,1009.0726263888621
2063,1164.7162071215769
2064,1343.4442277882188
2065,1548.371781874501
2066,1782.930805863422
2067,2050.8662385769244
2068,2356.2166651690245
2069,2703.2736947920753
2070,3096.5131174945923
2071,3540.489729279185
2072,4039.6867966682626
2073,4598.310747197538
2074,5220.022235265153
2075,5907.596787286773
2076,6662.512425205832
2077,7484.468683672292
2078,8370.851835791302
2079,9316.17512295379
2080,10311.539837063227
2081,11344.181617834756
2082,12397.183253443201
2083,13449.446030499937
2084,14476.010570490082
2085,15448.799427686687
2086,16337.813730827338
2087,17112.755302813068
2088,17744.97071706864
2089,18209.538148518615
2090,18487.25995015257
2091,18566.302019660896
2092,18443.247369513763
2093,18123.40626025195
2094,17620.335363168237
2095,16954.639434933724
2096,16152.233195441344
2097,15242.30610468006
2098,14255.248042343008
2099,13220.762792791676
2100,12166.332789016424
2101,11116.121653603486
2102,10090.328257458592
2103,9104.949391067446
2104,8171.872955303385
2105,7299.209176414905
2106,6491.7693446656085
2107,5751.614141481213
2108,5078.611232815061
2109,4470.960208109188
2110,3925.659418859631
2111,3438.902481789839
2112,3006.4018376427202
2113,2623.643101131455
2114,2286.077606157231
2115,1989.262226496396
2116,1728.9558659540228
2117,1501.1814796457136
2118,1302.2614970564755
2119,1128.8333373027353
2120,977.850510847138
2121,846.5736908376166
2122,732.5551617537944
2123,633.6192305468518
2124,547.8405133025437
2125,473.5214750760185
2126,409.1701834931022
2127,353.4789183950762
2128,305.30404161738437
2129,263.6473563893899
2130,227.639060727068
2131,196.5223119365974
2132,169.6393605877476
2133,146.41917465610422
2134,126.3664522314197
2135,109.0519098491029
2136,94.1037298053243
2137,81.2000512948785
2138,70.0623950448879
2139,60.4499179956929
2140,52.1544025639298
2141,44.9958934609696
2142,38.818903487488
2143,33.489117892634
2144,28.8905345925493
2145,24.9229846870619
2146,21.4999842480482
2147,18.546874267784098
2148,15.999210966175102
2149,13.8013733926836
2150,11.9053594606558
2151,10.2697452636066
2152,8.858785789047301
2153,7.6416380117211995
2154,6.5916898556294
2155,5.6859807055918
2156,4.904701057280899
2157,4.2307605573819
2158,3.6494151301195
2159,3.1479451403698997
2160,2.7153776323096
2161,2.3422466254552
2162,2.0203862672006
2163,1.7427523481281002
2164,1.5032682985552
2165,1.2966923137466
2166,1.1185027135453
2167,0.9647990367214
2168,0.8322167130163
2169,0.7178534505795999
2170,0.6192057313341
2171,0.5341140276322001
2172,0.4607155428986
2173,0.3974034435466
2174,0.3427916907991
2175,0.2956847039174
2176,0.2550511906489
2177,0.2200015733394
2178,0.1897685161576
2179,0.16369012797399998
