year,total_rate
2030,48.1195236013311
2031,55.757068843377496
2032,64.6064930547738
2033,74.8599683073804
2034,86.74009847790309
2035,100.50472407515059
2036,116.4524808023147
2037,134.9292284128688
2038,156.3354838637822
2039,181.13501262358412
2040,209.8647545154306
2041,243.14628592685088
2042,281.699048844753
2043,326.3556091890098
2044,378.07924246947647
2045,437.9841839230948
2046,507.3589228791894
2047,587.6929667863017
2048,680.7075483909567
2049,788.3907987593404
2050,913.0379572409132
2051,1057.297234176787
2052,1224.221978914902
2053,1417.329828479629
2054,1640.669512644134
2055,1898.8959576208294
2056,2197.35424748554
2057,2542.1728489038496
2058,2940.3662532102658
2059,3399.9468046216125
2060,3930.044918527168
2061,4541.036091724936
2062,5244.671996078856
2063,6054.211442964378
2064,6984.545008921731
2065,8052.304513478523
2066,9275.945225495243
2067,10675.78454343808
2068,12273.975882545172
2069,14094.39061773925
2070,16162.374318043145
2071,18504.33652298759
2072,21147.126631726176
2073,24117.143228811176
2074,27439.12207174531
2075,31134.551431477503
2076,35219.67566125332
2077,39703.07252434055
2078,44582.83085666641
2079,49843.41579299853
2080,55452.39013894083
2081,61357.2595300713
2082,67482.81643334852
2083,73729.45617921693
2084,79973.00064566018
2085,86066.55909494557
2086,91844.84818210892
2087,97131.16240482713
2088,101746.83466599669
2089,105522.59243211542
2090,108310.77544965317
2091,109997.0413155462
2092,110510.05179700433
2093,109827.7771472124
2094,107979.48224505072
2095,105043.09216784053
2096,101138.33753407672
2097,96416.69160489964
2098,91049.50037096506
2099,85215.80964683369
2100,79091.22491252626
2101,72838.77895706789
2102,66602.33763101761
2103,60502.64771524019
2104,54635.7950763514
2105,49073.6286107781
2106,43865.61413075941
2107,39041.58806662095
2108,34614.950268028064
2109,30585.936054646332
2110,26944.7147609424
2111,23674.158960971243
2112,20752.20703446226
2113,18153.799466846718
2114,15852.407767106635
2115,13821.197528059733
2116,12033.877881148517
2117,10465.292097428377
2118,9091.801410125738
2119,7891.508594250385
2120,6844.361058764093
2121,5932.166241865001
2122,5138.545574703825
2123,4448.847513755363
2124,3850.035256566177
2125,3330.5607458179343
2126,2880.233360307885
2127,2490.0891845349574
2128,2152.2648281637703
2129,1859.8783242275845
2130,1606.9185732241372
2131,1388.1440359063588
2132,1198.9908414705808
2133,1035.4901141256746
2134,894.1940854012863
2135,772.1104175240538
2136,666.6440882740327
2137,575.5461598683838
2138,496.8687586221906
2139,428.9256173614363
2140,370.257570766858
2141,319.60243928422835
2142,275.8687859094264
2143,238.1130792886847
2144,205.5198443626029
2145,177.3844270566236
2146,153.0980416398833
2147,132.13480799701392
2148,114.0405211042228
2149,98.422926519141
2150,84.9433038608147
2151,73.3091852691831
2152,63.268057968570105
2153,54.6019195483236
2154,47.1225717030455
2155,40.667553169594
2156,35.0966257162395
2157,30.2887384714524
2158,26.1394058517096
2159,22.5584430091185
2160,19.468010258426297
2161,16.8009244761929
2162,14.499201140739999
2163,12.5127955932636
2164,10.7985163622165
2165,9.3190870767106
2166,8.0423366862283
2167,6.940500464308999
2168,5.9896166591718005
2169,5.1690057166728
2170,4.460820788279601
2171,3.8496597722942
2172,3.3222304707896
2173,2.8670615964288
2174,2.4742533520181
2175,2.1352621677470998
2176,1.8427149196473
2177,1.5902485935499
2178,1.3723719099905
2179,1.1843459018894
