Scenario,Country,Model,Type,Output_Y,kind,S_g,S_target,S_g_total,S_target_total,S_gt,feasibility_fraction,n_saltelli_total,n_saltelli_feasible
reference,UK,Logistic,A,feasibility,feasibility,0.5682340950660844,0.12472446416249149,0.8707721829250176,0.4339567214971033,0.611770345193545,0.30902099609375,16384,5063
reference,UK,Logistic,A,tp,conditional_skipped_partial_feasibility,,,,,,0.30902099609375,16384,5063
reference,UK,Logistic,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.30902099609375,16384,5063
reference,UK,Logistic,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.30902099609375,16384,5063
reference,UK,Gompertz,A,feasibility,feasibility,0.36167886828171686,0.18658384358268998,0.8135782530245215,0.6251770343420002,0.8904925755021148,0.27972412109375,16384,4583
reference,UK,Gompertz,A,tp,conditional_skipped_partial_feasibility,,,,,,0.27972412109375,16384,4583
reference,UK,Gompertz,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.27972412109375,16384,4583
reference,UK,Gompertz,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.27972412109375,16384,4583
reference,US,Logistic,A,feasibility,feasibility,0.623337990877237,0.11777428347913398,0.8914888090615752,0.38319300814026436,0.5335695428454688,0.36627197265625,16384,6001
reference,US,Logistic,A,tp,conditional_skipped_partial_feasibility,,,,,,0.36627197265625,16384,6001
reference,US,Logistic,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.36627197265625,16384,6001
reference,US,Logistic,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.36627197265625,16384,6001
reference,US,Gompertz,A,feasibility,feasibility,0.353752441760605,0.17319563808236202,0.8308149365736347,0.6361394827982697,0.9400063395289373,0.28515625,16384,4672
reference,US,Gompertz,A,tp,conditional_skipped_partial_feasibility,,,,,,0.28515625,16384,4672
reference,US,Gompertz,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.28515625,16384,4672
reference,US,Gompertz,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.28515625,16384,4672
reference,EU,Logistic,A,feasibility,feasibility,0.6297893696600135,0.09034283501337335,0.9055592977314536,0.3625262444704426,0.5479533375285093,0.41131591796875,16384,6739
reference,EU,Logistic,A,tp,conditional_skipped_partial_feasibility,,,,,,0.41131591796875,16384,6739
reference,EU,Logistic,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.41131591796875,16384,6739
reference,EU,Logistic,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.41131591796875,16384,6739
reference,EU,Gompertz,A,feasibility,feasibility,0.33577828990651326,0.17052795122149692,0.8311746993103732,0.6534917291565058,0.9783601873388689,0.28717041015625,16384,4705
reference,EU,Gompertz,A,tp,conditional_skipped_partial_feasibility,,,,,,0.28717041015625,16384,4705
reference,EU,Gompertz,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.28717041015625,16384,4705
reference,EU,Gompertz,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.28717041015625,16384,4705
reference,China,Logistic,A,feasibility,feasibility,0.41496982165924784,0.1828596970254183,0.8234382992962047,0.5802753115845738,0.8058840921961125,0.1912841796875,16384,3134
reference,China,Logistic,A,tp,conditional_skipped_partial_feasibility,,,,,,0.1912841796875,16384,3134
reference,China,Logistic,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.1912841796875,16384,3134
reference,China,Logistic,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.1912841796875,16384,3134
reference,China,Gompertz,A,feasibility,feasibility,0.4650671140621271,0.17386602522860317,0.8332950604146594,0.5206599695991164,0.7150218907230457,0.28564453125,16384,4680
reference,China,Gompertz,A,tp,conditional_skipped_partial_feasibility,,,,,,0.28564453125,16384,4680
reference,China,Gompertz,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.28564453125,16384,4680
reference,China,Gompertz,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.28564453125,16384,4680
reference,Middle East,Logistic,A,feasibility,feasibility,0.601378577601084,0.10561845986542338,0.8923682119241895,0.39229713664300114,0.5776683111006832,0.34710693359375,16384,5687
reference,Middle East,Logistic,A,tp,conditional_skipped_partial_feasibility,,,,,,0.34710693359375,16384,5687
reference,Middle East,Logistic,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.34710693359375,16384,5687
reference,Middle East,Logistic,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.34710693359375,16384,5687
reference,Middle East,Gompertz,A,feasibility,feasibility,0.37547357807907056,0.18634700402713505,0.8131156148764901,0.6264890789159083,0.8777841116861926,0.28338623046875,16384,4643
reference,Middle East,Gompertz,A,tp,conditional_skipped_partial_feasibility,,,,,,0.28338623046875,16384,4643
reference,Middle East,Gompertz,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.28338623046875,16384,4643
reference,Middle East,Gompertz,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.28338623046875,16384,4643
reference,Australia,Logistic,A,feasibility,feasibility,0.417783228832965,0.20581308281796945,0.798908171015138,0.5971710665319009,0.7724829258961043,0.2117919921875,16384,3470
reference,Australia,Logistic,A,tp,conditional_skipped_partial_feasibility,,,,,,0.2117919921875,16384,3470
reference,Australia,Logistic,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.2117919921875,16384,3470
reference,Australia,Logistic,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.2117919921875,16384,3470
reference,Australia,Gompertz,A,feasibility,feasibility,0.574170625622006,0.10264769482647314,0.9022611649008272,0.4238672747310614,0.6493101191834094,0.38690185546875,16384,6339
reference,Australia,Gompertz,A,tp,conditional_skipped_partial_feasibility,,,,,,0.38690185546875,16384,6339
reference,Australia,Gompertz,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.38690185546875,16384,6339
reference,Australia,Gompertz,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.38690185546875,16384,6339
reference,Canada,Logistic,A,feasibility,feasibility,0.4211458509313598,0.2089603346153815,0.8023936785620205,0.5968759516278791,0.7691634446431583,0.21270751953125,16384,3485
reference,Canada,Logistic,A,tp,conditional_skipped_partial_feasibility,,,,,,0.21270751953125,16384,3485
reference,Canada,Logistic,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.21270751953125,16384,3485
reference,Canada,Logistic,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.21270751953125,16384,3485
reference,Canada,Gompertz,A,feasibility,feasibility,0.49838074469524857,0.12791427089497526,0.8727332831684191,0.4956331153306436,0.7420713829088388,0.33062744140625,16384,5417
reference,Canada,Gompertz,A,tp,conditional_skipped_partial_feasibility,,,,,,0.33062744140625,16384,5417
reference,Canada,Gompertz,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.33062744140625,16384,5417
reference,Canada,Gompertz,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.33062744140625,16384,5417
reference,Indonesia,Logistic,A,feasibility,feasibility,0.5307054382412071,0.14086522199428042,0.8558786276051619,0.4570283911949077,0.641336358564582,0.28411865234375,16384,4655
reference,Indonesia,Logistic,A,tp,conditional_skipped_partial_feasibility,,,,,,0.28411865234375,16384,4655
reference,Indonesia,Logistic,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.28411865234375,16384,4655
reference,Indonesia,Logistic,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.28411865234375,16384,4655
reference,Indonesia,Gompertz,A,feasibility,feasibility,0.37902820209351534,0.19495268260628293,0.817081793022645,0.6096172424487643,0.852718150771611,0.27825927734375,16384,4559
reference,Indonesia,Gompertz,A,tp,conditional_skipped_partial_feasibility,,,,,,0.27825927734375,16384,4559
reference,Indonesia,Gompertz,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.27825927734375,16384,4559
reference,Indonesia,Gompertz,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.27825927734375,16384,4559
reference,Thailand,Logistic,A,feasibility,feasibility,0.4485331233272652,0.1675054431040228,0.8336826810158491,0.5656321187273743,0.7832762333119354,0.20257568359375,16384,3319
reference,Thailand,Logistic,A,tp,conditional_skipped_partial_feasibility,,,,,,0.20257568359375,16384,3319
reference,Thailand,Logistic,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.20257568359375,16384,3319
reference,Thailand,Logistic,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.20257568359375,16384,3319
reference,Thailand,Gompertz,A,feasibility,feasibility,0.49554506590854164,0.15345312355446364,0.8420219058443372,0.49045902934533264,0.6834827457266646,0.30413818359375,16384,4983
reference,Thailand,Gompertz,A,tp,conditional_skipped_partial_feasibility,,,,,,0.30413818359375,16384,4983
reference,Thailand,Gompertz,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.30413818359375,16384,4983
reference,Thailand,Gompertz,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.30413818359375,16384,4983
reference,Brazil,Logistic,A,feasibility,feasibility,0.5312958082450033,0.14881847467885215,0.8552287064262135,0.45822317651184796,0.633337600014206,0.27947998046875,16384,4579
reference,Brazil,Logistic,A,tp,conditional_skipped_partial_feasibility,,,,,,0.27947998046875,16384,4579
reference,Brazil,Logistic,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.27947998046875,16384,4579
reference,Brazil,Logistic,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.27947998046875,16384,4579
reference,Brazil,Gompertz,A,feasibility,feasibility,0.3697265174558429,0.19736175995682045,0.8165933192152266,0.6161123246773567,0.8656173664799198,0.27581787109375,16384,4519
reference,Brazil,Gompertz,A,tp,conditional_skipped_partial_feasibility,,,,,,0.27581787109375,16384,4519
reference,Brazil,Gompertz,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.27581787109375,16384,4519
reference,Brazil,Gompertz,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.27581787109375,16384,4519
minimum,UK,Logistic,A,feasibility,feasibility,0.3656798503220007,0.10118790013076769,0.8801391704235924,0.6145217225719712,1.0277931425427953,0.3175048828125,16384,5202
minimum,UK,Logistic,A,tp,conditional_skipped_partial_feasibility,,,,,,0.3175048828125,16384,5202
minimum,UK,Logistic,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.3175048828125,16384,5202
minimum,UK,Logistic,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.3175048828125,16384,5202
minimum,UK,Gompertz,A,feasibility,feasibility,0.15311113779072283,0.07036877521390673,0.9023496158805379,0.8219132643838934,1.5007829672598016,0.21160888671875,16384,3467
minimum,UK,Gompertz,A,tp,conditional_skipped_partial_feasibility,,,,,,0.21160888671875,16384,3467
minimum,UK,Gompertz,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.21160888671875,16384,3467
minimum,UK,Gompertz,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.21160888671875,16384,3467
minimum,US,Logistic,A,feasibility,feasibility,0.3092789377558516,0.1348219395248706,0.861608760967196,0.6866205213123496,1.1041284049988234,0.3260498046875,16384,5342
minimum,US,Logistic,A,tp,conditional_skipped_partial_feasibility,,,,,,0.3260498046875,16384,5342
minimum,US,Logistic,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.3260498046875,16384,5342
minimum,US,Logistic,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.3260498046875,16384,5342
minimum,US,Gompertz,A,feasibility,feasibility,0.1125558033333964,0.056423312709647004,0.9165889664572432,0.8735818595266981,1.621191709940898,0.16229248046875,16384,2659
minimum,US,Gompertz,A,tp,conditional_skipped_partial_feasibility,,,,,,0.16229248046875,16384,2659
minimum,US,Gompertz,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.16229248046875,16384,2659
minimum,US,Gompertz,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.16229248046875,16384,2659
minimum,EU,Logistic,A,feasibility,feasibility,0.23933925563576985,0.16418875530509597,0.8363966866099535,0.7656203383810386,1.198489014050126,0.31915283203125,16384,5229
minimum,EU,Logistic,A,tp,conditional_skipped_partial_feasibility,,,,,,0.31915283203125,16384,5229
minimum,EU,Logistic,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.31915283203125,16384,5229
minimum,EU,Logistic,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.31915283203125,16384,5229
minimum,EU,Gompertz,A,feasibility,feasibility,0.04909999045424877,0.04436387887731646,0.9589919686692966,0.9431408617491429,1.8086689610868742,0.1036376953125,16384,1698
minimum,EU,Gompertz,A,tp,conditional_skipped_partial_feasibility,,,,,,0.1036376953125,16384,1698
minimum,EU,Gompertz,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.1036376953125,16384,1698
minimum,EU,Gompertz,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.1036376953125,16384,1698
minimum,China,Logistic,A,feasibility,feasibility,0.30353360107208416,0.14896718753638716,0.8373217374367791,0.6687474356993,1.0535683845276076,0.22802734375,16384,3736
minimum,China,Logistic,A,tp,conditional_skipped_partial_feasibility,,,,,,0.22802734375,16384,3736
minimum,China,Logistic,A,rate_2100,conditional_skipped_partial_feasibility,,,,,,0.22802734375,16384,3736
minimum,China,Logistic,A,C_sampled,conditional_skipped_partial_feasibility,,,,,,0.22802734375,16384,3736
minimum,China,Gompertz,A,feasibility,feasibility,0.3253452425908491,0.08808359017052508,0.9071913419683405,0.679005514826977,1.1727680240339433,0.32647705078125,16384,5349
minimum,China,Gompertz,A,tp,conditional_skipped_partial_feasibility,,,,,,0.32647705078125,16384,5349
