Scenario,Country,Model,Year,rate_central,cumulative_central
reference,UK,Logistic,2030,0.015656441867721714,0.11352
reference,UK,Logistic,2031,0.017967603165559558,0.13030559578138287
reference,UK,Logistic,2032,0.020618617676700916,0.14956842163986345
reference,UK,Logistic,2033,0.023659043448926716,0.17167255620703004
reference,UK,Logistic,2034,0.02714553289916039,0.19703510694614623
reference,UK,Logistic,2035,0.031142806325225824,0.22613378170904486
reference,UK,Logistic,2036,0.03572474551024283,0.25951549297357424
reference,UK,Logistic,2037,0.04097561778458845,0.29780612007012297
reference,UK,Logistic,2038,0.04699144020718842,0.34172156477187365
reference,UK,Logistic,2039,0.053881492070015746,0.3920802446300153
reference,UK,Logistic,2040,0.06176998142871456,0.449817175489559
reference,UK,Logistic,2041,0.07079786744577424,0.5159997985021197
reference,UK,Logistic,2042,0.08112483452540502,0.5918457060152628
reference,UK,Logistic,2043,0.09293140592295121,0.6787424127849977
reference,UK,Logistic,2044,0.10642117298466633,0.7782693011815905
reference,UK,Logistic,2045,0.1218231005131553,0.8922218377710167
reference,UK,Logistic,2046,0.139393847885164,1.0226381091987
reference,UK,Logistic,2047,0.15942001822911986,1.1718276518625985
reference,UK,Logistic,2048,0.18222021281875594,1.3424024453073213
reference,UK,Logistic,2049,0.20814672340765822,1.5373097950448975
reference,UK,Logistic,2050,0.23758664013700478,1.7598666366267381
reference,UK,Logistic,2051,0.27096208581273734,2.0137945380153286
reference,UK,Logistic,2052,0.3087292083482519,2.303254349604909
reference,UK,Logistic,2053,0.35137547278716086,2.632879038716513
reference,UK,Logistic,2054,0.3994146953105322,3.0078027378365855
reference,UK,Logistic,2055,0.4533791597454795,3.433683427226792
reference,UK,Logistic,2056,0.5138080623741091,3.9167159645334606
reference,UK,Logistic,2057,0.5812314591450873,4.463631381213985
reference,UK,Logistic,2058,0.6561488639181183,5.081677521924794
reference,UK,Logistic,2059,0.7390016989128866,5.778575269852093
reference,UK,Logistic,2060,0.8301389697671375,6.562443875951436
reference,UK,Logistic,2061,0.9297758755512799,7.441688435420645
reference,UK,Logistic,2062,1.037945619440419,8.42484252260174
reference,UK,Logistic,2063,1.1544455027096527,9.520359646471675
reference,UK,Logistic,2064,1.2787794860594066,10.736348798506192
reference,UK,Logistic,2065,1.4101007683376048,12.080252212082588
reference,UK,Logistic,2066,1.547159476102537,13.558467765483758
reference,UK,Logistic,2067,1.6882620983625738,15.175924334949425
reference,UK,Logistic,2068,1.8312505523269127,16.93562570319051
reference,UK,Logistic,2069,1.9735093426081118,18.838186877163714
reference,UK,Logistic,2070,2.112008740256305,20.88139497411503
reference,UK,Logistic,2071,2.2433898630891274,23.05983387753632
reference,UK,Logistic,2072,2.364093767841393,25.364616005883
reference,UK,Logistic,2073,2.47053128395876,27.783264074989425
reference,UK,Logistic,2074,2.5592838975477226,30.299779304364574
reference,UK,Logistic,2075,2.627319571377567,32.89491956100098
reference,UK,Logistic,2076,2.672202331096118,35.54669211793139
reference,UK,Logistic,2077,2.6922721463781327,38.231043104004975
reference,UK,Logistic,2078,2.6867730814562987,40.92270263751124
reference,UK,Logistic,2079,2.655913098244125,43.596125001210744
reference,UK,Logistic,2080,2.6008475152159707,46.226450698148795
reference,UK,Logistic,2081,2.523588348798591,48.79041429187641
reference,UK,Logistic,2082,2.426851537514832,51.267129172458084
reference,UK,Logistic,2083,2.313861445143041,53.63869635230256
reference,UK,Logistic,2084,2.188135782641717,55.890605997278115
reference,UK,Logistic,2085,2.0532738481019956,58.01192373807819
reference,UK,Logistic,2086,1.9127673466848747,59.99527512641324
reference,UK,Logistic,2087,1.7698472328633625,61.836658075168565
reference,UK,Logistic,2088,1.6273734415143726,63.53512328179607
reference,UK,Logistic,2089,1.4877682982885214,65.09236637853031
reference,UK,Logistic,2090,1.3529896680128464,66.51227384321783
reference,UK,Logistic,2091,1.2245368779012944,67.8004591064101
reference,UK,Logistic,2092,1.1034810951834533,68.96381751998238
reference,UK,Logistic,2093,0.9905118336201113,70.01012043406364
reference,UK,Logistic,2094,0.8859921816163269,70.94766070415298
reference,UK,Logistic,2095,0.790016762302916,71.78495522617885
reference,UK,Logistic,2096,0.702468006671698,72.53050489191578
reference,UK,Logistic,2097,0.6230678043007941,73.19260869443376
reference,UK,Logistic,2098,0.5514228548707472,73.7792264292169
reference,UK,Logistic,2099,0.4870630224259271,74.2978832730993
reference,UK,Logistic,2100,0.42947269463736537,74.75560919739003
reference,UK,Logistic,2101,0.37811560535944694,75.15890642027598
reference,UK,Logistic,2102,0.3324538390052642,75.51373870617687
reference,UK,Logistic,2103,0.29196185007142067,75.82553710577729
reference,UK,Logistic,2104,0.2561363457502128,76.09921757776847
reference,UK,Logistic,2105,0.2245028308972039,76.33920676090847
reference,UK,Logistic,2106,0.1966195306722934,76.54947292430074
reference,UK,Logistic,2107,0.17207930681286535,76.73355979007417
reference,UK,Logistic,2108,0.15051008189693546,76.8946214875914
reference,UK,Logistic,2109,0.13157419014246546,77.0354573640549
reference,UK,Logistic,2110,0.11496698758731547,77.15854575112775
reference,UK,Logistic,2111,0.10041498070081886,77.26607608211428
reference,UK,Logistic,2112,0.08767367077912754,77.3599789814615
reference,UK,Logistic,2113,0.07652526111327551,77.44195411961445
reference,UK,Logistic,2114,0.06677633364497124,77.51349575232928
reference,UK,Logistic,2115,0.058255570209084416,77.57591595379294
reference,UK,Logistic,2116,0.05081156907131328,77.63036561525878
reference,UK,Logistic,2117,0.04431078897755324,77.6778533219282
reference,UK,Logistic,2118,0.0386356391652968,77.71926224579374
reference,UK,Logistic,2119,0.03368272374689619,77.75536520531513
reference,UK,Logistic,2120,0.02936124172788108,77.78683804742536
reference,UK,Logistic,2121,0.025591538992755607,77.81427150600236
reference,UK,Logistic,2122,0.022303805333174383,77.83818168552467
reference,UK,Logistic,2123,0.01943690758011776,77.85901931061004
reference,UK,Logistic,2124,0.016937348798525403,77.87717787258102
reference,UK,Logistic,2125,0.014758343052342755,77.89300079389045
reference,UK,Logistic,2126,0.012858995254139608,77.90678772071865
reference,UK,Logistic,2127,0.011203575928769385,77.91880004370556
reference,UK,Logistic,2128,0.009760881235421287,77.92926573685551
reference,UK,Logistic,2129,0.008503669226616656,77.93838359530572
reference,UK,Logistic,2130,0.0074081640180303195,77.94632694397338
reference,UK,Logistic,2131,0.006453620258872239,77.95324688112717
reference,UK,Logistic,2132,0.005621941000501649,77.95927511367464
reference,UK,Logistic,2133,0.004897342742305724,77.96452643439775
reference,UK,Logistic,2134,0.004266062077037973,77.96910088547318
reference,UK,Logistic,2135,0.0037160989557219943,77.97308564733918
reference,UK,Logistic,2136,0.0032369921421875588,77.9765566872696
reference,UK,Logistic,2137,0.0028196229282063585,77.97958019784063
reference,UK,Logistic,2138,0.002456043633443142,77.982213851777
reference,UK,Logistic,2139,0.0021393278220387013,77.98450789639642
reference,UK,Logistic,2140,0.0018634395323983708,77.98650610798822
reference,UK,Logistic,2141,0.0016231191419211234,77.98824662392495
reference,UK,Logistic,2142,0.0014137837772926305,77.98976266807453
reference,UK,Logistic,2143,0.00123144043690783,77.99108318312153
reference,UK,Logistic,2144,0.0010726102180874369,77.99223338168866
reference,UK,Logistic,2145,0.0009342622413498153,77.99323522664356
reference,UK,Logistic,2146,0.0008137560395401484,77.99410784965829
reference,UK,Logistic,2147,0.0007087913341013381,77.9948679159354
reference,UK,Logistic,2148,0.0006173642563627531,77.99552994200604
reference,UK,Logistic,2149,0.0005377291905937884,77.99610657262443
reference,UK,Logistic,2150,0.0004683655198815982,77.9966088220125
reference,UK,Logistic,2151,0.0004079486470217738,77.99704628403701
reference,UK,Logistic,2152,0.0003553247425828561,77.99742731531349
reference,UK,Logistic,2153,0.00030948874198106775,77.99775919472012
reference,UK,Logistic,2154,0.00026956517456909457,77.998048262357
reference,UK,Logistic,2155,0.00023479146088870083,77.99830004059697
reference,UK,Logistic,2156,0.00020450336094937255,77.99851933953371
reference,UK,Logistic,2157,0.00017812229688330563,77.99871034883695
reference,UK,Logistic,2158,0.0001551443088924515,77.99887671776563
reference,UK,Logistic,2159,0.00013513043429717612,77.9990216248649
reference,UK,Logistic,2160,0.00011769832648696599,77.99914783867644
reference,UK,Logistic,2161,0.00010251495413679591,77.99925777062015
reference,UK,Logistic,2162,8.929024153444306e-05,77.99935352105649
reference,UK,Logistic,2163,7.777152879766024e-05,77.99943691940854
reference,UK,Logistic,2164,6.773874635170217e-05,77.9995095591095
reference,UK,Logistic,2165,5.9000211592384474e-05,77.99957282804303
reference,UK,Logistic,2166,5.138896756735822e-05,77.9996279350575
reference,UK,Logistic,2167,4.475959382284344e-05,77.9996759330603
reference,UK,Logistic,2168,3.8985428505655865e-05,77.99971773913349
reference,UK,Logistic,2169,3.3956148741057236e-05,77.99975415205475
reference,UK,Logistic,2170,2.9575663082568363e-05,77.99978586755827
reference,UK,Logistic,2171,2.5760275749965173e-05,77.99981349162732
reference,UK,Logistic,2172,2.243708769049682e-05,77.99983755207194
reference,UK,Logistic,2173,1.954260384356921e-05,77.99985850861331
reference,UK,Logistic,2174,1.7021520076886533e-05,77.99987676166724
reference,UK,Logistic,2175,1.482566655747772e-05,77.99989265999464
reference,UK,Logistic,2176,1.2913087448338865e-05,77.99990650736515
reference,UK,Logistic,2177,1.1247239318788964e-05,77.99991856836095
reference,UK,Logistic,2178,9.796292928241419e-06,77.99992907343218
reference,UK,Logistic,2179,8.532525099631422e-06,77.99993822330002
reference,UK,Gompertz,2030,0.02243034046181109,0.11352000000000001
reference,UK,Gompertz,2031,0.026437892538298893,0.137911200257585
reference,UK,Gompertz,2032,0.0309812810119981,0.16657440267634238
reference,UK,Gompertz,2033,0.03610177161730703,0.20006614157322614
reference,UK,Gompertz,2034,0.04183955558421693,0.23898372893184944
reference,UK,Gompertz,2035,0.0482331522917833,0.2839638822844034
reference,UK,Gompertz,2036,0.055318805107625976,0.33568075085203714
reference,UK,Gompertz,2037,0.06312988240880713,0.39484333910808733
reference,UK,Gompertz,2038,0.07169629583798932,0.4621923389819916
reference,UK,Gompertz,2039,0.08104394756606223,0.538496393862179
reference,UK,Gompertz,2040,0.09119421772569188,0.6245478290500173
reference,UK,Gompertz,2041,0.10216350227790719,0.7211578940533794
reference,UK,Gompertz,2042,0.11396281041361944,0.8291515718101078
reference,UK,Gompertz,2043,0.12659742921881245,0.9493620183626761
reference,UK,Gompertz,2044,0.14006666179593377,1.0826247034774386
reference,UK,Gompertz,2045,0.15436364338728822,1.2297713280779836
reference,UK,Gompertz,2046,0.16947523834199352,1.3916235980584148
reference,UK,Gompertz,2047,0.18538201905773571,1.5689869360272195
reference,UK,Gompertz,2048,0.2020583263602763,1.762644212824096
reference,UK,Gompertz,2049,0.21947240920075753,1.973349579314807
reference,UK,Gompertz,2050,0.2375866400907862,2.201822476107558
reference,UK,Gompertz,2051,0.2563578013888356,2.4487418945872257
reference,UK,Gompertz,2052,0.27573743642241144,2.7147409571971814
reference,UK,Gompertz,2053,0.29567225849518297,3.000401878398664
reference,UK,Gompertz,2054,0.316104610096357,3.30625136040365
reference,UK,Gompertz,2055,0.3369729641038365,3.6327564698145607
reference,UK,Gompertz,2056,0.3582124584499476,3.9803210329175447
reference,UK,Gompertz,2057,0.3797554555903007,4.349282578765133
reference,UK,Gompertz,2058,0.4015321181697203,4.739909850536734
reference,UK,Gompertz,2059,0.4234709924976536,5.152400897155641
reference,UK,Gompertz,2060,0.44549959180988014,5.586881748924565
reference,UK,Gompertz,2061,0.46754497178269633,6.043405673153663
reference,UK,Gompertz,2062,0.48953429135808835,6.521952998509688
reference,UK,Gompertz,2063,0.5113953526115077,7.022431490204256
reference,UK,Gompertz,2064,0.5330571141258925,7.544677252232682
reference,UK,Gompertz,2065,0.5544501731056902,8.08845612772133
reference,UK,Gompertz,2066,0.5755072122533373,8.653465564068629
reference,UK,Gompertz,2067,0.5961634082202419,9.239336905982928
reference,UK,Gompertz,2068,0.6163567992190205,9.845638076721356
reference,UK,Gompertz,2069,0.6360286101300192,10.471876605796934
reference,UK,Gompertz,2070,0.6551235341415389,11.117502960110862
reference,UK,Gompertz,2071,0.6735899706205936,11.781914134839614
reference,UK,Gompertz,2072,0.6913802195123412,12.464457460408827
reference,UK,Gompertz,2073,0.7084506331065922,13.164434582459432
reference,UK,Gompertz,2074,0.7247617264858716,13.881105572793471
reference,UK,Gompertz,2075,0.7402782483799537,14.61369313081201
reference,UK,Gompertz,2076,0.7549692144967047,15.361386836860705
reference,UK,Gompertz,2077,0.7688079056797972,16.12334742111366
reference,UK,Gompertz,2078,0.7817718334628933,16.898711014091518
reference,UK,Gompertz,2079,0.7938426757505488,17.686593347564415
reference,UK,Gompertz,2080,0.8050061854623991,18.486093877377975
reference,UK,Gompertz,2081,0.8152520750336991,19.296299802609457
reference,UK,Gompertz,2082,0.8245738796768523,20.116289958363488
reference,UK,Gompertz,2083,0.8329688022802506,20.94513856241046
reference,UK,Gompertz,2084,0.8404375427576739,21.781918798717992
reference,UK,Gompertz,2085,0.846984114568722,22.62570622369523
reference,UK,Gompertz,2086,0.852615651013203,23.475581983633028
reference,UK,Gompertz,2087,0.8573422037647557,24.330635834358997
reference,UK,Gompertz,2088,0.8611765359556766,25.189968956515703
reference,UK,Gompertz,2089,0.8641339119600212,26.05269656210107
reference,UK,Gompertz,2090,0.8662318858493036,26.917950289971046
reference,UK,Gompertz,2091,0.8674900903178847,27.784880389890414
reference,UK,Gompertz,2092,0.8679300276963976,28.652657696425635
reference,UK,Gompertz,2093,0.8675748644939201,29.52047539550275
reference,UK,Gompertz,2094,0.8664492307353019,30.387550587806647
reference,UK,Gompertz,2095,0.8645790251909703,31.25312565437929
reference,UK,Gompertz,2096,0.861991227434223,32.116469430790175
reference,UK,Gompertz,2097,0.8587137175067094,32.97687819710933
reference,UK,Gompertz,2098,0.8547751038274554,33.833676491620324
reference,UK,Gompertz,2099,0.8502045598450815,34.68621775677784
reference,UK,Gompertz,2100,0.845031669807285,35.533884826349706
reference,UK,Gompertz,2101,0.8392862839064308,36.376090262999426
reference,UK,Gompertz,2102,0.832998382955317,37.212276555770856
reference,UK,Gompertz,2103,0.8261979526527683,38.041916187041934
reference,UK,Gompertz,2104,0.8189148674144535,38.86451157853219
reference,UK,Gompertz,2105,0.8111787836699093,39.67959492588508
reference,UK,Gompertz,2106,0.8030190424617877,40.486727931214766
reference,UK,Gompertz,2107,0.7944645811273513,41.28550144281348
reference,UK,Gompertz,2108,0.7855438537947091,42.07553501097203
reference,UK,Gompertz,2109,0.7762847603866609,42.85647636857734
reference,UK,Gompertz,2110,0.766714583792721,43.6280008448272
reference,UK,Gompertz,2111,0.756859934844337,44.389810720050185
reference,UK,Gompertz,2112,0.7467467047089327,45.14163452924283
reference,UK,Gompertz,2113,0.7364000243045716,45.88322632154461
reference,UK,Gompertz,2114,0.7258442303282382,46.61436488246887
reference,UK,Gompertz,2115,0.7151028374863846,47.33485292529715
reference,UK,Gompertz,2116,0.7041985165159866,48.04451625763388
reference,UK,Gompertz,2117,0.6931530775873919,48.74320292870673
reference,UK,Gompertz,2118,0.68198745868627,49.430782362592474
reference,UK,Gompertz,2119,0.670721718580533,50.10714448215
reference,UK,Gompertz,2120,0.6593750339888138,50.772198828052254
reference,UK,Gompertz,2121,0.6479657005795597,51.42587367693235
