Scenario,Model,Year,rate_p5,rate_p25,rate_p50,rate_p75,rate_p95,n_countries_included,n_countries_total,countries_excluded,is_complete
reference,Logistic,2030,0.3092760451673217,0.3695563186272309,0.40055999946166965,0.4228094461564651,0.450021616968902,10,10,,True
reference,Logistic,2031,0.35360601920094914,0.4275932148616903,0.46834233855482615,0.49870952044628647,0.5360955214220533,10,10,,True
reference,Logistic,2032,0.40488638778229885,0.49432908563562694,0.5480288626235728,0.5881997147028452,0.6375992320338284,10,10,,True
reference,Logistic,2033,0.4618924741176338,0.5715036562474493,0.6398596245181585,0.6934876009396251,0.7573691703785619,10,10,,True
reference,Logistic,2034,0.5238702098638716,0.6612651390392085,0.7468125290928869,0.8169315030136859,0.8991878290600156,10,10,,True
reference,Logistic,2035,0.5930580737852164,0.7631567015672204,0.8702914215728341,0.9607471647339373,1.065458264759532,10,10,,True
reference,Logistic,2036,0.68321530845729,0.8828028549682835,1.013048222813481,1.1265442274136324,1.2585059851457343,10,10,,True
reference,Logistic,2037,0.7762698544908062,1.0158279168740083,1.1749881929656576,1.3179279831007236,1.4852474550840982,10,10,,True
reference,Logistic,2038,0.8854400544678948,1.1692631682790051,1.3629746255829942,1.536297494244268,1.7487944921547474,10,10,,True
reference,Logistic,2039,1.0121099415957862,1.3407510722617189,1.5739079233742248,1.7911728159810787,2.050326779474588,10,10,,True
reference,Logistic,2040,1.1457566891609179,1.5303531732716755,1.8142351192460824,2.078156202986538,2.3969630753623914,10,10,,True
reference,Logistic,2041,1.2933572145033658,1.7429195377816962,2.088691082451267,2.3985745852966893,2.7879506360101964,10,10,,True
reference,Logistic,2042,1.4564093364286992,1.9808979352559668,2.3923937414748506,2.7603946200369425,3.2213897300118743,10,10,,True
reference,Logistic,2043,1.6418733684998503,2.2529857987998843,2.7229512074175233,3.1572005598848643,3.7041081743882205,10,10,,True
reference,Logistic,2044,1.8306131203830494,2.5360430237347247,3.088536968370295,3.6092240337258312,4.205716411078395,10,10,,True
reference,Logistic,2045,2.0438030280981043,2.8349438597347043,3.4905946365601737,4.0997398452015705,4.772090088080595,10,10,,True
reference,Logistic,2046,2.2754052897573027,3.1519821297540656,3.9135430677410215,4.605032705154385,5.39404548059506,10,10,,True
reference,Logistic,2047,2.5187750505700897,3.486628361072945,4.342857250737122,5.133406698258751,6.0504988160826025,10,10,,True
reference,Logistic,2048,2.75173270493067,3.813153702670491,4.798422589304419,5.704697152039643,6.6900936532786766,10,10,,True
reference,Logistic,2049,3.008721750925383,4.151809824322565,5.238032201937219,6.250514285559995,7.359043797159747,10,10,,True
reference,Logistic,2050,3.2589649437109722,4.473365195939279,5.636371229338026,6.777665294525773,8.065576087726441,10,10,,True
reference,Logistic,2051,3.430916740557052,4.760254068590327,6.061880059537579,7.276848170661737,8.821239726674069,10,10,,True
reference,Logistic,2052,3.630043376045224,5.036475415009185,6.402763166514163,7.7477091405473795,9.501226253292298,10,10,,True
reference,Logistic,2053,3.760101196513271,5.286423904588183,6.716400191124023,8.20182652656107,10.228405461454908,10,10,,True
reference,Logistic,2054,3.8458733811492567,5.416853321152318,6.967189012997172,8.576506790938813,11.003033760705769,10,10,,True
reference,Logistic,2055,3.906524610551604,5.551349485249028,7.14687717186183,8.909550330172124,11.657706952881423,10,10,,True
reference,Logistic,2056,3.8542377307484275,5.663739258865826,7.203314305931556,9.259160818736044,12.405118508463529,10,10,,True
reference,Logistic,2057,3.815458035610107,5.636876884452322,7.199547930635355,9.510155044178006,13.063392105351307,10,10,,True
reference,Logistic,2058,3.6906336409253226,5.524307757906056,7.155940422343689,9.594209771915319,13.54609079892885,10,10,,True
reference,Logistic,2059,3.511447425621854,5.331490448153994,7.028096593555251,9.664033195246981,14.171219250011452,10,10,,True
reference,Logistic,2060,3.3871784123766386,5.131369820018836,6.886078256218015,9.62913242864245,14.625892812713243,10,10,,True
reference,Logistic,2061,3.204910688729541,4.893346129091427,6.620073662928232,9.562280781773833,15.209419920502683,10,10,,True
reference,Logistic,2062,3.008967644767529,4.633668352407246,6.388104792991326,9.389755311955204,15.68023797411436,10,10,,True
reference,Logistic,2063,2.7981900563630906,4.329551457933189,6.0583281946750605,9.111977228773739,15.92064885752522,10,10,,True
reference,Logistic,2064,2.5487838789199064,4.060441568786324,5.719155318136082,8.763454298729178,16.197271994234036,10,10,,True
reference,Logistic,2065,2.3496434260732193,3.711580523242751,5.42395107199295,8.32026219967918,16.153538765276828,10,10,,True
reference,Logistic,2066,2.118543161507469,3.3826693596695696,5.03526872179732,7.93793645752769,16.001301400635928,10,10,,True
reference,Logistic,2067,1.9132360340026335,3.0681259977319097,4.663831712676769,7.502916517195626,15.37040769712114,10,10,,True
reference,Logistic,2068,1.6909360632030646,2.7502299522958715,4.315335137738634,7.051284722073245,15.030501085799058,10,10,,True
reference,Logistic,2069,1.4666445908120804,2.4498024064815263,3.961584223688275,6.581434440868561,14.398605923994452,10,10,,True
reference,Logistic,2070,1.3041265966471365,2.172199701681874,3.585910703643078,6.166882716492662,13.61614573264396,10,10,,True
reference,Logistic,2071,1.1259498614310814,1.9202613664564363,3.2768358464859775,5.764664057809563,12.823429796071851,10,10,,True
reference,Logistic,2072,0.9837587951837975,1.717591619009005,2.9547430540270336,5.198616067531979,12.132389641526721,10,10,,True
reference,Logistic,2073,0.8519065140123497,1.527916989801823,2.6601846326555245,4.75327133549678,11.30027793330844,10,10,,True
reference,Logistic,2074,0.7466389620134396,1.336245682244264,2.3740894769101963,4.258291991450004,10.579040951278797,10,10,,True
reference,Logistic,2075,0.6458559766331945,1.1692740231187553,2.142762688848066,3.8326832226408922,9.765013449417554,10,10,,True
reference,Logistic,2076,0.5528772113902073,1.0359904252292322,1.897258714811831,3.4872245975028564,8.967639476049031,10,10,,True
reference,Logistic,2077,0.4782771381604983,0.9146029124589666,1.6784958141499366,3.1158059524161854,8.16883755480795,10,10,,True
reference,Logistic,2078,0.40556605754890823,0.7959818520079116,1.4679278160911344,2.798382197884285,7.4195311153742685,10,10,,True
reference,Logistic,2079,0.3506080850094838,0.6988178178852086,1.3025410977728322,2.460759855868454,6.647338094088561,10,10,,True
reference,Logistic,2080,0.3035180582747503,0.6048455291655832,1.1448352857869968,2.150669850583668,6.182745320604391,10,10,,True
reference,Logistic,2081,0.25837451612512274,0.5304443201374782,1.003439475422327,1.8951827752292632,5.580505307248495,10,10,,True
reference,Logistic,2082,0.22662869501798055,0.4664388007878222,0.8849348861990969,1.684245633562902,4.9098355506096745,10,10,,True
reference,Logistic,2083,0.19474651668861198,0.4049818842140492,0.7831529454031073,1.4894278822958724,4.316668431900899,10,10,,True
reference,Logistic,2084,0.16608623029043687,0.3469106275372091,0.6862986317334372,1.3092637192736083,3.870816547052618,10,10,,True
reference,Logistic,2085,0.1416047302048659,0.29967588308468746,0.6027994775005523,1.1597327134268614,3.3473530460926217,10,10,,True
reference,Logistic,2086,0.1219365939460799,0.2594258286056226,0.5239665187386717,1.0190059940666614,2.951313101494138,10,10,,True
reference,Logistic,2087,0.10517224687377973,0.22325332249863106,0.45306648780146097,0.894483767995045,2.5672217238294297,10,10,,True
reference,Logistic,2088,0.08992050490946943,0.19473808842896664,0.3934487016091469,0.7739421612167754,2.252647366442257,10,10,,True
reference,Logistic,2089,0.07568162894469423,0.16888324262081006,0.3412236361240206,0.6840567473184347,2.032109754072208,10,10,,True
reference,Logistic,2090,0.0645473006642492,0.14691546967793379,0.2971956637087528,0.5932364305421127,1.7914623224648092,10,10,,True
reference,Logistic,2091,0.055081331782985264,0.12771941714888121,0.2590817707582614,0.5229757797648906,1.569629907536453,10,10,,True
reference,Logistic,2092,0.047061928010012896,0.11045228546741134,0.22598342590260848,0.46363541950147097,1.3758839694512757,10,10,,True
reference,Logistic,2093,0.04092254833051923,0.09518192627672359,0.19687440285884328,0.4051719301677061,1.2221404085819267,10,10,,True
reference,Logistic,2094,0.03525920570470601,0.08200067809945608,0.1700124147051078,0.35249663327075087,1.0576715087500264,10,10,,True
reference,Logistic,2095,0.02952996744183768,0.07142774594005123,0.14862240029502197,0.30843800541279587,0.9353903117043291,10,10,,True
reference,Logistic,2096,0.025404846346845287,0.062130462475967,0.1296037372887433,0.26911489887092876,0.8561764911022275,10,10,,True
reference,Logistic,2097,0.02151895251601867,0.05341375310256667,0.11281949884156797,0.2340242913565238,0.775631218223037,10,10,,True
reference,Logistic,2098,0.0184168201886955,0.04588561940155105,0.09867045682127085,0.20398151260016836,0.6885713249310833,10,10,,True
reference,Logistic,2099,0.015502058996611778,0.039361379782227215,0.0856009548402191,0.17690297490303103,0.6089172079633498,10,10,,True
reference,Logistic,2100,0.013071284048167424,0.03408788305994323,0.07372459327383449,0.1555372023270881,0.5530454615854191,10,10,,True
reference,Logistic,2101,0.011181993533510456,0.029400005621771072,0.06450932453405726,0.1393072310793707,0.4947380198253674,10,10,,True
reference,Logistic,2102,0.009459140599685008,0.025494219674216115,0.05602029775409585,0.12307138012413768,0.4286888725498016,10,10,,True
reference,Logistic,2103,0.00807099701655466,0.022546209218255585,0.04884026048369414,0.10786874147376535,0.37921905138469275,10,10,,True
reference,Logistic,2104,0.006970156608392904,0.019296303998181642,0.042502064323292024,0.094461936363203,0.3403617298892834,10,10,,True
reference,Logistic,2105,0.005947257014601034,0.0167311284775891,0.036814644016898476,0.08276163374217102,0.3005557045728942,10,10,,True
reference,Logistic,2106,0.0050129198341492785,0.014754135770314966,0.03209333539343359,0.07365431526259758,0.26646285217987936,10,10,,True
reference,Logistic,2107,0.004298388215815048,0.012815849857284765,0.027884505141671394,0.06545464837218476,0.24414978254034736,10,10,,True
reference,Logistic,2108,0.003706633122417498,0.011066927346362243,0.02431180577878026,0.056963516651623525,0.21652818601447255,10,10,,True
reference,Logistic,2109,0.0031494624647170656,0.009556344181411304,0.02108915616537098,0.049577118634371115,0.19347709016258488,10,10,,True
reference,Logistic,2110,0.0027117973541016176,0.00831874258938923,0.018498375487803233,0.04397274355958419,0.1734879162418025,10,10,,True
reference,Logistic,2111,0.0023080712238256304,0.007150826588167288,0.01595041880956826,0.038252921345849615,0.15598847131094976,10,10,,True
reference,Logistic,2112,0.002013813478433991,0.006153559474754997,0.01393172956362036,0.03444673774794861,0.14031212190909853,10,10,,True
reference,Logistic,2113,0.0017098019002995569,0.0053217515425194786,0.012233552113141827,0.030374675708074176,0.12404153131407321,10,10,,True
reference,Logistic,2114,0.001453320886132873,0.00460998931867484,0.010671105668816273,0.026560765527493275,0.1107198738216486,10,10,,True
reference,Logistic,2115,0.0012814151922319016,0.00398144188824699,0.009308821735538118,0.023939285129601463,0.10112836047600811,10,10,,True
reference,Logistic,2116,0.0011036440757179633,0.0034713681034780003,0.00814649992582237,0.02175415157041903,0.09147942869124101,10,10,,True
reference,Logistic,2117,0.0009391189359630219,0.0030022189081655693,0.007139404668731402,0.01912613376157826,0.08114342008619904,10,10,,True
reference,Logistic,2118,0.000815260231686686,0.002579058527707665,0.006275064762045195,0.01692787866241015,0.07278588622134839,10,10,,True
reference,Logistic,2119,0.0007033559852860788,0.0022368106848588854,0.005532765649899906,0.014917581916811144,0.06653994389838035,10,10,,True
reference,Logistic,2120,0.0006076277641235581,0.001956570171684358,0.004821816456835309,0.012988730975824809,0.059820200708610646,10,10,,True
