Scenario,Country,Model,Type,Output_Y,R2_full,n_accepted,partial_R2_g,partial_R2_target,partial_R2_g:target,partial_R2_g2,partial_R2_target2
reference,UK,Logistic,A,tp,0.7520346185528315,1932,0.05417138293278267,0.1107806377559441,0.026503851439142335,0.016179717485924193,0.0015433986923936915
reference,UK,Logistic,A,rate_2100,0.1478942148747514,1932,0.013281392838076014,0.029188807890683455,0.008773382044557756,0.005275453285938765,0.00015567162287048338
reference,UK,Logistic,A,C_sampled,0.7425146418752464,1932,0.038752262175356496,0.16086793635085322,0.09476257711851516,0.036203299982018676,0.040162741680395665
reference,UK,Gompertz,A,tp,0.9174709505173922,2544,0.07459227631701133,0.13781636156190016,0.041460834528489386,0.03884351101115747,0.009767159259123932
reference,UK,Gompertz,A,rate_2100,0.9753461729326112,2544,0.015303945830858463,0.18554253204039955,0.12156233786876876,0.018525245886590807,0.04759922424548605
reference,UK,Gompertz,A,C_sampled,0.9712419620025567,2544,0.015849306223810342,0.15931638322621175,0.09660576330588398,0.01805719987795067,0.033011079196792255
reference,US,Logistic,A,tp,0.7237026146321053,2102,0.032693213737281235,0.06671067483289154,0.004931588376584521,0.004369630650833118,0.009916171316308646
reference,US,Logistic,A,rate_2100,0.13219529272917585,2102,0.0033411838080060026,0.008892347153616998,4.246702173866277e-05,5.692820457990377e-05,0.006115002953497729
reference,US,Logistic,A,C_sampled,0.7026369122948503,2102,0.029859243291794322,0.13390996529485963,0.05885843692755343,0.023598386563582263,0.017090841784573912
reference,US,Gompertz,A,tp,0.9135991280071923,2569,0.10219774310481579,0.12677800662633004,0.03615123245529921,0.04946533894629802,0.00485585937342666
reference,US,Gompertz,A,rate_2100,0.97033812834729,2569,0.02529682756563309,0.20536687580227536,0.12114781042688036,0.02731200227973232,0.038436306789892086
reference,US,Gompertz,A,C_sampled,0.966523535082842,2569,0.023562720345490826,0.15896699419077764,0.08491910296855124,0.023815462189126047,0.024350232379376273
reference,EU,Logistic,A,tp,0.7210132387429009,2122,0.030430719903151413,0.042227046101971054,0.00026330815390188887,0.0019311040710233067,0.01592172940056058
reference,EU,Logistic,A,rate_2100,0.1672605382433352,2122,0.0019186463174489337,0.002980655105915222,0.0019901757157542634,0.0005554237749040518,0.014358373879864104
reference,EU,Logistic,A,C_sampled,0.7064392082941322,2122,0.014128735487783314,0.0862154524412046,0.022154280741606247,0.00706600697332344,0.0030722012045641687
reference,EU,Gompertz,A,tp,0.9279295307150198,2667,0.12902778615727684,0.12159625134920934,0.0348129674086584,0.06304470981933497,0.001495001397915922
reference,EU,Gompertz,A,rate_2100,0.9646441439632675,2667,0.03883729018199408,0.22757703529216086,0.12035085194692528,0.038256816532138804,0.03105557991120267
reference,EU,Gompertz,A,C_sampled,0.9642327043126804,2667,0.03391724811185221,0.16590625409992923,0.07840394253918592,0.03146153412666993,0.019004945421926357
reference,China,Logistic,A,tp,0.7759264353192413,1303,0.07165983523678221,0.18503341781957333,0.09519492276892534,0.032597501895047884,0.006550249427412936
reference,China,Logistic,A,rate_2100,0.20155401676109896,1303,0.032483356543642386,0.08455934266798147,0.0563170149007119,0.022180766840329963,0.01273094233564536
reference,China,Logistic,A,C_sampled,0.6945441340942485,1303,0.03107358056834304,0.1273650914084668,0.11174019757903668,0.03534079056143603,0.10353208439781442
reference,China,Gompertz,A,tp,0.8584158203087606,2574,0.018644050739090673,0.10005324182383711,0.029256784315742065,0.005257625991094043,0.025913578664118937
reference,China,Gompertz,A,rate_2100,0.9686646078533587,2574,0.012302780648633414,0.18865354015465458,0.13952866009851117,0.014625197326992374,0.05850756563185954
reference,China,Gompertz,A,C_sampled,0.9659104437636455,2574,0.011416300970411549,0.16619083679674135,0.11678562502430542,0.013164482909273993,0.04404825510392335
reference,Middle East,Logistic,A,tp,0.6978244972455199,1997,0.02361577910707681,0.06324276639341446,0.005962288122120339,0.002894454116852271,0.007659932330480009
reference,Middle East,Logistic,A,rate_2100,0.12003661022389589,1997,0.0048119284313984595,0.011397573107984445,0.0007884870173373137,0.0006619744332264632,0.0032070741999760937
reference,Middle East,Logistic,A,C_sampled,0.6851836077194928,1997,0.032942650611690334,0.1394031690380679,0.06342636664138503,0.026280854463482935,0.01771380230953665
reference,Middle East,Gompertz,A,tp,0.9111045076180057,2558,0.09186110422073218,0.1335557264889042,0.03970228425072914,0.044655266077688834,0.005478160402456428
