Scenario,Country,Type,C_scenario,S_0,g_cap,target_anchor,g_star_L,g_star_G,tn_L,tn_G,tp_L,tp_G,r_L,r_G,rate_2050_L,rate_2050_G,rate_2100_L,rate_2100_G,g_gap
reference,UK,A,78.0,0.11352,0.2,0.23758664013700498,0.14095867095644335,0.13824795998172687,2067.7505866490915,2060.2297084542115,2077.2855423035626,2092.0483203527124,0.1381189325518559,0.03024719158677518,0.23758664013700478,0.2375866400907862,0.42947269463736537,0.845031669807285,0.0027107109747164793
reference,US,A,506.0,1.35543,0.2,2.070188496809224,0.1285468048613464,0.1338223118867548,2066.120322852098,2056.3099410568225,2076.4551570237,2087.328749723873,0.12742903031221908,0.03102709908848115,2.070188496809105,2.070188496810756,2.9121681803656965,5.395494110357353,-0.00527550702540841
reference,EU,A,94.0,0.40919,0.2,0.43955338363166147,0.11519219548879567,0.124586060691688,2065.6106306966635,2054.0074602988434,2077.0058759313747,2085.624839998769,0.11557082535733468,0.03043970307638943,0.4395533836299488,0.43955338363167396,0.6652574414539499,0.9686150258769115,-0.00939386520289233
reference,China,A,403.0,0.06987,0.25,0.4935275046147622,0.19403265909696854,0.16335344357414455,2070.0690331854757,2069.9322707881147,2077.2554385425037,2102.0578603930608,0.1832568344668814,0.029958163008190396,0.49352750460442574,0.493527504417256,1.1087656997735595,4.432851781041474,0.030679215522823988
reference,Middle East,A,45.6,0.09961,0.2,0.17073074920271236,0.1330285000708211,0.1358237401209281,2066.607337130275,2057.547247254285,2076.635994756307,2088.7312390797842,0.13131945929695357,0.03086274699867757,0.17073074920040537,0.17073074922964207,0.25429014172688913,0.4904983400821304,-0.0027952400501070063
reference,Australia,A,502.4,0.0619,0.2,0.16421065896988796,0.15133334474841667,0.11364822818808899,2082.847260764758,2089.3043437519136,2091.904084124466,2135.5203154550477,0.14541057549865954,0.02082448155155714,0.16421065896984785,0.1642106589649302,13.154616508922876,2.6970872492250257,0.03768511656032768
reference,Canada,A,404.0,0.10907,0.2,0.29606251235888115,0.15192409803291257,0.12331057736616774,2077.109160467911,2078.152190904377,2086.1006400558044,2118.6685983238613,0.14646731764792154,0.023753923692069148,0.29606251235882936,0.29606251235887415,6.044845721986608,3.148048198983353,0.02861352066674483
reference,Indonesia,A,15.9,0.0177,0.2,0.04157252113185607,0.14564774392465463,0.1390693808398269,2068.5830966188746,2062.1206088749836,2077.851293278254,2094.505354483216,0.14209429787962655,0.02971842551310814,0.04157252113185582,0.041572521128945404,0.08925132735946256,0.17164891075481759,0.006578363084827732
reference,Thailand,A,10.5,0.004,0.2,0.010996543796049113,0.15232240720740897,0.12855771453252576,2074.5655568859825,2073.44949774735,2083.5184951308643,2111.4304464773777,0.14709784217239583,0.025339642170610528,0.010996543796047724,0.010996543798385381,0.11540178663582117,0.0934510434738784,0.02376469267488321
reference,Brazil,A,300.0,0.3266,0.2,0.7721141427073136,0.1459139147302951,0.13897203910468753,2068.6809565849053,2062.3130135792385,2077.9349918026373,2094.780436758321,0.14231174465397456,0.029642748203659704,0.7721141427073043,0.772114142654501,1.6975770576101783,3.2344839317277074,0.00694187562560758
minimum,UK,A,7.8,0.11352,0.1,0.027257063823699322,0.06475041253181281,0.07154711104012614,2072.644620698191,2053.3253878102146,2092.0220255663226,2100.1178528062896,0.06796358469501278,0.02056791943318081,0.027257063816876727,0.027257063823699343,0.12324646069911,0.05901864118693637,-0.006796698508313326
