country,scenario,model,years_of_shortfall_asc,total_unmet_volume_gt_asc,whole_period_pass_asc,years_of_shortfall_desc,total_unmet_volume_gt_desc,whole_period_pass_desc,d_years_of_shortfall,d_total_unmet_gt,pass_flip,total_wells_asc_2050,n_eff_asc_2050,active_basins_asc_2050,total_wells_desc_2050,n_eff_desc_2050,active_basins_desc_2050,d_total_wells_2050,d_n_eff_2050,d_active_basins_2050,total_wells_asc_2100,n_eff_asc_2100,active_basins_asc_2100,total_wells_desc_2100,n_eff_desc_2100,active_basins_desc_2100,d_total_wells_2100,d_n_eff_2100,d_active_basins_2100,total_wells_asc_2179,n_eff_asc_2179,active_basins_asc_2179,total_wells_desc_2179,n_eff_desc_2179,active_basins_desc_2179,d_total_wells_2179,d_n_eff_2179,d_active_basins_2179
Australia,growth10,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,44,1.09,3,56,1.0,1,12,-0.09000000000000008,-2,144,1.76,4,56,1.0,1,-88,-0.76,-3,690,2.91,6,56,1.0,1,-634,-1.9100000000000001,-5
Australia,growth10,Logistic,14,4.3897,False,18,9.8643,False,4,5.4746,False,44,1.09,3,930,1.0,1,886,-0.09000000000000008,-2,971,3.82,7,930,1.0,1,-41,-2.82,-6,3516,2.88,9,1954,1.62,2,-1562,-1.2599999999999998,-7
Brazil,growth10,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,94,1.88,4,72,1.0,1,-22,-0.8799999999999999,-3,788,3.64,7,72,1.0,1,-716,-2.64,-6,788,1.95,7,72,1.0,1,-716,-0.95,-6
Brazil,growth10,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,94,1.88,4,289,1.0,1,195,-0.8799999999999999,-3,1791,2.61,8,289,1.0,1,-1502,-1.6099999999999999,-7,325,2.98,6,289,1.0,1,-36,-1.98,-5
Canada,growth10,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,463,1.02,2,484,1.0,1,21,-0.020000000000000018,-1,463,1.0,2,484,1.0,1,21,0.0,-1,947,1.92,3,884,1.98,2,-63,0.06000000000000005,-1
Canada,growth10,Logistic,82,283.1789,False,82,282.6934,False,0,-0.4855000000000018,False,343,1.02,2,484,1.0,1,141,-0.020000000000000018,-1,827,1.91,3,947,2.0,3,120,0.09000000000000008,0,827,1.91,3,947,2.0,3,120,0.09000000000000008,0
China,growth10,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,29,1.43,10,324,1.0,1,295,-0.42999999999999994,-9,204,3.42,13,324,1.0,1,120,-2.42,-12,839,3.94,16,534,1.91,2,-305,-2.0300000000000002,-14
China,growth10,Logistic,63,185.961,False,63,187.7465,False,0,1.7854999999999848,False,29,1.43,10,256,1.0,1,227,-0.42999999999999994,-9,846,6.51,18,784,2.63,3,-62,-3.88,-15,1862,7.39,21,1759,9.29,21,-103,1.8999999999999995,0
EU,growth10,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,149,4.54,14,30,1.0,1,-119,-3.54,-13,526,7.13,18,30,1.0,1,-496,-6.13,-17,526,6.9,18,30,1.0,1,-496,-5.9,-17
EU,growth10,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,119,3.85,13,272,1.0,1,153,-2.85,-12,1067,4.74,20,272,1.0,1,-795,-3.74,-19,34,2.97,11,272,1.0,1,238,-1.9700000000000002,-10
Indonesia,growth10,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,17,1.3,2,4,1.0,1,-13,-0.30000000000000004,-1,53,1.37,3,4,1.0,1,-49,-0.3700000000000001,-2,53,1.94,3,4,1.0,1,-49,-0.94,-2
Indonesia,growth10,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,17,1.3,2,16,1.0,1,-1,-0.30000000000000004,-1,115,2.7,4,16,1.0,1,-99,-1.7000000000000002,-3,17,1.06,2,16,1.0,1,-1,-0.06000000000000005,-1
Middle East,growth10,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,38,1.03,3,16,1.0,1,-22,-0.030000000000000027,-2,220,1.61,4,16,1.0,1,-204,-0.6100000000000001,-3,220,1.4,4,16,1.0,1,-204,-0.3999999999999999,-3
Middle East,growth10,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,38,1.03,3,42,1.0,1,4,-0.030000000000000027,-2,581,1.97,5,42,1.0,1,-539,-0.97,-4,38,1.04,3,42,1.0,1,4,-0.040000000000000036,-2
Thailand,growth10,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,36,1.0,1,9,1.0,1,-27,0.0,0,36,1.0,1,9,1.0,1,-27,0.0,0,36,1.0,1,9,1.0,1,-27,0.0,0
Thailand,growth10,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,36,1.0,1,64,1.0,1,28,0.0,0,61,1.84,2,64,1.0,1,3,-0.8400000000000001,-1,36,1.0,1,64,1.0,1,28,0.0,0
UK,growth10,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,51,1.73,2,42,1.0,1,-9,-0.73,-1,296,3.19,4,42,1.0,1,-254,-2.19,-3,300,2.69,5,42,1.0,1,-258,-1.69,-4
UK,growth10,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,51,1.73,2,961,1.0,1,910,-0.73,-1,588,3.54,6,961,1.0,1,373,-2.54,-5,100,2.2,3,961,1.0,1,861,-1.2000000000000002,-2
US,growth10,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,334,3.53,13,625,1.0,1,291,-2.53,-12,1320,4.25,16,625,1.0,1,-695,-3.25,-15,1320,3.86,16,625,1.0,1,-695,-2.86,-15
US,growth10,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,334,3.53,13,930,1.0,1,596,-2.53,-12,5265,4.22,18,5026,1.86,2,-239,-2.3599999999999994,-16,334,4.96,13,930,1.0,1,596,-3.96,-12
Australia,ipcc_high,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,270,2.51,5,342,1.0,1,72,-1.5099999999999998,-4,1483,2.61,9,1804,2.37,4,321,-0.23999999999999977,-5,1483,3.9,9,1018,1.34,2,-465,-2.5599999999999996,-7
Australia,ipcc_high,Logistic,20,105.2788,False,20,113.4818,False,0,8.203000000000003,False,270,1.74,4,930,1.0,1,660,-0.74,-3,3961,2.55,9,2652,1.79,2,-1309,-0.7599999999999998,-7,1,1.0,1,930,1.0,1,929,0.0,0
Brazil,ipcc_high,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,2197,2.74,7,1024,1.0,1,-1173,-1.7400000000000002,-6,185,1.91,4,1024,1.0,1,839,-0.9099999999999999,-3,1,1.0,1,1024,1.0,1,1023,0.0,0
Canada,ipcc_high,Gompertz,125,257.0985,False,125,259.044,False,0,1.9454999999999814,False,634,1.81,3,633,1.32,2,-1,-0.49,-1,634,1.95,3,634,1.98,3,0,0.030000000000000027,0,634,1.95,3,634,1.98,3,0,0.030000000000000027,0
Canada,ipcc_high,Logistic,47,321.7162,False,46,314.8694,False,-1,-6.84680000000003,False,463,1.0,2,676,1.0,1,213,0.0,-1,1139,1.88,3,1327,2.0,3,188,0.1200000000000001,0,1,1.0,1,676,1.0,1,675,0.0,0
EU,ipcc_high,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,473,7.1,18,144,1.0,1,-329,-6.1,-17,788,5.74,20,144,1.0,1,-644,-4.74,-19,191,5.32,15,144,1.0,1,-47,-4.32,-14
EU,ipcc_high,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,457,5.36,16,144,1.0,1,-313,-4.36,-15,613,6.08,17,144,1.0,1,-469,-5.08,-16,1,1.0,1,144,1.0,1,143,0.0,0
Middle East,ipcc_high,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,509,1.63,5,30,1.0,1,-479,-0.6299999999999999,-4,509,1.96,5,30,1.0,1,-479,-0.96,-4,148,2.01,4,30,1.0,1,-118,-1.0099999999999998,-3
Middle East,ipcc_high,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,283,1.82,4,81,1.0,1,-202,-0.8200000000000001,-3,283,1.57,4,81,1.0,1,-202,-0.5700000000000001,-3,1,1.0,1,81,1.0,1,80,0.0,0
Thailand,ipcc_high,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,30,1.0,1,16,1.0,1,-14,0.0,0,42,1.87,2,16,1.0,1,-26,-0.8700000000000001,-1,42,1.32,2,16,1.0,1,-26,-0.32000000000000006,-1
Thailand,ipcc_high,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,49,1.0,1,272,1.0,1,223,0.0,0,98,1.99,2,272,1.0,1,174,-0.99,-1,49,1.0,1,272,1.0,1,223,0.0,0
UK,ipcc_high,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,456,2.96,5,272,1.0,1,-184,-1.96,-4,481,3.46,6,272,1.0,1,-209,-2.46,-5,200,3.2,4,272,1.0,1,72,-2.2,-3
UK,ipcc_high,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,357,2.74,4,1560,1.0,1,1203,-1.7400000000000002,-3,357,2.88,4,1560,1.0,1,1203,-1.88,-3,12,1.0,1,1560,1.0,1,1548,0.0,0
US,ipcc_high,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,2561,4.38,17,4962,1.8,2,2401,-2.58,-15,5061,4.16,18,4962,2.0,2,-99,-2.16,-16,334,4.79,13,930,1.0,1,596,-3.79,-12
US,ipcc_high,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,3312,4.06,16,2862,1.0,1,-450,-3.0599999999999996,-15,732,3.21,13,2862,1.0,1,2130,-2.21,-12,1,1.0,1,2862,1.0,1,2861,0.0,0
Australia,ipcc_low,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,83,1.31,3,9,1.0,1,-74,-0.31000000000000005,-2,83,1.06,3,9,1.0,1,-74,-0.06000000000000005,-2,87,1.89,4,9,1.0,1,-78,-0.8899999999999999,-3
Australia,ipcc_low,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,74,1.31,3,72,1.0,1,-2,-0.31000000000000005,-2,74,1.03,3,72,1.0,1,-2,-0.030000000000000027,-2,1082,1.75,5,72,1.0,1,-1010,-0.75,-4
Canada,ipcc_low,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,7,1.5,2,2,1.0,1,-5,-0.5,-1,7,1.25,2,2,1.0,1,-5,-0.25,-1,7,1.09,2,2,1.0,1,-5,-0.09000000000000008,-1
China,ipcc_low,Gompertz,59,24.3256,False,59,25.0583,False,0,0.7326999999999977,False,96,3.11,12,256,1.0,1,160,-2.11,-11,1200,7.39,20,1204,5.32,6,4,-2.0699999999999994,-14,1620,6.83,21,1699,9.73,21,79,2.9000000000000004,0
China,ipcc_low,Logistic,46,226.5324,False,47,232.1465,False,1,5.614100000000008,False,123,3.17,12,324,1.0,1,201,-2.17,-11,2429,6.56,21,2206,9.77,21,-223,3.21,0,29,4.52,10,324,1.0,1,295,-3.5199999999999996,-9
EU,ipcc_low,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,473,7.16,18,272,1.0,1,-201,-6.16,-17,791,5.78,20,272,1.0,1,-519,-4.78,-19,142,5.0,14,272,1.0,1,130,-4.0,-13
EU,ipcc_low,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,457,5.7,16,144,1.0,1,-313,-4.7,-15,613,6.54,17,144,1.0,1,-469,-5.54,-16,1,1.0,1,144,1.0,1,143,0.0,0
