allocation_order,scenario,pathway,country,model,status,basin_match_basis,basin_count,peak_demand_mt_yr,allocated_peak_mt_yr
descend,growth10,v8_fixedC_deterministic,Australia,Gompertz,ok,AssignedCountry == Australia,9,1018.2543059017684,1070.2359611847442
descend,growth10,v8_fixedC_deterministic,Australia,Logistic,ok,AssignedCountry == Australia,9,8995.643670420279,8150.319489231681
descend,growth10,v8_fixedC_deterministic,Brazil,Gompertz,ok,AssignedCountry == Brazil,10,1394.7129321496614,1409.8173679127044
descend,growth10,v8_fixedC_deterministic,Brazil,Logistic,ok,AssignedCountry == Brazil,10,5446.253643540346,5658.850268427382
descend,growth10,v8_fixedC_deterministic,Canada,Gompertz,ok,AssignedCountry == Canada,3,1199.6800461631585,1214.675316469144
descend,growth10,v8_fixedC_deterministic,Canada,Logistic,ok,AssignedCountry == Canada,3,7284.418967472434,960.494520097608
descend,growth10,v8_fixedC_deterministic,China,Gompertz,ok,AssignedCountry == China,21,992.0541937835696,1002.4370652357225
descend,growth10,v8_fixedC_deterministic,China,Logistic,ok,AssignedCountry == China,21,7285.685000535379,2220.734975503366
descend,growth10,v8_fixedC_deterministic,EU,Gompertz,ok,RegionGroup in ['Europe'] and AssignedCountry not in ['UK'],28,579.728916930102,595.2749781720303
descend,growth10,v8_fixedC_deterministic,EU,Logistic,ok,RegionGroup in ['Europe'] and AssignedCountry not in ['UK'],28,1721.4794586100593,1744.6982986956966
descend,growth10,v8_fixedC_deterministic,Indonesia,Gompertz,ok,AssignedCountry == Indonesia,11,73.1327657149048,73.75273342387099
descend,growth10,v8_fixedC_deterministic,Indonesia,Logistic,ok,AssignedCountry == Indonesia,11,285.2203516579609,291.5581730825693
descend,growth10,v8_fixedC_deterministic,Middle East,Gompertz,ok,RegionGroup in ['Middle East'],13,241.40441282995388,244.60682891620294
descend,growth10,v8_fixedC_deterministic,Middle East,Logistic,ok,RegionGroup in ['Middle East'],13,828.599831400911,830.8147248870364
descend,growth10,v8_fixedC_deterministic,Thailand,Gompertz,ok,AssignedCountry == Thailand,2,42.4574815651362,42.5155897530135
descend,growth10,v8_fixedC_deterministic,Thailand,Logistic,ok,AssignedCountry == Thailand,2,205.5595022219987,208.5909064145658
descend,growth10,v8_fixedC_deterministic,UK,Gompertz,ok,AssignedCountry == UK,6,381.8269909357975,384.1019312482123
descend,growth10,v8_fixedC_deterministic,UK,Logistic,ok,AssignedCountry == UK,6,1415.2917469673366,1424.3649994014795
descend,growth10,v8_fixedC_deterministic,US,Gompertz,ok,AssignedCountry in ['USA'],20,2749.316359847258,2938.311681197277
descend,growth10,v8_fixedC_deterministic,US,Logistic,ok,AssignedCountry in ['USA'],20,9082.716398834757,9130.743528079278
descend,ipcc_high,v8_fixedC_deterministic,Australia,Gompertz,ok,AssignedCountry == Australia,9,4339.253848428503,4350.836983609751
descend,ipcc_high,v8_fixedC_deterministic,Australia,Logistic,ok,AssignedCountry == Australia,9,20015.114837514167,10978.564915978799
descend,ipcc_high,v8_fixedC_deterministic,Brazil,Gompertz,no_growth_path,AssignedCountry == Brazil,10,,0.0
descend,ipcc_high,v8_fixedC_deterministic,Brazil,Logistic,ok,AssignedCountry == Brazil,10,13447.766567530212,13705.573095194459
descend,ipcc_high,v8_fixedC_deterministic,Canada,Gompertz,ok,AssignedCountry == Canada,3,4039.8224412284226,686.7229488224126
descend,ipcc_high,v8_fixedC_deterministic,Canada,Logistic,ok,AssignedCountry == Canada,3,16344.907802581776,1523.5606296637584
descend,ipcc_high,v8_fixedC_deterministic,China,Gompertz,no_growth_path,AssignedCountry == China,21,,0.0
descend,ipcc_high,v8_fixedC_deterministic,China,Logistic,no_growth_path,AssignedCountry == China,21,,0.0
descend,ipcc_high,v8_fixedC_deterministic,EU,Gompertz,ok,RegionGroup in ['Europe'] and AssignedCountry not in ['UK'],28,1036.0541865264795,1036.055798116013
descend,ipcc_high,v8_fixedC_deterministic,EU,Logistic,ok,RegionGroup in ['Europe'] and AssignedCountry not in ['UK'],28,2683.9689129601115,2818.9698825881833
descend,ipcc_high,v8_fixedC_deterministic,Indonesia,Gompertz,no_growth_path,AssignedCountry == Indonesia,11,,0.0
descend,ipcc_high,v8_fixedC_deterministic,Indonesia,Logistic,no_growth_path,AssignedCountry == Indonesia,11,,0.0
descend,ipcc_high,v8_fixedC_deterministic,Middle East,Gompertz,ok,RegionGroup in ['Middle East'],13,520.1797013235507,520.349847562919
descend,ipcc_high,v8_fixedC_deterministic,Middle East,Logistic,ok,RegionGroup in ['Middle East'],13,1500.5752644726438,1602.2855408535702
descend,ipcc_high,v8_fixedC_deterministic,Thailand,Gompertz,ok,AssignedCountry == Thailand,2,97.973502722853,102.45052431412074
descend,ipcc_high,v8_fixedC_deterministic,Thailand,Logistic,ok,AssignedCountry == Thailand,2,385.93607889655453,387.4101235392086
descend,ipcc_high,v8_fixedC_deterministic,UK,Gompertz,ok,AssignedCountry == UK,6,880.1266063804112,890.0771745518722
descend,ipcc_high,v8_fixedC_deterministic,UK,Logistic,ok,AssignedCountry == UK,6,2719.388496093942,2770.856675266527
descend,ipcc_high,v8_fixedC_deterministic,US,Gompertz,ok,AssignedCountry in ['USA'],20,7411.68245084547,8128.836988543824
descend,ipcc_high,v8_fixedC_deterministic,US,Logistic,ok,AssignedCountry in ['USA'],20,19013.64086949725,19045.43848832946
descend,ipcc_low,v8_fixedC_deterministic,Australia,Gompertz,ok,AssignedCountry == Australia,9,164.67651524350399,179.982
descend,ipcc_low,v8_fixedC_deterministic,Australia,Logistic,ok,AssignedCountry == Australia,9,1353.0015609955658,1368.1649914954305
descend,ipcc_low,v8_fixedC_deterministic,Brazil,Gompertz,no_growth_path,AssignedCountry == Brazil,10,,0.0
descend,ipcc_low,v8_fixedC_deterministic,Brazil,Logistic,no_growth_path,AssignedCountry == Brazil,10,,0.0
descend,ipcc_low,v8_fixedC_deterministic,Canada,Gompertz,no_growth_path,AssignedCountry == Canada,3,,0.0
descend,ipcc_low,v8_fixedC_deterministic,Canada,Logistic,ok,AssignedCountry == Canada,3,9.1633622004821,10.199522767378069
descend,ipcc_low,v8_fixedC_deterministic,China,Gompertz,ok,AssignedCountry == China,21,2510.9354098441404,1953.9955755818237
descend,ipcc_low,v8_fixedC_deterministic,China,Logistic,ok,AssignedCountry == China,21,11925.147741969613,2635.461361254626
descend,ipcc_low,v8_fixedC_deterministic,EU,Gompertz,ok,RegionGroup in ['Europe'] and AssignedCountry not in ['UK'],28,1066.755284272047,1071.0150494651207
descend,ipcc_low,v8_fixedC_deterministic,EU,Logistic,ok,RegionGroup in ['Europe'] and AssignedCountry not in ['UK'],28,2739.719675085697,2818.9698825881833
descend,ipcc_low,v8_fixedC_deterministic,Indonesia,Gompertz,ok,AssignedCountry == Indonesia,11,53.0837334152234,54.50436685054675
descend,ipcc_low,v8_fixedC_deterministic,Indonesia,Logistic,ok,AssignedCountry == Indonesia,11,235.6025953244047,239.976
descend,ipcc_low,v8_fixedC_deterministic,Middle East,Gompertz,ok,RegionGroup in ['Middle East'],13,521.0115646832179,593.439089205026
descend,ipcc_low,v8_fixedC_deterministic,Middle East,Logistic,ok,RegionGroup in ['Middle East'],13,1502.5057031349988,1602.2855408535702
descend,ipcc_low,v8_fixedC_deterministic,Thailand,Gompertz,ok,AssignedCountry == Thailand,2,97.49160783775281,97.93683069988899
descend,ipcc_low,v8_fixedC_deterministic,Thailand,Logistic,ok,AssignedCountry == Thailand,2,384.7801535603611,387.4101235392086
descend,ipcc_low,v8_fixedC_deterministic,UK,Gompertz,ok,AssignedCountry == UK,6,862.6307701932453,890.0771745518722
descend,ipcc_low,v8_fixedC_deterministic,UK,Logistic,ok,AssignedCountry == UK,6,2678.904528162542,2717.572462846453
descend,ipcc_low,v8_fixedC_deterministic,US,Gompertz,no_growth_path,AssignedCountry in ['USA'],20,,0.0
descend,ipcc_low,v8_fixedC_deterministic,US,Logistic,no_growth_path,AssignedCountry in ['USA'],20,,0.0
descend,maximum,v8_fixedC_deterministic,Australia,Gompertz,ok,AssignedCountry == Australia,9,28973.126757244063,3899.7402664161195
descend,maximum,v8_fixedC_deterministic,Australia,Logistic,ok,AssignedCountry == Australia,9,184016.87372397594,5120.659015138015
descend,maximum,v8_fixedC_deterministic,Brazil,Gompertz,ok,AssignedCountry == Brazil,10,22956.990798928382,16936.284702936468
descend,maximum,v8_fixedC_deterministic,Brazil,Logistic,ok,AssignedCountry == Brazil,10,110510.05179700433,33343.49651520281
descend,maximum,v8_fixedC_deterministic,Canada,Gompertz,ok,AssignedCountry == Canada,3,25774.06543141216,686.7229488224126
