country,scenario,model,allocation_order,whole_period_pass,years_of_shortfall,first_shortfall_year,last_shortfall_year,shortfall_window_yr,max_gap_rate_mt_yr,max_gap_year,total_unmet_volume_gt,cumulative_demand_full_gt,cumulative_screened_full_gt,overall_r_cumulative
US,ipcc_high,Gompertz,descend,True,0,,,0,0.0,,0.0,497.074,497.074,1.0
US,ipcc_high,Logistic,descend,True,0,,,0,0.0,,0.0,504.7437,504.7437,1.0
Australia,ipcc_low,Gompertz,descend,True,0,,,0,0.0,,0.0,7.6767,7.6767,1.0
Australia,ipcc_low,Logistic,descend,True,0,,,0,0.0,,0.0,34.5285,34.5285,1.0
Canada,ipcc_low,Logistic,descend,True,0,,,0,0.0,,0.0,0.6189,0.6189,1.0
China,ipcc_low,Gompertz,descend,False,59,2121.0,2179.0,59,556.9398,2157.0,25.0583,202.3922,177.3339,0.8762
China,ipcc_low,Logistic,descend,False,47,2080.0,2126.0,47,9289.6864,2103.0,232.1465,402.8863,170.7398,0.4238
EU,ipcc_low,Gompertz,descend,True,0,,,0,0.0,,0.0,88.6825,88.6825,1.0
EU,ipcc_low,Logistic,descend,True,0,,,0,0.0,,0.0,93.6135,93.6135,1.0
Indonesia,ipcc_low,Gompertz,descend,True,0,,,0,0.0,,0.0,3.4812,3.4812,1.0
Indonesia,ipcc_low,Logistic,descend,True,0,,,0,0.0,,0.0,14.0892,14.0892,1.0
Middle East,ipcc_low,Gompertz,descend,True,0,,,0,0.0,,0.0,42.8988,42.8988,1.0
Middle East,ipcc_low,Logistic,descend,True,0,,,0,0.0,,0.0,45.5067,45.5067,1.0
Thailand,ipcc_low,Gompertz,descend,True,0,,,0,0.0,,0.0,8.759,8.759,1.0
Thailand,ipcc_low,Logistic,descend,True,0,,,0,0.0,,0.0,10.4963,10.4963,1.0
UK,ipcc_low,Gompertz,descend,True,0,,,0,0.0,,0.0,72.4097,72.4097,1.0
UK,ipcc_low,Logistic,descend,True,0,,,0,0.0,,0.0,77.894,77.894,1.0
Australia,maximum,Gompertz,descend,False,91,2089.0,2179.0,91,25073.3865,2179.0,1301.8986,1712.2927,410.3941,0.2397
Australia,maximum,Logistic,descend,False,67,2074.0,2140.0,67,178896.2147,2107.0,4607.3294,5023.8177,416.4883,0.0829
Brazil,maximum,Gompertz,descend,False,76,2104.0,2179.0,76,6020.7061,2136.0,294.6735,1996.5094,1701.8359,0.8524
Brazil,maximum,Logistic,descend,False,33,2076.0,2108.0,33,77166.5553,2092.0,1415.0757,2999.6894,1584.6138,0.5283
Canada,maximum,Gompertz,descend,False,122,2058.0,2179.0,122,25087.3425,2166.0,1749.1736,1838.7484,89.5748,0.0487
Canada,maximum,Logistic,descend,False,88,2058.0,2145.0,88,148012.4505,2101.0,3950.7978,4039.8591,89.0613,0.022
China,maximum,Gompertz,descend,False,121,2059.0,2179.0,121,30815.1798,2140.0,2452.5122,2633.0851,180.573,0.0686
China,maximum,Logistic,descend,False,62,2059.0,2120.0,62,183052.7996,2089.0,3857.4467,4029.9361,172.4894,0.0428
EU,maximum,Gompertz,descend,False,82,2075.0,2156.0,82,3762.8026,2108.0,191.7825,803.9773,612.1949,0.7615
EU,maximum,Logistic,descend,False,30,2068.0,2097.0,30,22758.5515,2082.0,396.8307,939.6198,542.789,0.5777
Indonesia,maximum,Gompertz,descend,True,0,,,0,0.0,,0.0,104.8912,104.8912,1.0
Indonesia,maximum,Logistic,descend,True,0,,,0,0.0,,0.0,158.9831,158.9831,1.0
Middle East,maximum,Gompertz,descend,True,0,,,0,0.0,,0.0,349.1726,349.1726,1.0
Middle East,maximum,Logistic,descend,True,0,,,0,0.0,,0.0,455.907,455.907,1.0
Thailand,maximum,Gompertz,descend,False,66,2114.0,2179.0,66,253.7579,2159.0,12.6015,52.628,40.0265,0.7606
Thailand,maximum,Logistic,descend,False,40,2080.0,2119.0,40,3121.2454,2099.0,65.1351,104.9955,39.8604,0.3796
UK,maximum,Gompertz,descend,False,115,2065.0,2179.0,115,5154.8708,2130.0,417.3308,553.1101,135.7793,0.2455
UK,maximum,Logistic,descend,False,55,2063.0,2117.0,55,26767.5736,2090.0,644.8502,779.8932,135.043,0.1732
US,maximum,Gompertz,descend,False,120,2060.0,2179.0,120,35650.5963,2120.0,2905.4499,3960.0593,1054.6093,0.2663
US,maximum,Logistic,descend,False,52,2061.0,2112.0,52,168516.4021,2087.0,4039.848,5058.734,1018.8859,0.2014
Australia,minimum,Gompertz,descend,True,0,,,0,0.0,,0.0,19.2034,19.2034,1.0
Australia,minimum,Logistic,descend,True,0,,,0,0.0,,0.0,49.4506,49.4506,1.0
Brazil,minimum,Gompertz,descend,True,0,,,0,0.0,,0.0,23.1412,23.1412,1.0
Brazil,minimum,Logistic,descend,True,0,,,0,0.0,,0.0,29.597,29.597,1.0
Canada,minimum,Gompertz,descend,True,0,,,0,0.0,,0.0,21.3384,21.3384,1.0
Canada,minimum,Logistic,descend,True,0,,,0,0.0,,0.0,40.0008,40.0008,1.0
China,minimum,Gompertz,descend,True,0,,,0,0.0,,0.0,17.5187,17.5187,1.0
China,minimum,Logistic,descend,True,0,,,0,0.0,,0.0,39.7512,39.7512,1.0
EU,minimum,Gompertz,descend,True,0,,,0,0.0,,0.0,7.4293,7.4293,1.0
EU,minimum,Logistic,descend,True,0,,,0,0.0,,0.0,8.8716,8.8716,1.0
Indonesia,minimum,Gompertz,descend,True,0,,,0,0.0,,0.0,1.2397,1.2397,1.0
Indonesia,minimum,Logistic,descend,True,0,,,0,0.0,,0.0,1.5687,1.5687,1.0
Middle East,minimum,Gompertz,descend,True,0,,,0,0.0,,0.0,3.7902,3.7902,1.0
Middle East,minimum,Logistic,descend,True,0,,,0,0.0,,0.0,4.4485,4.4485,1.0
Thailand,minimum,Gompertz,descend,True,0,,,0,0.0,,0.0,0.7185,0.7185,1.0
Thailand,minimum,Logistic,descend,True,0,,,0,0.0,,0.0,1.0443,1.0443,1.0
UK,minimum,Gompertz,descend,True,0,,,0,0.0,,0.0,6.3069,6.3069,1.0
UK,minimum,Logistic,descend,True,0,,,0,0.0,,0.0,7.6699,7.6699,1.0
US,minimum,Gompertz,descend,True,0,,,0,0.0,,0.0,41.9049,41.9049,1.0
US,minimum,Logistic,descend,True,0,,,0,0.0,,0.0,49.0533,49.0533,1.0
Australia,policy,Gompertz,descend,True,0,,,0,0.0,,0.0,340.2359,340.2359,1.0
Australia,policy,Logistic,descend,False,22,2081.0,2102.0,22,8020.6014,2091.0,107.6029,502.3412,394.7384,0.7858
Brazil,policy,Gompertz,descend,True,0,,,0,0.0,,0.0,277.6954,277.6954,1.0
Brazil,policy,Logistic,descend,True,0,,,0,0.0,,0.0,299.6962,299.6962,1.0
Canada,policy,Gompertz,descend,False,63,2117.0,2179.0,63,924.1803,2179.0,35.17,126.5554,91.3855,0.7221
Canada,policy,Logistic,descend,False,81,2081.0,2161.0,81,8223.1333,2121.0,310.0857,401.8942,91.8085,0.2284
China,policy,Gompertz,descend,False,101,2079.0,2179.0,101,1890.2319,2124.0,127.7299,305.9636,178.2337,0.5825
China,policy,Logistic,descend,False,37,2069.0,2105.0,37,11847.6147,2087.0,231.5488,402.9349,171.3861,0.4253
EU,policy,Gompertz,descend,True,0,,,0,0.0,,0.0,84.629,84.629,1.0
EU,policy,Logistic,descend,True,0,,,0,0.0,,0.0,93.6087,93.6087,1.0
Indonesia,policy,Gompertz,descend,True,0,,,0,0.0,,0.0,14.7488,14.7488,1.0
Indonesia,policy,Logistic,descend,True,0,,,0,0.0,,0.0,15.8835,15.8835,1.0
Middle East,policy,Gompertz,descend,True,0,,,0,0.0,,0.0,42.7036,42.7036,1.0
Middle East,policy,Logistic,descend,True,0,,,0,0.0,,0.0,45.5067,45.5067,1.0
Thailand,policy,Gompertz,descend,True,0,,,0,0.0,,0.0,8.8281,8.8281,1.0
Thailand,policy,Logistic,descend,True,0,,,0,0.0,,0.0,10.4963,10.4963,1.0
UK,policy,Gompertz,descend,True,0,,,0,0.0,,0.0,69.1675,69.1675,1.0
UK,policy,Logistic,descend,True,0,,,0,0.0,,0.0,77.8932,77.8932,1.0
US,policy,Gompertz,descend,True,0,,,0,0.0,,0.0,412.8842,412.8842,1.0
US,policy,Logistic,descend,True,0,,,0,0.0,,0.0,504.6612,504.6612,1.0
Australia,reference,Gompertz,descend,True,0,,,0,0.0,,0.0,336.6552,336.6552,1.0
Australia,reference,Logistic,descend,False,21,2082.0,2102.0,21,7920.2876,2092.0,105.9667,502.341,396.3743,0.7891
Brazil,reference,Gompertz,descend,True,0,,,0,0.0,,0.0,276.3198,276.3198,1.0
Brazil,reference,Logistic,descend,True,0,,,0,0.0,,0.0,299.6959,299.6959,1.0
Canada,reference,Gompertz,descend,False,120,2060.0,2179.0,120,2843.5538,2119.0,229.9002,319.0539,89.1537,0.2794
Canada,reference,Logistic,descend,False,51,2061.0,2111.0,51,13432.4051,2086.0,315.813,403.8983,88.0853,0.2181
China,reference,Gompertz,descend,False,108,2062.0,2169.0,108,3031.3236,2102.0,186.8133,365.2205,178.4072,0.4885
China,reference,Logistic,descend,False,31,2062.0,2092.0,31,14548.6866,2077.0,237.5057,402.9363,165.4306,0.4106
EU,reference,Gompertz,descend,True,0,,,0,0.0,,0.0,88.3795,88.3795,1.0
EU,reference,Logistic,descend,True,0,,,0,0.0,,0.0,93.6132,93.6132,1.0
Indonesia,reference,Gompertz,descend,True,0,,,0,0.0,,0.0,14.6618,14.6618,1.0
Indonesia,reference,Logistic,descend,True,0,,,0,0.0,,0.0,15.8835,15.8835,1.0
Middle East,reference,Gompertz,descend,True,0,,,0,0.0,,0.0,42.8229,42.8229,1.0
Middle East,reference,Logistic,descend,True,0,,,0,0.0,,0.0,45.5067,45.5067,1.0
Thailand,reference,Gompertz,descend,True,0,,,0,0.0,,0.0,8.7826,8.7826,1.0
Thailand,reference,Logistic,descend,True,0,,,0,0.0,,0.0,10.4963,10.4963,1.0
UK,reference,Gompertz,descend,True,0,,,0,0.0,,0.0,72.5521,72.5521,1.0
UK,reference,Logistic,descend,True,0,,,0,0.0,,0.0,77.8941,77.8941,1.0
US,reference,Gompertz,descend,True,0,,,0,0.0,,0.0,476.5978,476.5978,1.0
US,reference,Logistic,descend,True,0,,,0,0.0,,0.0,504.7279,504.7279,1.0
Australia,us1gt,Gompertz,descend,True,0,,,0,0.0,,0.0,345.42,345.42,1.0
Australia,us1gt,Logistic,descend,False,21,2081.0,2101.0,21,8223.9095,2091.0,109.6787,502.3415,392.6629,0.7817
Brazil,us1gt,Gompertz,descend,True,0,,,0,0.0,,0.0,276.5445,276.5445,1.0
Brazil,us1gt,Logistic,descend,True,0,,,0,0.0,,0.0,299.6959,299.6959,1.0
Canada,us1gt,Gompertz,descend,False,120,2060.0,2179.0,120,2844.9151,2119.0,229.9973,319.1587,89.1614,0.2794
Canada,us1gt,Logistic,descend,False,51,2061.0,2111.0,51,13437.0434,2086.0,315.8339,403.8983,88.0643,0.218
China,us1gt,Gompertz,descend,False,107,2061.0,2167.0,107,3097.7462,2101.0,188.5729,367.7757,179.2029,0.4873
China,us1gt,Logistic,descend,False,31,2062.0,2092.0,31,14758.5008,2077.0,238.8504,402.9364,164.086,0.4072
EU,us1gt,Gompertz,descend,True,0,,,0,0.0,,0.0,88.193,88.193,1.0
EU,us1gt,Logistic,descend,True,0,,,0,0.0,,0.0,93.613,93.613,1.0
Indonesia,us1gt,Gompertz,descend,True,0,,,0,0.0,,0.0,14.5798,14.5798,1.0
Indonesia,us1gt,Logistic,descend,True,0,,,0,0.0,,0.0,15.8835,15.8835,1.0
Middle East,us1gt,Gompertz,descend,True,0,,,0,0.0,,0.0,42.755,42.755,1.0
Middle East,us1gt,Logistic,descend,True,0,,,0,0.0,,0.0,45.5067,45.5067,1.0
Thailand,us1gt,Gompertz,descend,True,0,,,0,0.0,,0.0,8.7335,8.7335,1.0
Thailand,us1gt,Logistic,descend,True,0,,,0,0.0,,0.0,10.4963,10.4963,1.0
UK,us1gt,Gompertz,descend,True,0,,,0,0.0,,0.0,72.7461,72.7461,1.0
UK,us1gt,Logistic,descend,True,0,,,0,0.0,,0.0,77.8941,77.8941,1.0
US,us1gt,Gompertz,descend,True,0,,,0,0.0,,0.0,412.8842,412.8842,1.0
US,us1gt,Logistic,descend,True,0,,,0,0.0,,0.0,504.6612,504.6612,1.0
