country,scenario,model,allocation_order,whole_period_pass,years_of_shortfall,first_shortfall_year,last_shortfall_year,shortfall_window_yr,max_gap_rate_mt_yr,max_gap_year,total_unmet_volume_gt,cumulative_demand_full_gt,cumulative_screened_full_gt,overall_r_cumulative
Australia,growth10,Gompertz,descend,True,0,,,0,0.0,,0.0,48.5433,48.5433,1.0
Australia,growth10,Logistic,descend,False,18,2147.0,2164.0,18,845.3242,2156.0,9.8643,425.2335,415.3692,0.9768
Brazil,growth10,Gompertz,descend,True,0,,,0,0.0,,0.0,106.7701,106.7701,1.0
Brazil,growth10,Logistic,descend,True,0,,,0,0.0,,0.0,294.4703,294.4703,1.0
Canada,growth10,Gompertz,descend,True,0,,,0,0.0,,0.0,65.584,65.584,1.0
Canada,growth10,Logistic,descend,False,82,2098.0,2179.0,82,6323.9244,2144.0,282.6934,375.0586,92.3652,0.2463
China,growth10,Gompertz,descend,True,0,,,0,0.0,,0.0,50.1665,50.1665,1.0
China,growth10,Logistic,descend,False,63,2117.0,2179.0,63,5064.95,2150.0,187.7465,360.9715,173.225,0.4799
EU,growth10,Gompertz,descend,True,0,,,0,0.0,,0.0,59.9383,59.9383,1.0
EU,growth10,Logistic,descend,True,0,,,0,0.0,,0.0,93.2304,93.2304,1.0
Indonesia,growth10,Gompertz,descend,True,0,,,0,0.0,,0.0,5.5675,5.5675,1.0
Indonesia,growth10,Logistic,descend,True,0,,,0,0.0,,0.0,15.5763,15.5763,1.0
Middle East,growth10,Gompertz,descend,True,0,,,0,0.0,,0.0,22.2645,22.2645,1.0
Middle East,growth10,Logistic,descend,True,0,,,0,0.0,,0.0,45.1102,45.1102,1.0
Thailand,growth10,Gompertz,descend,True,0,,,0,0.0,,0.0,2.646,2.646,1.0
Thailand,growth10,Logistic,descend,True,0,,,0,0.0,,0.0,10.2751,10.2751,1.0
UK,growth10,Gompertz,descend,True,0,,,0,0.0,,0.0,31.8088,31.8088,1.0
UK,growth10,Logistic,descend,True,0,,,0,0.0,,0.0,76.8665,76.8665,1.0
US,growth10,Gompertz,descend,True,0,,,0,0.0,,0.0,262.6136,262.6136,1.0
US,growth10,Logistic,descend,True,0,,,0,0.0,,0.0,500.6319,500.6319,1.0
Australia,ipcc_high,Gompertz,descend,True,0,,,0,0.0,,0.0,383.817,383.817,1.0
Australia,ipcc_high,Logistic,descend,False,20,2077.0,2096.0,20,9036.5499,2086.0,113.4818,502.3427,388.861,0.7741
Brazil,ipcc_high,Logistic,descend,True,0,,,0,0.0,,0.0,299.7018,299.7018,1.0
Canada,ipcc_high,Gompertz,descend,False,125,2055.0,2179.0,125,3353.0995,2107.0,259.044,350.7132,91.6692,0.2614
Canada,ipcc_high,Logistic,descend,False,46,2058.0,2103.0,46,14821.3472,2081.0,314.8694,403.8995,89.0301,0.2204
EU,ipcc_high,Gompertz,descend,True,0,,,0,0.0,,0.0,88.004,88.004,1.0
EU,ipcc_high,Logistic,descend,True,0,,,0,0.0,,0.0,93.6128,93.6128,1.0
Middle East,ipcc_high,Gompertz,descend,True,0,,,0,0.0,,0.0,42.8804,42.8804,1.0
Middle East,ipcc_high,Logistic,descend,True,0,,,0,0.0,,0.0,45.5067,45.5067,1.0
Thailand,ipcc_high,Gompertz,descend,True,0,,,0,0.0,,0.0,8.7884,8.7884,1.0
Thailand,ipcc_high,Logistic,descend,True,0,,,0,0.0,,0.0,10.4963,10.4963,1.0
UK,ipcc_high,Gompertz,descend,True,0,,,0,0.0,,0.0,72.8708,72.8708,1.0
UK,ipcc_high,Logistic,descend,True,0,,,0,0.0,,0.0,77.8942,77.8942,1.0
