country,scenario,model,allocation_order,checkpoint,basin,region_no,allocated_rate_mt_yr,max_feasible_rate_mt_yr,utilisation_ratio,delivered_cumulative_gt,share_of_country_annual,share_of_country_cumulative,wells_used,step_rank,assigned_period_yr
Australia,growth10,Gompertz,descend,2050,Browse,28,18.5604,1716.4606,0.0108,0.223638,1.0,1.0,56,1,150
Australia,growth10,Gompertz,descend,2100,Browse,28,181.0679,1716.4606,0.1055,4.223966,1.0,1.0,56,1,150
Australia,growth10,Gompertz,descend,2179,Browse,28,1018.2543,1716.4606,0.5932,48.543345,1.0,1.0,56,1,150
Australia,growth10,Logistic,descend,2050,Browse,28,18.5604,3551.8152,0.0052,0.208923,1.0,1.0,930,1,70
Australia,growth10,Logistic,descend,2050,North Carnarvon,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,growth10,Logistic,descend,2050,Bonaparte,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,growth10,Logistic,descend,2050,Perth,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,growth10,Logistic,descend,2050,Bass,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,growth10,Logistic,descend,2050,Gippsland,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,growth10,Logistic,descend,2050,Canning,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,growth10,Logistic,descend,2050,Bowen-Surat,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,growth10,Logistic,descend,2050,Adavale,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,growth10,Logistic,descend,2100,Browse,28,643.4793,3551.8152,0.1812,9.415525,1.0,1.0,930,1,70
Australia,growth10,Logistic,descend,2100,North Carnarvon,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,growth10,Logistic,descend,2100,Bonaparte,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,growth10,Logistic,descend,2100,Perth,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,growth10,Logistic,descend,2100,Bass,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,growth10,Logistic,descend,2100,Gippsland,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,growth10,Logistic,descend,2100,Canning,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,growth10,Logistic,descend,2100,Bowen-Surat,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,growth10,Logistic,descend,2100,Adavale,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,growth10,Logistic,descend,2179,Browse,28,3551.8152,3551.8152,1.0,243.525838,0.7411,0.5863,930,1,70
Australia,growth10,Logistic,descend,2179,North Carnarvon,113,1240.9706,1564.0941,0.7934,76.59381,0.2589,0.1844,1024,2,50
Australia,growth10,Logistic,descend,2179,Bonaparte,0,0.0,0.0,0.0,42.97288,0.0,0.1035,0,0,0
Australia,growth10,Logistic,descend,2179,Perth,0,0.0,0.0,0.0,15.1433,0.0,0.0365,0,0,0
Australia,growth10,Logistic,descend,2179,Bass,0,0.0,0.0,0.0,17.780871,0.0,0.0428,0,0,0
Australia,growth10,Logistic,descend,2179,Gippsland,0,0.0,0.0,0.0,12.253751,0.0,0.0295,0,0,0
Australia,growth10,Logistic,descend,2179,Canning,0,0.0,0.0,0.0,7.083499,0.0,0.0171,0,0,0
Australia,growth10,Logistic,descend,2179,Bowen-Surat,0,0.0,0.0,0.0,0.011529,0.0,0.0,0,0,0
Australia,growth10,Logistic,descend,2179,Adavale,0,0.0,0.0,0.0,0.003716,0.0,0.0,0,0,0
Brazil,growth10,Gompertz,descend,2050,Foz do Amazonas,58,100.5161,7824.3101,0.0128,1.238297,1.0,1.0,72,1,150
Brazil,growth10,Gompertz,descend,2100,Foz do Amazonas,58,639.6171,7824.3101,0.0817,17.97435,1.0,1.0,72,1,150
Brazil,growth10,Gompertz,descend,2179,Foz do Amazonas,58,1394.7129,7824.3101,0.1783,106.770052,1.0,1.0,72,1,150
Brazil,growth10,Logistic,descend,2050,Foz do Amazonas,58,100.5161,7824.3101,0.0128,1.126604,1.0,1.0,289,1,150
Brazil,growth10,Logistic,descend,2100,Foz do Amazonas,58,2769.9897,7824.3101,0.354,45.932198,1.0,1.0,289,1,150
Brazil,growth10,Logistic,descend,2179,Foz do Amazonas,58,385.4419,7824.3101,0.0493,294.470315,1.0,1.0,289,1,150
Canada,growth10,Gompertz,descend,2050,Grand Banks,64,33.2172,652.5342,0.0509,0.402161,1.0,1.0,484,1,80
Canada,growth10,Gompertz,descend,2050,Scotian,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Canada,growth10,Gompertz,descend,2100,Grand Banks,64,287.0918,652.5342,0.44,7.055456,1.0,1.0,484,1,80
Canada,growth10,Gompertz,descend,2100,Scotian,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Canada,growth10,Gompertz,descend,2179,Grand Banks,64,652.5342,652.5342,1.0,52.360762,0.5439,0.7984,484,1,80
Canada,growth10,Gompertz,descend,2179,Scotian,163,547.1458,769.2225,0.7113,13.223204,0.4561,0.2016,400,2,50
Canada,growth10,Logistic,descend,2050,Grand Banks,64,33.2172,486.7769,0.0682,0.37271,1.0,1.0,484,1,110
Canada,growth10,Logistic,descend,2050,Scotian,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Canada,growth10,Logistic,descend,2050,Beaufort-Mackenzie,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Canada,growth10,Logistic,descend,2100,Grand Banks,64,486.7769,486.7769,1.0,13.006191,0.5068,0.7889,484,1,110
Canada,growth10,Logistic,descend,2100,Scotian,163,473.3372,473.3372,1.0,3.478761,0.4928,0.211,462,2,90
Canada,growth10,Logistic,descend,2100,Beaufort-Mackenzie,18,0.3804,0.3804,1.0,0.001141,0.0004,0.0001,1,3,90
Canada,growth10,Logistic,descend,2179,Grand Banks,64,486.7769,486.7769,1.0,51.46157,0.5068,0.5572,484,1,110
Canada,growth10,Logistic,descend,2179,Scotian,163,473.3372,473.3372,1.0,40.872398,0.4928,0.4425,462,2,90
Canada,growth10,Logistic,descend,2179,Beaufort-Mackenzie,18,0.3804,0.3804,1.0,0.031192,0.0004,0.0003,1,3,90
China,growth10,Gompertz,descend,2050,Tarim,183,21.4368,388.3277,0.0552,0.25799,1.0,1.0,324,1,90
China,growth10,Gompertz,descend,2050,Huabei,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Gompertz,descend,2100,Tarim,183,200.7288,388.3277,0.5169,4.772594,1.0,1.0,324,1,90
China,growth10,Gompertz,descend,2100,Huabei,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Gompertz,descend,2179,Tarim,183,388.3277,388.3277,1.0,33.239293,0.3914,0.6626,324,1,90
China,growth10,Gompertz,descend,2179,Huabei,70,603.7265,727.3181,0.8301,16.92716,0.6086,0.3374,210,2,40
China,growth10,Logistic,descend,2050,Tarim,183,21.4368,317.8842,0.0674,0.240104,1.0,1.0,256,1,110
China,growth10,Logistic,descend,2050,Huabei,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2050,Pearl River Mouth,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2050,Bohai Bay,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2050,Beibuwan,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2050,Ordos,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2050,Subei,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2050,Erlian,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2050,Nanxiang,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2050,Songliao,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2050,Turpan,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2050,Yilan-Yitong,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2050,Jianghan,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2050,Qaidam,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2050,Bose,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2050,Sanshui,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2050,Jiuquan,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2050,Junggar,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2050,Santanghu,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2050,Sichuan,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2050,Hailar-Temtsag,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2100,Tarim,183,317.8842,317.8842,1.0,8.48563,0.4203,0.7672,256,1,110
China,growth10,Logistic,descend,2100,Huabei,70,320.9155,320.9155,1.0,2.36944,0.4243,0.2142,256,2,90
China,growth10,Logistic,descend,2100,Pearl River Mouth,136,117.5978,351.5492,0.3345,0.20551,0.1555,0.0186,272,3,80
China,growth10,Logistic,descend,2100,Bohai Bay,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2100,Beibuwan,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2100,Ordos,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2100,Subei,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2100,Erlian,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2100,Nanxiang,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2100,Songliao,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2100,Turpan,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2100,Yilan-Yitong,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2100,Jianghan,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2100,Qaidam,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
