checkpoint,annual_demand_mt_yr,annual_screened_mt_yr,annual_gap_mt_yr,r_annual,cumulative_demand_gt,cumulative_screened_gt,cumulative_gap_gt,r_cumulative,annual_pass,cumulative_pass,overall_pass,first_shortfall_year,years_of_shortfall,max_gap_rate_mt_yr,max_gap_year,total_unmet_volume_gt,active_basins,total_basins,active_basin_fraction,total_wells,n_eff,largest_basin_share,dominant_basin_name,country,scenario,pathway,model,allocation_order
2179,17.6069,17.6069,0.0,1.0,10.2751,10.2751,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,64,1.0,1.0,Pattani,Thailand,growth10,v8_fixedC_deterministic,Logistic,descend
2050,34.797,34.797,0.0,1.0,0.4313,0.4313,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,42,1.0,1.0,Faroe-Shetland,UK,growth10,v8_fixedC_deterministic,Gompertz,descend
2100,203.6984,203.6984,0.0,1.0,5.9416,5.9416,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,42,1.0,1.0,Faroe-Shetland,UK,growth10,v8_fixedC_deterministic,Gompertz,descend
2179,379.7654,379.7654,0.0,1.0,31.8088,31.8088,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,42,1.0,1.0,Faroe-Shetland,UK,growth10,v8_fixedC_deterministic,Gompertz,descend
2050,34.797,34.797,0.0,1.0,0.3906,0.3906,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,961,1.0,1.0,Faroe-Shetland,UK,growth10,v8_fixedC_deterministic,Logistic,descend
2100,870.9932,870.9932,0.0,1.0,15.1435,15.1435,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,961,1.0,1.0,Faroe-Shetland,UK,growth10,v8_fixedC_deterministic,Logistic,descend
2179,75.9993,75.9993,0.0,1.0,76.8665,76.8665,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,961,1.0,1.0,Faroe-Shetland,UK,growth10,v8_fixedC_deterministic,Logistic,descend
2050,401.3371,401.3371,0.0,1.0,5.0703,5.0703,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,625,1.0,1.0,Permian,US,growth10,v8_fixedC_deterministic,Gompertz,descend
2100,1915.7225,1915.7225,0.0,1.0,61.2479,61.2479,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,625,1.0,1.0,Permian,US,growth10,v8_fixedC_deterministic,Gompertz,descend
2179,2543.7741,2543.7741,0.0,1.0,262.6136,262.6136,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,625,1.0,1.0,Permian,US,growth10,v8_fixedC_deterministic,Gompertz,descend
2050,401.3371,401.3371,0.0,1.0,4.547,4.547,0.0,1.0,True,True,True,,0,0.0,,0.0,1,3,0.3333,930,1.0,1.0,Permian,US,growth10,v8_fixedC_deterministic,Logistic,descend
2100,7491.2238,7491.2238,0.0,1.0,149.4935,149.4935,0.0,1.0,True,True,True,,0,0.0,,0.0,2,3,0.6667,5026,1.86,0.6367,North Slope,US,growth10,v8_fixedC_deterministic,Logistic,descend
2179,299.7485,299.7485,0.0,1.0,500.6319,500.6319,0.0,1.0,True,True,True,,0,0.0,,0.0,1,3,0.3333,930,1.0,1.0,Permian,US,growth10,v8_fixedC_deterministic,Logistic,descend
2050,238.6332,238.6332,0.0,1.0,1.8717,1.8717,0.0,1.0,True,True,True,,0,0.0,,0.0,1,5,0.2,342,1.0,1.0,Browse,Australia,ipcc_high,v8_fixedC_deterministic,Gompertz,descend
2100,3602.5484,3602.5484,0.0,1.0,89.934,89.934,0.0,1.0,True,True,True,,0,0.0,,0.0,4,5,0.8,1804,2.37,0.5785,Browse,Australia,ipcc_high,v8_fixedC_deterministic,Gompertz,descend
2179,2446.1429,2446.1429,0.0,1.0,383.817,383.817,0.0,1.0,True,True,True,,0,0.0,,0.0,2,5,0.4,1018,1.34,0.852,Browse,Australia,ipcc_high,v8_fixedC_deterministic,Gompertz,descend
2050,238.6332,238.6332,0.0,1.0,1.5656,1.5656,0.0,1.0,True,True,True,,0,0.0,,0.0,1,9,0.1111,930,1.0,1.0,Browse,Australia,ipcc_high,v8_fixedC_deterministic,Logistic,descend
2100,7394.8841,7394.8841,0.0,1.0,454.2971,340.8153,113.4818,0.7502,True,False,False,2077.0,20,9036.5499,2086.0,113.4818,2,9,0.2222,2652,1.79,0.67,Browse,Australia,ipcc_high,v8_fixedC_deterministic,Logistic,descend
2179,0.0309,0.0309,0.0,1.0,502.3427,388.861,113.4818,0.7741,True,False,False,2077.0,20,9036.5499,2086.0,113.4818,1,9,0.1111,930,1.0,1.0,Browse,Australia,ipcc_high,v8_fixedC_deterministic,Logistic,descend
2050,1958.8826,1958.8826,0.0,1.0,12.0628,12.0628,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,1024,1.0,1.0,Foz do Amazonas,Brazil,ipcc_high,v8_fixedC_deterministic,Logistic,descend
2100,173.5825,173.5825,0.0,1.0,298.8148,298.8148,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,1024,1.0,1.0,Foz do Amazonas,Brazil,ipcc_high,v8_fixedC_deterministic,Logistic,descend
2179,0.0001,0.0001,0.0,1.0,299.7018,299.7018,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,1024,1.0,1.0,Foz do Amazonas,Brazil,ipcc_high,v8_fixedC_deterministic,Logistic,descend
2050,443.9124,443.9124,0.0,1.0,3.5512,3.5512,0.0,1.0,True,True,True,,0,0.0,,0.0,2,3,0.6667,633,1.32,0.8586,Grand Banks,Canada,ipcc_high,v8_fixedC_deterministic,Gompertz,descend
2100,3951.6571,686.7229,3264.9342,0.1738,120.4991,37.4181,83.081,0.3105,False,False,False,2055.0,46,3264.9342,2100.0,83.081,3,3,1.0,634,1.98,0.555,Grand Banks,Canada,ipcc_high,v8_fixedC_deterministic,Gompertz,descend
2179,1362.0628,686.7229,675.3398,0.5042,350.7132,91.6692,259.044,0.2614,False,False,False,2055.0,125,3353.0995,2107.0,259.044,3,3,1.0,634,1.98,0.555,Grand Banks,Canada,ipcc_high,v8_fixedC_deterministic,Gompertz,descend
2050,443.9124,443.9124,0.0,1.0,2.8882,2.8882,0.0,1.0,True,True,True,,0,0.0,,0.0,1,3,0.3333,676,1.0,1.0,Grand Banks,Canada,ipcc_high,v8_fixedC_deterministic,Logistic,descend
2100,2659.4268,1523.5606,1135.8661,0.5729,388.041,74.5528,313.4882,0.1921,False,False,False,2058.0,43,14821.3472,2081.0,313.4882,3,3,1.0,1327,2.0,0.5049,Scotian,Canada,ipcc_high,v8_fixedC_deterministic,Logistic,descend
2179,0.0081,0.0081,0.0,1.0,403.8995,89.0301,314.8694,0.2204,True,False,False,2058.0,46,14821.3472,2081.0,314.8694,1,3,0.3333,676,1.0,1.0,Grand Banks,Canada,ipcc_high,v8_fixedC_deterministic,Logistic,descend
2050,424.6346,424.6346,0.0,1.0,4.5839,4.5839,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,144,1.0,1.0,Aquitaine-Bay of Biscay,EU,ipcc_high,v8_fixedC_deterministic,Gompertz,descend
2100,964.445,964.445,0.0,1.0,48.3272,48.3272,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,144,1.0,1.0,Aquitaine-Bay of Biscay,EU,ipcc_high,v8_fixedC_deterministic,Gompertz,descend
2179,165.5569,165.5569,0.0,1.0,88.004,88.004,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,144,1.0,1.0,Aquitaine-Bay of Biscay,EU,ipcc_high,v8_fixedC_deterministic,Gompertz,descend
2050,424.6346,424.6346,0.0,1.0,3.7047,3.7047,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,144,1.0,1.0,Aquitaine-Bay of Biscay,EU,ipcc_high,v8_fixedC_deterministic,Logistic,descend
2100,710.7039,710.7039,0.0,1.0,87.2681,87.2681,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,144,1.0,1.0,Aquitaine-Bay of Biscay,EU,ipcc_high,v8_fixedC_deterministic,Logistic,descend
2179,0.0987,0.0987,0.0,1.0,93.6128,93.6128,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,144,1.0,1.0,Aquitaine-Bay of Biscay,EU,ipcc_high,v8_fixedC_deterministic,Logistic,descend
2050,172.734,172.734,0.0,1.0,1.6875,1.6875,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,30,1.0,1.0,Arabian,Middle East,ipcc_high,v8_fixedC_deterministic,Gompertz,descend
2100,491.3395,491.3395,0.0,1.0,22.8235,22.8235,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,30,1.0,1.0,Arabian,Middle East,ipcc_high,v8_fixedC_deterministic,Gompertz,descend
2179,80.3041,80.3041,0.0,1.0,42.8804,42.8804,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,30,1.0,1.0,Arabian,Middle East,ipcc_high,v8_fixedC_deterministic,Gompertz,descend
2050,172.734,172.734,0.0,1.0,1.3459,1.3459,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,81,1.0,1.0,Arabian,Middle East,ipcc_high,v8_fixedC_deterministic,Logistic,descend
2100,248.0512,248.0512,0.0,1.0,43.6609,43.6609,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,81,1.0,1.0,Arabian,Middle East,ipcc_high,v8_fixedC_deterministic,Logistic,descend
2179,0.0082,0.0082,0.0,1.0,45.5067,45.5067,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,81,1.0,1.0,Arabian,Middle East,ipcc_high,v8_fixedC_deterministic,Logistic,descend
2050,11.0282,11.0282,0.0,1.0,0.0937,0.0937,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,16,1.0,1.0,Pattani,Thailand,ipcc_high,v8_fixedC_deterministic,Gompertz,descend
2100,93.5988,93.5988,0.0,1.0,2.8103,2.8103,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,16,1.0,1.0,Pattani,Thailand,ipcc_high,v8_fixedC_deterministic,Gompertz,descend
2179,40.0051,40.0051,0.0,1.0,8.7884,8.7884,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,16,1.0,1.0,Pattani,Thailand,ipcc_high,v8_fixedC_deterministic,Gompertz,descend
2050,11.0282,11.0282,0.0,1.0,0.0774,0.0774,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,272,1.0,1.0,Pattani,Thailand,ipcc_high,v8_fixedC_deterministic,Logistic,descend
2100,114.7553,114.7553,0.0,1.0,9.7044,9.7044,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,272,1.0,1.0,Pattani,Thailand,ipcc_high,v8_fixedC_deterministic,Logistic,descend
2179,0.0012,0.0012,0.0,1.0,10.4963,10.4963,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,272,1.0,1.0,Pattani,Thailand,ipcc_high,v8_fixedC_deterministic,Logistic,descend
2050,246.2196,246.2196,0.0,1.0,2.2916,2.2916,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,272,1.0,1.0,Faroe-Shetland,UK,ipcc_high,v8_fixedC_deterministic,Gompertz,descend
2100,851.1864,851.1864,0.0,1.0,36.6859,36.6859,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,272,1.0,1.0,Faroe-Shetland,UK,ipcc_high,v8_fixedC_deterministic,Gompertz,descend
2179,151.2581,151.2581,0.0,1.0,72.8708,72.8708,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,272,1.0,1.0,Faroe-Shetland,UK,ipcc_high,v8_fixedC_deterministic,Gompertz,descend
2050,246.2196,246.2196,0.0,1.0,1.8272,1.8272,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,1560,1.0,1.0,Faroe-Shetland,UK,ipcc_high,v8_fixedC_deterministic,Logistic,descend
2100,397.3684,397.3684,0.0,1.0,75.1272,75.1272,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,1560,1.0,1.0,Faroe-Shetland,UK,ipcc_high,v8_fixedC_deterministic,Logistic,descend
2179,0.007,0.007,0.0,1.0,77.8942,77.8942,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,1560,1.0,1.0,Faroe-Shetland,UK,ipcc_high,v8_fixedC_deterministic,Logistic,descend
