year,total_rate
2030,15.970877429893601
2031,18.488502499039697
2032,21.402714759359498
2033,24.775888564547497
2034,28.680175107931202
2035,33.1990235702284
2036,38.428935080463596
2037,44.4814838019496
2038,51.4856440549093
2039,59.5904674404091
2040,68.9681594181516
2041,79.8176106623894
2042,92.3684446781729
2043,106.8856494406708
2044,123.6748669677825
2045,143.08842036864692
2046,165.5321624743469
2047,191.4732328681346
2048,221.44880990092798
2049,256.075939611789
2050,296.0625123588293
2051,342.219437720859
2052,395.4740353268633
2053,456.8846091345074
2054,527.6560994658681
2055,609.1566034792143
2056,702.9344116815337
2057,810.7350147448229
2058,934.5172787405382
2059,1076.467654103081
2060,1239.010859973399
2061,1424.8149583118136
2062,1636.78809308776
2063,1878.063420113524
2064,2151.967910428364
2065,2461.96981896351
2066,2811.5987548451835
2067,3204.33161038063
2068,3643.4373158826575
2069,4131.773787995725
2070,4671.531923590468
2071,5263.924529923263
2072,5908.82317032605
2073,6604.3534596394
2074,7346.469529824297
2075,8128.540876093133
2076,8940.99848556824
2077,9771.09991884821
2078,10602.881626132357
2079,11417.367142293488
2080,12193.087721354814
2081,12906.944436344036
2082,13535.397636723428
2083,14055.915134471585
2084,14448.553725521917
2085,14697.502600846845
2086,14792.395538597622
2087,14729.21146468305
2088,14510.632076134249
2089,14145.802829709328
2090,13649.53327852639
2091,13041.054304939316
2092,12342.505596528408
2093,11577.346882863252
2094,10768.871104267044
2095,9938.955492009123
2096,9107.130809917197
2097,8289.993148086896
2098,7500.936735635785
2099,6750.155455117016
2100,6044.845721986608
2101,5389.541571114406
2102,4786.520090119663
2103,4236.227564898716
2104,3737.6904154016606
2105,3288.8878499938273
2106,2887.0738637392305
2107,2529.044289229123
2108,2211.3501652465493
2109,1930.4621005910872
2110,1682.8920679719563
2111,1465.2796470433877
2112,1274.4495575368055
2113,1107.4467027191708
2114,961.5541100899468
2115,834.2982639278067
2116,723.4454672297493
2117,626.992100023874
2118,543.1509791760717
2119,470.3354754840612
2120,407.1426002724771
2121,352.3359237390003
2122,304.82891686664846
2123,263.6691037924855
2124,228.0232592592099
2125,197.1637749895797
2126,170.45624013095332
2127,147.3482266502758
2128,127.3592345942329
2129,110.071729649553
2130,95.1231927271977
2131,82.1990955109048
2132,71.0267149211831
2133,61.369701664027
2134,53.0233222954292
2135,45.8102997018278
2136,39.5771829749855
2137,34.1911839384747
2138,29.537423780678598
2139,25.516539188446203
2140,22.042602945971197
2141,19.0413191065284
2142,16.448457535701703
2143,14.208496864077901
2144,12.273448688737599
2145,10.601839251386801
2146,9.1578278268485
2147,7.9104437105372
2148,6.832926030581
2149,5.902152662601
2150,5.0981463212085005
2151,4.403647473739
2152,3.8037450910914
2153,3.2855574448931
2154,2.8379561990685
2155,2.4513279466631
2156,2.1173681272458
2157,1.8289029409875
2158,1.5797354653967
2159,1.3645126928719
2160,1.1786106499188
2161,1.0180351433102
2162,0.879336010335
2163,0.7595330379705
2164,0.6560519650264
2165,0.5666691956691
2166,0.48946403983
2167,0.4227774563021
2168,0.36517641362750003
2169,0.3154231043144
2170,0.2724483516068
2171,0.2353286382259
2172,0.2032662637695
2173,0.17557220488720002
2174,0.1516513100922
2175,0.1309895113264
2176,0.113142777559
2177,0.09772757323969014
2178,0.08441261650326029
2179,0.07291176023333469
