Region_no,Region_name,Q [Mt/y] for t= 10 y,Q [Mt/y] for t= 20 y,Q [Mt/y] for t= 30 y,Q [Mt/y] for t= 40 y,Q [Mt/y] for t= 50 y,Q [Mt/y] for t= 60 y,Q [Mt/y] for t= 70 y,Q [Mt/y] for t= 80 y,Q [Mt/y] for t= 90 y,Q [Mt/y] for t= 100 y,Q [Mt/y] for t= 110 y,Q [Mt/y] for t= 120 y,Q [Mt/y] for t= 130 y,Q [Mt/y] for t= 140 y,Q [Mt/y] for t= 150 y
8,Aquitaine-Bay of Biscay,1600,1600,1600,650,650,650,650,650,462,462,272,272,272,272,272
13,Balearic,7140,2756,2756,1444,1444,1444,900,900,900,600,600,441,441,441,441
14,Baltic,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,Caltanissetta,702,156,156,156,156,156,132,132,110,110,64,64,64,64,64
41,Crimea-Karkinit,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,Dnieper-Donets,342,169,121,81,72,56,49,42,36,30,30,30,25,25,20
48,Drava,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,Ionian,1681,676,992,676,361,361,361,361,225,225,225,225,225,225,182
91,Lublin,1369,870,576,420,324,256,196,196,169,169,121,121,121,121,100
100,Moesian,552,306,196,156,132,100,81,72,64,64,49,49,49,49,42
102,More,2116,1190,756,756,400,400,400,306,306,306,240,240,196,196,196
112,North Adriatic,756,380,240,156,132,100,100,100,72,64,49,49,49,49,49
114,North Carpathian,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
122,Northern Aegean,2162,1225,784,784,529,529,400,400,306,306,306,240,240,240,196
123,Northern North Sea,2652,870,600,600,210,210,210,210,210,210,210,210,210,210,144
124,Northwest German,3080,1560,961,961,625,625,625,462,462,342,272,342,342,272,272
125,Norwegian,506,289,182,132,110,81,72,64,56,49,49,49,42,36,36
131,Pannonian,441,256,169,121,90,81,64,56,56,49,42,42,36,30,30
134,Paris,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
141,Po,529,306,196,156,132,100,100,72,64,49,49,49,49,49,49
142,Polish,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
161,Sava,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
171,South Adriatic,2652,2652,1406,441,441,441,441,441,441,441,441,441,210,210,210
187,Transylvanian,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
188,Trondelag-Halten,2809,1482,625,625,625,625,441,441,441,210,210,210,210,210,210
194,Vienna,64,36,16,16,16,16,16,16,16,16,16,16,4,4,4
198,West Barents,1296,576,576,420,306,306,240,196,196,90,90,90,90,90,90
203,Zala,36,16,12,9,6,6,4,4,4,4,2,2,2,2,2
