Region_no,Region_name,Q [Mt/y] for t= 10 y,Q [Mt/y] for t= 20 y,Q [Mt/y] for t= 30 y,Q [Mt/y] for t= 40 y,Q [Mt/y] for t= 50 y,Q [Mt/y] for t= 60 y,Q [Mt/y] for t= 70 y,Q [Mt/y] for t= 80 y,Q [Mt/y] for t= 90 y,Q [Mt/y] for t= 100 y,Q [Mt/y] for t= 110 y,Q [Mt/y] for t= 120 y,Q [Mt/y] for t= 130 y,Q [Mt/y] for t= 140 y,Q [Mt/y] for t= 150 y
16,Barreirinhas-Para-Maranhao,7832,7832,2916,2916,2916,1521,1521,1521,1521,1521,1521,930,930,930,930
30,Campos,5700,1332,1332,1332,1332,1332,841,841,841,841,576,576,576,576,576
53,Espirito Santo,812,552,306,240,196,156,132,100,100,100,100,72,72,64,49
58,Foz do Amazonas,10712,10712,10712,10712,10712,10712,10712,3540,3540,3540,3540,3540,3540,3540,3540
143,Potiguar,812,552,400,306,240,196,100,100,132,100,100,100,49,49,49
148,Reconcavo,144,81,49,36,30,25,20,20,16,12,12,12,12,9,9
159,Santos,9312,9312,3249,3249,3249,3249,3249,1640,1640,1640,1640,1640,1640,1640,992
165,Sergipe-Alagoas,272,144,90,72,56,42,42,36,30,25,25,25,20,20,20
169,Solimoes,1849,1056,702,484,484,361,361,272,272,225,225,182,182,182,144
189,Tucano,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
