country,scenario,model,ordering,Type,is_reconstruction_target,S0_gt,C_scenario_gt,g_cap,g_original,r_original,tn_original,tp_original,rate_2050_original_mt,peak_rate_original_mt,Y_peak_original,R_peak_order_mt,Y_peak_order,whole_period_pass,years_of_shortfall,total_unmet_volume_gt
Australia,growth10,Gompertz,ascending,A,False,0.0618999999999999,502.4,0.1,0.0477499941272864,0.0090240254025029,2166.8549131129867,2273.5061698628033,18.5603879156189,1018.2543059017684,2179,1018.2543059017684,2179.0,True,0,0.0
Australia,growth10,Logistic,ascending,A,True,0.0619,502.4,0.1,0.0718862762977791,0.0716317612257295,2137.2785377580667,2155.6636489767443,18.5603879267527,8995.643670420279,2156,8500.116024087458,2149.0,False,14,4.3897
Australia,ipcc_high,Gompertz,ascending,B_fixed,False,0.0618999999999999,502.4,0.2,0.1290341896545362,0.0234790190378911,2082.599395673042,2123.5901904147654,238.63323280431152,4339.253848428503,2124,4339.253848428502,2124.0,True,0,0.0
Australia,ipcc_high,Logistic,ascending,B_fixed,True,0.0619,502.4,0.2,0.1672039818049711,0.1595371949193302,2078.1677680569533,2086.422632369885,238.63323270983238,20015.114837514167,2086,11388.714991137254,2077.0,False,20,105.2788
Australia,ipcc_low,Gompertz,ascending,B_fixed,False,0.0618999999999999,502.4,0.2,0.0269337802929494,0.0051417209415783,2270.18849455681,2457.367779674484,6.2301249491263,164.67651524350399,2179,164.676515243504,2179.0,True,0,0.0
Australia,ipcc_low,Logistic,ascending,B_fixed,False,0.0619,502.4,0.2,0.0423402229948005,0.0427896243328535,2209.5891111722403,2240.3666166413327,6.230124950072599,1353.0015609955658,2179,1353.0015609955656,2179.0,True,0,0.0
Australia,maximum,Gompertz,ascending,A,True,0.0619,5024.0,0.2,0.0979083692866394,0.0157297089274333,2122.9929588358614,2184.178048436642,169.8769459269051,28973.126757244063,2179,4015.536839002486,2089.0,False,91,1291.3612
Australia,maximum,Logistic,ascending,A,True,0.0619,5024.0,0.2,0.1537811515024581,0.1465273384871377,2098.1596123473964,2107.1474088263476,169.8769459267742,184016.87372397594,2107,4916.237070243877,2074.0,False,68,4621.1987
Australia,minimum,Gompertz,ascending,A,False,0.0618999999999999,50.24,0.1,0.0581132716619307,0.0130046769495665,2102.2464367619955,2176.252400451181,19.2818622981443,240.3545650118125,2176,240.3545650118125,2176.0,True,0,0.0
Australia,minimum,Logistic,ascending,A,False,0.0619,50.24,0.1,0.072298697949484,0.0730090570209067,2103.701210486209,2121.7394916346384,19.2818622988132,916.9108327960572,2122,916.9108327960572,2122.0,True,0,0.0
Australia,policy,Gompertz,ascending,A,False,0.0618999999999999,502.4,0.2,0.1146802256136961,0.0210036760309654,2088.7983841765704,2134.620060758342,168.5728092197841,3881.83139399659,2135,3881.83139399659,2135.0,True,0,0.0
Australia,policy,Logistic,ascending,A,True,0.0619,502.4,0.2,0.1524269101182886,0.1463901978695775,2082.4936144165717,2091.48983080326,168.57280922199018,18362.99397142687,2091,11294.732470959374,2082.0,False,20,87.8177
