country,scenario,model,ordering,rescreen_status,rescreen_pass,rescreen_total_unmet_gt,rescreen_years_of_shortfall,rescreen_total_wells_2050,rescreen_total_wells_2100,rescreen_active_basins_2050,rescreen_active_basins_2100
Australia,growth10,Logistic,ascending,ok,True,0.0,0,44,971,3,7
Australia,ipcc_high,Logistic,ascending,ok,True,0.0,0,270,3204,4,8
Australia,maximum,Gompertz,ascending,ok,True,0.0,0,138,1681,4,9
Australia,maximum,Logistic,ascending,ok,True,0.0,0,262,1542,4,7
Australia,policy,Logistic,ascending,ok,True,0.0,0,262,3571,4,9
Australia,reference,Logistic,ascending,ok,True,0.0,0,262,3571,4,9
Australia,us1gt,Logistic,ascending,ok,True,0.0,0,270,3579,4,9
Brazil,maximum,Gompertz,ascending,ok,True,0.0,0,886,6996,7,10
Brazil,maximum,Logistic,ascending,ok,True,0.0,0,1383,7875,7,10
Canada,growth10,Logistic,ascending,ok,True,0.0,0,463,519,2,3
Canada,ipcc_high,Gompertz,ascending,ok,True,0.0,0,651,651,2,2
Canada,ipcc_high,Logistic,ascending,ok,True,0.0,0,1370,1370,2,2
Canada,maximum,Gompertz,ascending,ok,True,0.0,0,463,493,2,3
Canada,maximum,Logistic,ascending,ok,True,0.0,0,813,813,2,2
Canada,policy,Gompertz,ascending,ok,True,0.0,0,343,827,2,3
Canada,policy,Logistic,ascending,ok,True,0.0,0,931,931,2,2
Canada,reference,Gompertz,ascending,ok,True,0.0,0,343,385,2,3
Canada,reference,Logistic,ascending,ok,True,0.0,0,1522,1522,2,2
Canada,us1gt,Gompertz,ascending,ok,True,0.0,0,343,385,2,3
Canada,us1gt,Logistic,ascending,ok,True,0.0,0,1522,1522,2,2
China,growth10,Logistic,ascending,ok,True,0.0,0,29,756,10,17
China,ipcc_low,Gompertz,ascending,ok,True,0.0,0,96,1200,12,20
China,ipcc_low,Logistic,ascending,ok,True,0.0,0,164,2057,12,19
China,maximum,Gompertz,ascending,ok,True,0.0,0,476,1113,16,18
China,maximum,Logistic,ascending,ok,True,0.0,0,688,51,14,10
China,policy,Gompertz,ascending,ok,True,0.0,0,202,1053,14,20
China,policy,Logistic,ascending,ok,True,0.0,0,279,448,13,14
China,reference,Gompertz,ascending,ok,True,0.0,0,476,1014,16,18
China,reference,Logistic,ascending,ok,True,0.0,0,532,109,14,11
China,us1gt,Gompertz,ascending,ok,True,0.0,0,476,1113,16,18
China,us1gt,Logistic,ascending,ok,True,0.0,0,538,51,14,10
EU,maximum,Gompertz,ascending,ok,True,0.0,0,1146,3080,22,27
EU,maximum,Logistic,ascending,ok,True,0.0,0,1166,1166,19,19
Thailand,maximum,Gompertz,ascending,ok,True,0.0,0,30,372,1,2
Thailand,maximum,Logistic,ascending,ok,True,0.0,0,49,699,1,2
UK,maximum,Gompertz,ascending,ok,True,0.0,0,369,450,5,6
UK,maximum,Logistic,ascending,ok,True,0.0,0,568,106,4,2
US,maximum,Gompertz,ascending,ok,True,0.0,0,2435,5191,17,18
US,maximum,Logistic,ascending,ok,True,0.0,0,3000,756,15,13
Australia,growth10,Logistic,descending,ok,True,0.0,0,930,930,1,1
Australia,ipcc_high,Logistic,descending,ok,True,0.0,0,1521,1521,1,1
Australia,maximum,Gompertz,descending,ok,True,0.0,0,342,1018,1,2
Australia,maximum,Logistic,descending,ok,True,0.0,0,256,256,1,1
Australia,policy,Logistic,descending,ok,True,0.0,0,1521,1521,1,1
