country,scenario,model,ordering,year,curve_kind,rate_mt_yr,cum_gt
Australia,growth10,Logistic,ascending,2030,original,4.433459712204207,0.0619
Australia,growth10,Logistic,ascending,2031,original,4.76259989285706,0.06633345971220421
Australia,growth10,Logistic,ascending,2032,original,5.116168499077155,0.07109605960506127
Australia,growth10,Logistic,ascending,2033,original,5.49597751145967,0.07621222810413841
Australia,growth10,Logistic,ascending,2034,original,5.90397314954303,0.08170820561559809
Australia,growth10,Logistic,ascending,2035,original,6.342245791381459,0.08761217876514112
Australia,growth10,Logistic,ascending,2036,original,6.813040622208394,0.09395442455652259
Australia,growth10,Logistic,ascending,2037,original,7.318769065174647,0.10076746517873097
Australia,growth10,Logistic,ascending,2038,original,7.862021050901977,0.10808623424390562
Australia,growth10,Logistic,ascending,2039,original,8.445578186601068,0.1159482552948076
Australia,growth10,Logistic,ascending,2040,original,9.072427889777646,0.12439383348140867
Australia,growth10,Logistic,ascending,2041,original,9.745778556106256,0.1334662613711863
Australia,growth10,Logistic,ascending,2042,original,10.46907583590366,0.14321203992729256
Australia,growth10,Logistic,ascending,2043,original,11.246020098798354,0.1536811157631962
Australia,growth10,Logistic,ascending,2044,original,12.080585171685334,0.1649271358619946
Australia,growth10,Logistic,ascending,2045,original,12.977038440891805,0.1770077210336799
Australia,growth10,Logistic,ascending,2046,original,13.939962415675735,0.18998475947457172
Australia,growth10,Logistic,ascending,2047,original,14.974277856750788,0.20392472189024746
Australia,growth10,Logistic,ascending,2048,original,16.085268580492716,0.21889899974699822
Australia,growth10,Logistic,ascending,2049,original,17.278608056848523,0.23498426832749097
Australia,growth10,Logistic,ascending,2050,original,18.560387926752796,0.2522628763843395
Australia,growth10,Logistic,ascending,2051,original,19.93714857306761,0.27082326431109227
Australia,growth10,Logistic,ascending,2052,original,21.41591188771213,0.2907604128841599
Australia,growth10,Logistic,ascending,2053,original,23.004216386741852,0.312176324771872
Australia,growth10,Logistic,ascending,2054,original,24.71015483467903,0.33518054115861384
