country,scenario,model,ordering,checkpoint,basin,delivered_rate_mt_yr,wells_used
Australia,growth10,Logistic,ascending,2050,Adavale,0.2002,1
Australia,growth10,Logistic,ascending,2050,Bowen-Surat,0.619,1
Australia,growth10,Logistic,ascending,2050,Canning,17.7412,42
Australia,growth10,Logistic,ascending,2100,Adavale,0.2002,1
Australia,growth10,Logistic,ascending,2100,Bass,203.1411,196
Australia,growth10,Logistic,ascending,2100,Bonaparte,31.1457,462
Australia,growth10,Logistic,ascending,2100,Bowen-Surat,0.619,1
Australia,growth10,Logistic,ascending,2100,Canning,55.2663,42
Australia,growth10,Logistic,ascending,2100,Gippsland,152.1866,100
Australia,growth10,Logistic,ascending,2100,Perth,199.6383,169
Australia,growth10,Logistic,ascending,2179,Adavale,0.2002,1
Australia,growth10,Logistic,ascending,2179,Bass,203.1411,196
Australia,growth10,Logistic,ascending,2179,Bonaparte,544.804,462
Australia,growth10,Logistic,ascending,2179,Bowen-Surat,0.619,1
Australia,growth10,Logistic,ascending,2179,Browse,2068.3405,1521
Australia,growth10,Logistic,ascending,2179,Canning,55.2663,42
Australia,growth10,Logistic,ascending,2179,Gippsland,152.1866,100
Australia,growth10,Logistic,ascending,2179,North Carnarvon,1128.8119,1024
Australia,growth10,Logistic,ascending,2179,Perth,199.6383,169
Australia,ipcc_high,Logistic,ascending,2050,Adavale,0.2004,1
Australia,ipcc_high,Logistic,ascending,2050,Bowen-Surat,0.6204,1
Australia,ipcc_high,Logistic,ascending,2050,Canning,72.1087,72
Australia,ipcc_high,Logistic,ascending,2050,Gippsland,165.7037,196
Australia,ipcc_high,Logistic,ascending,2100,Adavale,0.2004,1
Australia,ipcc_high,Logistic,ascending,2100,Bass,308.6529,306
Australia,ipcc_high,Logistic,ascending,2100,Bonaparte,871.3316,650
Australia,ipcc_high,Logistic,ascending,2100,Bowen-Surat,0.6204,1
Australia,ipcc_high,Logistic,ascending,2100,Canning,72.1087,72
Australia,ipcc_high,Logistic,ascending,2100,Gippsland,222.1122,196
Australia,ipcc_high,Logistic,ascending,2100,North Carnarvon,809.1144,1722
Australia,ipcc_high,Logistic,ascending,2100,Perth,301.7551,256
Australia,ipcc_high,Logistic,ascending,2179,Adavale,0.0097,1
Australia,maximum,Gompertz,ascending,2050,Adavale,0.2002,1
