country,scenario,model,ordering,Type,S0_gt,C_scenario_gt,g_cap,g_original,r_original,rate_2050_original,tn_original,tp_original,R_peak_order,Y_peak_order,C_recon_order_gt,g_recon_order,r_recon_order,rate_2050_recon_order,peak_rate_recon_order,peak_year_recon_order,tp_recon_order,tn_recon_order,C_ratio_recon_to_scenario,delta_tp_recon_vs_original,delta_peak_year_recon_vs_screened,max_envelope_exceedance_mt_yr,years_exceeding_envelope,first_exceed_year,last_exceed_year,rmse_to_envelope_mt_yr,envelope_consistent,landmark_infeasible,landmark_reason,violates_g_cap
Australia,growth10,Logistic,ascending,A,0.0619,502.4,0.1,0.0718862762977791,0.0716317612257295,0.0185603879267527,2137.2785377580667,2155.6636489767443,8.500116024087458,2149,474.6458842684025,0.07187031068940986,0.07163332754640145,0.018560388136245692,8.500116024087458,2155,2154.867488407301,2136.4827791939574,0.9447569352476165,-0.7961605694431455,6,0.00014469503399096306,0,,,209.5898821896035,True,False,,False
Australia,ipcc_high,Logistic,ascending,B_fixed,0.0619,502.4,0.2,0.1672039818049711,0.1595371949193302,0.23863323270983242,2078.1677680569533,2086.422632369885,11.388714991137254,2077,285.23852115709377,0.16694182524192236,0.15970795171617053,0.2386332325396185,11.388714991137254,2083,2082.8173063415175,2074.5712679772832,0.5677518335133236,-3.6053260283674717,6,0.18672896991320242,9,2041.0,2049.0,1698.274548725223,False,False,,False
Australia,maximum,Gompertz,ascending,A,0.0619,5024.0,0.2,0.0979083692866394,0.0157297089274333,0.1698769459269051,2122.9929588358614,2184.178048436642,4.015536839002486,2089,521.2080492661206,0.11462294409342055,0.020942425651978222,0.1698769459269218,4.015536839002486,2135,2135.1206043125294,2089.1649129273583,0.103743640379403,-49.05744412411241,46,4.409657944886583,20,2030.0,2049.0,696.1363362543439,False,False,,False
Australia,maximum,Logistic,ascending,A,0.0619,5024.0,0.2,0.1537811515024581,0.1465273384871377,0.1698769459267742,2098.1596123473964,2107.1474088263476,4.916237070243876,2074,133.64221308728963,0.15218988886627693,0.14714623341452124,0.16987694592685593,4.916237070243876,2082,2082.1721678785925,2073.2221739415077,0.026600758974380898,-24.975240947755083,8,0.48238222539324915,15,2035.0,2049.0,2688.7191143495656,False,False,,False
Australia,policy,Logistic,ascending,A,0.0619,502.4,0.2,0.1524269101182886,0.1463901978695775,0.1685728092219902,2082.4936144165717,2091.48983080326,11.294732470959374,2082,308.39791751641104,0.15219289097373512,0.14649557379528463,0.1685728091238392,11.294732470959374,2088,2088.1138735662653,2079.1241282599317,0.6138493581138755,-3.375957236994509,6,0.08143023768622526,0,,,1553.2942921475665,True,False,,False
Australia,reference,Logistic,ascending,A,0.0619,502.4,0.2,0.1513333447484166,0.1454105754986595,0.1642106589698478,2082.847260764758,2091.904084124466,11.294732470959374,2082,310.4827749366426,0.15110248988033614,0.14551187225460976,0.16421065895978967,11.294732470959374,2089,2088.5530514112284,2079.5025328760776,0.6179991539344001,-3.3510327132376005,7,0.07624233531390578,0,,,1542.9022998867865,True,False,,False
Australia,us1gt,Logistic,ascending,A,0.0619,502.4,0.2,0.154036645770349,0.1478305186636941,0.1751829272834008,2081.982166272535,2090.890732033038,11.294732470959374,2081,305.38245646326743,0.1537981434485387,0.14794212610334342,0.1751829273077234,11.294732470959374,2087,2087.4792153712706,2078.5773702267384,0.6078472461450387,-3.411516661767564,6,0.08964142235411143,0,,,1574.2329241968114,True,False,,False
Brazil,maximum,Gompertz,ascending,A,0.3265999999999997,3000.0,0.2,0.1145032624053669,0.0208015772267692,0.913037957228728,2090.0260551979404,2136.292914658995,16.002380843096855,2101,1961.4005935422645,0.11887257307020693,0.022177509888131882,0.9130379572090352,16.002380843096855,2128,2127.548048748469,2084.1516685879424,0.6538001978474215,-8.744865910526187,27,6.452333088988627,20,2030.0,2049.0,2029.469330584509,False,False,,False
Brazil,maximum,Logistic,ascending,A,0.3266,3000.0,0.2,0.1535831018128014,0.1473507739860365,0.9130379572409132,2082.9913734780794,2091.928943748662,37.221940445369626,2077,1008.3812512658502,0.15308342685632126,0.1476502677876799,0.9130379572574499,37.221940445369626,2084,2084.4177595037418,2075.4983182006035,0.3361270837552834,-7.511184244920059,7,1.2544252505288789,19,2031.0,2049.0,9567.048585330478,False,False,,False
Canada,growth10,Logistic,ascending,A,0.1090699999999999,404.0,0.1,0.0721272651291469,0.0721234405175577,0.0332172264783646,2125.6686525333007,2143.9284289315747,0.954574198771032,2098,52.6488797329934,0.07144947821502945,0.07252379945116517,0.03321722778239396,0.954574198771032,2115,2115.1766814572034,2097.017705963764,0.13031900924008266,-28.751747474371314,17,0.06618506182035425,0,,,422.5137288396805,True,False,,False
Canada,ipcc_high,Gompertz,ascending,B_fixed,0.10907,404.0,0.2,0.1423309588279286,0.0271839528976792,0.443912423813619,2072.0764218012673,2107.480531488397,0.7022869525915928,2055,40.185757305923055,0.2117337478643211,0.04750473773732348,0.4439124227296386,0.7022869525915928,2067,2067.39676817902,2047.1372383729424,0.09946969630178974,-40.08376330937699,12,53.769780488304,20,2030.0,2049.0,457.3578264001449,False,False,,False
Canada,ipcc_high,Logistic,ascending,B_fixed,0.1090699999999999,404.0,0.2,0.169212860740691,0.1618945877098614,0.4439124238134998,2072.6200311448715,2080.754694048396,1.376313556657367,2058,32.699410607159194,0.17276990362596822,0.16835943291969152,0.44391242292905125,1.376313556657367,2064,2063.854838106003,2056.032538671477,0.08093913516623563,-16.899855942392605,6,13.52931231937282,20,2030.0,2049.0,594.9212676439639,False,False,,False
Canada,maximum,Gompertz,ascending,A,0.1090699999999999,4040.0,0.2,0.1035427768432287,0.0173421152376041,0.3070322157475426,2110.1996893022406,2165.6960135356485,0.7022869525915928,2059,50.6172105892743,0.16862888931268039,0.037714718756116566,0.3070322156753238,0.7022869525915928,2078,2078.1200468532716,2052.6015309565273,0.012529012522097599,-87.57596668237693,19,34.31664206029991,20,2030.0,2049.0,376.1988208803012,False,False,,False
Canada,maximum,Logistic,ascending,A,0.10907,4040.0,0.2,0.1545279746072891,0.1474960497791229,0.3070322157474827,2092.393403016311,2101.3221702537858,0.8810587010600796,2058,22.752198049156945,0.15711661466581894,0.15489645425141263,0.30703221575345535,0.8810587010600796,2064,2064.4463779712332,2055.944195637303,0.005631732190385382,-36.87579228255254,6,10.717304971525564,20,2030.0,2049.0,590.6360111842889,False,False,,False
Canada,policy,Gompertz,ascending,B_fixed,0.10907,404.0,0.2,0.0662079714224016,0.0130961772731594,0.060000000002207,2117.3387282785757,2190.8276273706556,1.001639579195372,2117,183.7717167963122,0.0707342669776132,0.014815874359001375,0.06000000038701178,1.001639579195372,2165,2165.358406214434,2100.3994556456823,0.4548804871195847,-25.469221156221465,48,0.5729356992046041,20,2030.0,2049.0,105.63663147927863,False,False,,False
Canada,policy,Logistic,ascending,B_fixed,0.1090699999999999,404.0,0.2,0.0912467437199575,0.0904286055215101,0.060000000000527,2106.3027620583966,2120.866272015559,0.9322456736911938,2081,40.839267818326825,0.09052075798197046,0.09130875488153037,0.06000000314053926,0.9322456736911938,2095,2094.864921082274,2080.441792668865,0.10108729658001689,-26.00135093328481,14,0.25195026487828676,16,2033.0,2048.0,499.3336670926212,False,False,,False
Canada,reference,Gompertz,ascending,A,0.10907,404.0,0.2,0.1233105773661677,0.0237539236920691,0.2960625123588741,2078.152190904377,2118.6685983238613,0.7022869525915928,2061,51.6858966991837,0.16521436271037415,0.036934908427810165,0.2960625117296105,0.7022869525915928,2079,2079.2279829929057,2053.1706921781665,0.1279353878692666,-39.44061533095555,18,22.163716391021605,20,2030.0,2049.0,366.81357944788294,False,False,,False
Canada,reference,Logistic,ascending,A,0.1090699999999999,404.0,0.2,0.1519240980329125,0.1464673176479215,0.2960625123588293,2077.109160467911,2086.1006400558044,1.3763131134351696,2061,36.60866737143196,0.15319988635168924,0.15038112144002191,0.2960625123376105,1.3763131134351696,2069,2068.655561116878,2059.8980928634574,0.09061551329562367,-17.4450789389266,8,5.402412061548456,20,2030.0,2049.0,604.0059652989949,False,False,,False
Canada,us1gt,Gompertz,ascending,A,0.10907,404.0,0.2,0.1233618395009653,0.023763245851481,0.2964057038280505,2078.133301128021,2118.6338142369746,0.7022869525915928,2061,51.65170398657497,0.16532138722876444,0.03695935882560208,0.29640570351149376,0.7022869525915928,2079,2079.192509902047,2053.152457241487,0.12785075244201727,-39.441304334927736,18,22.21703058398372,20,2030.0,2049.0,367.08852178492384,False,False,,False
Canada,us1gt,Logistic,ascending,A,0.1090699999999999,404.0,0.2,0.1519724989318754,0.1465108295780657,0.2964057038280061,2077.0951696216007,2086.0839788496796,1.3763131134351696,2061,36.59673348787066,0.15325286948154404,0.15043015944483945,0.2964057038061429,1.3763131134351696,2069,2068.6407861250545,2059.8861726766277,0.09058597397987786,-17.443192724625078,8,5.4164771990134195,20,2030.0,2049.0,603.9780511268459,False,False,,False
China,growth10,Logistic,ascending,A,0.06987,403.0,0.1,0.0724913316299104,0.0723207514249255,0.0214367762329029,2131.5327418070483,2149.742700511528,2.2490764618808976,2117,124.24614272566406,0.07210700791032076,0.07240712387657351,0.021436776233098292,2.2490764618808976,2133,2133.343712830877,2115.1554762815326,0.3083030836865113,-16.398987680650862,16,0.00919347266417625,0,,,678.1575448350376,True,False,,False
China,ipcc_low,Gompertz,ascending,B_fixed,0.06987,403.0,0.25,0.0893076573600665,0.0169370564521451,0.0879426999999775,2100.6319590383146,2157.4555076188185,1.9664131170842947,2121,302.30073895095194,0.09146965405298602,0.01768194501264852,0.08794269999999109,1.9664131170842947,2150,2150.1766802980055,2095.746941407247,0.7501259031040991,-7.2788273208129795,29,0.34329212845587986,19,2031.0,2049.0,114.28610589637029,False,False,,False
China,ipcc_low,Logistic,ascending,B_fixed,0.06987,403.0,0.25,0.1213683348255795,0.1183739675613612,0.0879427000000461,2092.0315795186334,2103.156980855225,2.755774300570958,2081,92.79360452063739,0.12075839762442131,0.11879156175932669,0.0879426999888846,2.755774300570958,2091,2090.532442503011,2079.4461508723566,0.23025708317776028,-12.624538352213676,10,0.16982554910539155,10,2039.0,2048.0,972.8460345006955,False,False,,False
China,maximum,Gompertz,ascending,A,0.0698699999999999,4030.0,0.25,0.1349912755549015,0.021730893036475,0.513725921073499,2095.9001692709967,2140.188438901876,1.3896182280057474,2059,91.36874836408556,0.20548450190416045,0.04134207861348201,0.5137259234493583,1.3896182280057474,2078,2077.669234664286,2054.389716981657,0.022672145996051007,-62.5192042375902,19,54.279833710126375,20,2030.0,2049.0,785.1182739770219,False,False,,False
China,maximum,Logistic,ascending,A,0.06987,4030.0,0.25,0.1970091942717815,0.1843633591957552,0.5137259210581473,2082.3187761868276,2089.4620496803773,2.355637315138754,2059,49.866407876777295,0.19777454029338393,0.18895584546291497,0.5137259016636347,2.355637315138754,2065,2064.765076208105,2057.795416742432,0.0123737984805899,-24.696973472272475,6,10.945569713196878,20,2030.0,2049.0,1286.0574781256064,False,False,,False
