Region_no,Region_name,Q [Mt/y] for t= 10 y,Q [Mt/y] for t= 20 y,Q [Mt/y] for t= 30 y,Q [Mt/y] for t= 40 y,Q [Mt/y] for t= 50 y,Q [Mt/y] for t= 60 y,Q [Mt/y] for t= 70 y,Q [Mt/y] for t= 80 y,Q [Mt/y] for t= 90 y,Q [Mt/y] for t= 100 y,Q [Mt/y] for t= 110 y,Q [Mt/y] for t= 120 y,Q [Mt/y] for t= 130 y,Q [Mt/y] for t= 140 y,Q [Mt/y] for t= 150 y
3,Al Daww,1681,1024,676,484,361,361,272,225,225,182,182,110,110,110,110
9,Arabian,12656,12656,12656,12656,12656,3906,3906,3906,3906,3906,3906,3906,3906,3906,3906
44,Diyarbakir,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,Gaziantep,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,Levantine,6724,2652,1406,1406,1406,600,600,600,600,600,600,210,210,210,210
97,Mesopotamian,9409,9409,9409,3306,3306,3306,3306,3306,3306,1640,1640,1640,1640,1640,1640
126,Oman Salt,2601,1406,870,576,576,420,420,324,324,256,256,256,196,196,169
151,Sabatayn,1681,676,484,361,225,225,225,182,182,110,110,110,110,110,110
162,Sayun-Masila,1024,484,484,484,361,361,225,225,225,225,225,225,225,225,225
167,Sinjar,484,225,182,110,110,72,72,64,56,42,36,36,36,36,36
172,South Caspian,8010,2970,2970,2970,1521,1521,1521,930,930,930,930,930,625,625,625
184,Thrace,4096,1936,1936,1122,1122,729,729,729,729,506,506,506,380,380,380
202,Zagros,9409,9409,9409,9409,3249,3249,3249,3249,3249,3249,3249,3249,1640,1640,1640
