year,total_rate
2030,16.086959829587098
2031,18.6434795647718
2032,21.6062487843583
2033,25.0398133612311
2034,29.0189708996441
2035,33.6303978133645
2036,38.9745342330909
2037,45.167767458962494
2038,52.344961055533396
2039,60.6623840517616
2040,70.3011032031853
2041,81.4709110629875
2042,94.4148738800364
2043,109.4145963054431
2044,126.7963147797374
2045,146.9379485512447
2046,170.27725682948542
2047,197.3212729171469
2048,228.6572116240263
2049,264.9650751960021
2050,307.03221574748267
2051,355.7701491135676
2052,412.2339564523548
2053,477.6446560756582
2054,553.4149789991832
2055,641.1790375274588
2056,742.8264364901526
2057,860.5414407776927
2058,996.8478792462399
2059,1154.6605317019335
2060,1337.3438092024483
2061,1548.7785934169444
2062,1793.438141207145
2063,2076.473976007287
2064,2403.8126642663638
2065,2782.264294478491
2066,3219.6433130469086
2067,3724.9020920931957
2068,4308.277165755766
2069,4981.447417325714
2070,5757.702558451305
2071,6652.11892487162
2072,7681.7378128332775
2073,8865.739169245653
2074,10225.600282699505
2075,11785.225048330012
2076,13571.024249652448
2077,15611.921000375856
2078,17939.247981276712
2079,20586.49449828983
2080,23588.85202603216
2081,26982.4975061742
2082,30803.545499259246
2083,35086.59532156796
2084,39862.80041478396
2085,45157.39827888842
2086,50986.66516316823
2087,57354.30570309409
2088,64247.358772340885
2089,71631.79994699196
2090,79448.14671391765
2091,87607.51606811603
2092,95988.72625235857
2093,104437.14386982267
2094,112766.01256142255
2095,120760.9137445332
2096,128187.76566517388
2097,134804.35199414205
2098,140374.81654051406
2099,144685.9508613677
2100,147563.56783383933
2101,148886.9462853066
2102,148599.37175431923
2103,146713.23256635666
2104,143308.89895579778
2105,138527.5565583483
2106,132559.06996192824
2107,125626.61530738184
2108,117970.11594099176
2109,109830.4211981972
2110,101435.7636202391
2111,92991.45209563519
2112,84673.15523838133
2113,76623.617462466
2114,68952.29493757575
2115,61737.213889204955
2116,55028.31602660651
2117,48851.622615919434
2118,43213.674124367324
2119,38105.84791349414
2120,33508.29525549149
2121,29393.355780095895
2122,25728.39649029155
2123,22478.084157742935
2124,19606.13812782235
2125,17076.630572685368
2126,14854.908260884631
2127,12908.208472462748
2128,11206.035301962644
2129,9720.353800285831
2130,8425.649910826656
2131,7298.895001130281
2132,6319.445549020356
2133,5468.901460766223
2134,4730.940624407742
2135,4091.1425625568036
2136,3536.810315498663
2137,3056.7968052808383
2138,2641.3397533375824
2139,2281.9076094697825
2140,1971.0577781782276
2141,1702.3075984926884
2142,1470.0179632744525
2143,1269.2890878331432
2144,1095.8677041877095
2145,946.0648267296132
2146,816.68317723989
2147,704.9533495310837
2148,608.4778196485192
2149,525.1819543181248
2150,453.2712293716828
2151,391.19393498715334
2152,337.6087114532595
2153,291.3563249461176
2154,251.4351556188112
2155,216.9799290876023
2156,187.2432765196666
2157,161.5797578147104
2158,139.432026809639
2159,120.3188572212278
2160,103.82478345230679
2161,89.59114173262921
2162,77.30832472953401
2163,66.7090870674152
2164,57.562760510653504
2165,49.6702561999109
2166,42.8597476046931
2167,36.9829420271122
2168,31.911860831408298
2169,27.5360592929011
2170,23.760226271564
2171,20.5021119849196
2172,17.6907391643036
2173,15.26485892803
2174,13.1716179713267
2175,11.3654081993119
2176,9.806873872731801
2177,8.4620547256799
2178,7.301646455924
2179,6.300362526481
