scenario,model,ceiling_kind,med_targeted,med_feasible,reduction_pct,n_countries_targeted,n_countries_feasible,removed_countries
minimum,Logistic,min,0.553069,0.553069,0.0,10,10,
minimum,Logistic,mean,0.553069,0.553069,0.0,10,10,
minimum,Gompertz,min,0.506504,0.506504,0.0,10,10,
minimum,Gompertz,mean,0.506504,0.506504,0.0,10,10,
growth10,Logistic,min,0.753542,0.753542,0.0,10,10,
growth10,Logistic,mean,0.753542,0.753542,0.0,10,10,
growth10,Gompertz,min,0.725992,0.725992,0.0,10,10,
growth10,Gompertz,mean,0.725992,0.725992,0.0,10,10,
ipcc_low,Logistic,min,1.211271,1.211271,0.0,7,7,
ipcc_low,Logistic,mean,1.211271,1.211271,0.0,7,7,
ipcc_low,Gompertz,min,0.865983,0.865983,0.0,7,7,
ipcc_low,Gompertz,mean,0.865983,0.865983,0.0,7,7,
policy,Logistic,min,3.079413,3.079413,0.0,10,10,
policy,Logistic,mean,3.079413,3.079413,0.0,10,10,
policy,Gompertz,min,2.782398,2.782398,0.0,10,10,
policy,Gompertz,mean,2.782398,2.782398,0.0,10,10,
us1gt,Logistic,min,4.061895,4.005347,1.3922,10,10,
us1gt,Logistic,mean,4.061895,4.006296,1.3688,10,10,
us1gt,Gompertz,min,3.553471,3.088531,13.0841,10,10,
us1gt,Gompertz,mean,3.553471,3.080987,13.2964,10,10,
reference,Logistic,min,5.687874,5.606133,1.4371,10,10,
reference,Logistic,mean,5.687874,5.636325,0.9063,10,10,
reference,Gompertz,min,4.255412,3.794313,10.8356,10,10,
reference,Gompertz,mean,4.255412,3.814123,10.3701,10,10,
ipcc_high,Logistic,min,7.481524,7.481524,0.0,8,8,
ipcc_high,Logistic,mean,7.481524,7.481524,0.0,8,8,
ipcc_high,Gompertz,min,5.176843,4.732931,8.575,7,6,Canada
ipcc_high,Gompertz,mean,5.176843,4.732931,8.575,7,6,Canada
maximum,Logistic,min,7.453004,7.023886,5.7577,10,10,
maximum,Logistic,mean,7.453004,6.986028,6.2656,10,10,
maximum,Gompertz,min,8.151875,5.098378,37.4576,10,10,
maximum,Gompertz,mean,8.151875,5.109714,37.3185,10,10,
