Scenario,"Targeted 2050 rate, Logistic (Gt/yr)","Targeted 2050 rate, Gompertz (Gt/yr)","Feasibility reduction, L (%)","Feasibility reduction, G (%)",Binding cases (of n),Earliest binding year,Modeled jurisdictions (L/G)
Minimum,0.55,0.51,0.0,0.0,0 of 20,—,10/10
Growth 10%,0.75,0.73,0.0,0.0,3 of 20,2098,10/10
IPCC Low,1.21,0.87,0.0,0.0,2 of 15,2081,7/7
Policy,3.08,2.78,0.0,0.0,5 of 20,2069,10/10
US 1 Gt,4.06,3.55,1.4,13.1,5 of 20,2061,10/10
Reference,5.69,4.26,1.4,10.8,5 of 20,2061,10/10
IPCC High,7.48,5.18,0.0,8.6,3 of 15,2055,8/7
Maximum,7.45,8.15,5.8,37.5,16 of 20,2058,10/10
