Country,Storage capacity (Gt),2030 Cumulative Storage (Gt),2030 Cumulative Storage (Mt),2030 Storage Rate (Mt/Year),Growth_to_Tn_%,BASE_YEAR,END_YEAR
UK,7.8,0.11352,113.52,46.21,10.0,2030,2430
US,50.6,1.35543,1355.43,190.28,10.0,2030,2430
EU,9.4,0.40919,409.19,109.51,10.0,2030,2430
China,40.3,0.06987,69.87,9.06,10.0,2030,2430
Middle East,4.56,0.09961,99.61,21.4,10.0,2030,2430
Australia,50.24,0.0619,61.9,7.7,10.0,2030,2430
Canada,40.4,0.10907,109.07,19.94,10.0,2030,2430
Indonesia,1.59,0.0177,17.7,5.9,10.0,2030,2430
Thailand,1.05,0.004,4.0,1.0,10.0,2030,2430
Brazil,30.0,0.3266,326.6,14.2,10.0,2030,2430
