Country,Storage capacity (Gt),2030 Cumulative Storage (Gt),2030 Cumulative Storage (Mt),2030 Storage Rate (Mt/Year),Growth_to_Tn_%,BASE_YEAR,END_YEAR
UK,780.0,0.11352,113.52,46.21,20.0,2030,2430
US,5060.0,1.35543,1355.43,190.28,20.0,2030,2430
EU,940.0,0.40919,409.19,109.51,20.0,2030,2430
China,4030.0,0.06987,69.87,9.06,25.0,2030,2430
Middle East,456.0,0.09961,99.61,21.4,20.0,2030,2430
Australia,5024.0,0.0619,61.9,7.7,20.0,2030,2430
Canada,4040.0,0.10907,109.07,19.94,20.0,2030,2430
Indonesia,159.0,0.0177,17.7,5.9,20.0,2030,2430
Thailand,105.0,0.004,4.0,1.0,20.0,2030,2430
Brazil,3000.0,0.3266,326.6,14.2,20.0,2030,2430
