Region_no,Region_name,Period_yr,Region_Q_Mt_yr,Number_of_Wells,Max_Capacity_Gt,Max_Q_Mt_yr,Optimum_Q_Mt_yr,Distance_km,AssignedCountry,RegionGroup,ScreeningCase
1,Adavale,10,0.2086665692234202,1,0.0020866656922342,0.2086665692234202,0.2086665692234202,2.0,Australia,South Pacific,Australia
1,Adavale,20,0.2064365407036738,1,0.0041287308140734,0.2064365407036738,0.2064365407036738,2.0,Australia,South Pacific,Australia
1,Adavale,30,0.2051564737601203,1,0.0061546942128036,0.2051564737601203,0.2051564737601203,2.0,Australia,South Pacific,Australia
1,Adavale,40,0.2042589068987762,1,0.008170356275951,0.2042589068987762,0.2042589068987762,2.0,Australia,South Pacific,Australia
1,Adavale,50,0.2035686900995162,1,0.0101784345049758,0.2035686900995162,0.2035686900995162,2.0,Australia,South Pacific,Australia
1,Adavale,60,0.2030085783727699,1,0.0121805147023661,0.2030085783727699,0.2030085783727699,2.0,Australia,South Pacific,Australia
1,Adavale,70,0.2025376754380633,1,0.0141776372806644,0.2025376754380633,0.2025376754380633,2.0,Australia,South Pacific,Australia
1,Adavale,80,0.2021317178264695,1,0.0161705374261175,0.2021317178264695,0.2021317178264695,2.0,Australia,South Pacific,Australia
1,Adavale,90,0.2017751349793109,1,0.0181597621481379,0.2017751349793109,0.2017751349793109,2.0,Australia,South Pacific,Australia
1,Adavale,100,0.2014573423408936,1,0.0201457342340893,0.2014573423408936,0.2014573423408936,2.0,Australia,South Pacific,Australia
1,Adavale,110,0.2011708197355802,1,0.0221287901709138,0.2011708197355802,0.2011708197355802,2.0,Australia,South Pacific,Australia
1,Adavale,120,0.2009100338498477,1,0.0241092040619817,0.2009100338498477,0.2009100338498477,2.0,Australia,South Pacific,Australia
1,Adavale,130,0.2006707958381424,1,0.0260872034589585,0.2006707958381424,0.2006707958381424,2.0,Australia,South Pacific,Australia
1,Adavale,140,0.2004498589910228,1,0.0280629802587431,0.2004498589910228,0.2004498589910228,2.0,Australia,South Pacific,Australia
1,Adavale,150,0.2002446563261861,1,0.0300366984489279,0.2002446563261861,0.2002446563261861,2.0,Australia,South Pacific,Australia
3,Al Daww,10,2099.1597709871003,1681,20.991597709871,6.077806046016759,1.248756556208864,4.8,Syria,Middle East,Middle East
