year,total_rate
2030,0.5845902731806
2031,0.6765420032456999
2032,0.7829422835689
2033,0.9060564270929
2034,1.0485032112793
2035,1.2133094523985
2036,1.4039728093081
2037,1.6245339903279001
2038,1.8796596807384
2039,2.1747376614403002
2040,2.5159857484311003
2041,2.9105763430837
2042,3.3667785372646
2043,3.8941198540446
2044,4.5035698082407
2045,5.2077475189552
2046,6.0211555677746995
2047,6.9604421293346
2048,8.0446930490954
2049,9.2957549315645
2050,10.738589332908798
2051,12.4016566985716
2052,14.3173265886089
2053,16.5223077907283
2054,19.0580878890232
2055,21.9713664450557
2056,25.3144588256147
2057,29.145638519031802
2058,33.5293741627327
2059,38.5364031592883
2060,44.243566534660395
2061,50.733309726087406
2062,58.092731904781395
2063,66.412043638407
2064,75.7822717094016
2065,86.2920348099222
2066,98.0232106971104
2067,111.0453325794314
2068,125.40860068893319
2069,141.1354865360235
2070,158.21105463927802
2071,176.5723388821915
2072,196.09738939887438
2073,216.5949378468983
2074,237.7959792187344
2075,259.3488748676922
2076,280.8197545780719
2077,301.69992773774953
2078,321.4216024582151
2079,339.3823957109529
2080,354.9779202513956
2081,367.6402964389405
2082,376.8790229092357
2083,382.3195940948313
2084,383.7349101946213
2085,381.0650967204562
2086,374.4228243633817
2087,364.0833306430016
2088,350.4606351101921
2089,334.0733962850934
2090,315.5050710268743
2091,295.3633165549603
2092,274.2429856731186
2093,252.6958679871744
2094,231.20887415432358
2095,210.1909738152022
2096,189.9681089889981
2097,170.784615855052
2098,152.8093917058215
2099,136.1450620755163
2100,120.8386282406703
2101,106.89240364992119
2102,94.27439776707159
2103,82.9276239484848
2104,72.778066861553
2105,63.741236637702606
2106,55.727365857352396
2107,48.645382282439506
2108,42.4058276263564
2109,36.9229025414249
2110,32.1158104021258
2111,27.9095550049854
2112,24.2353254048478
2113,21.0305783191125
2114,18.2389069943323
2115,15.8097662691121
2116,13.698107232662402
2117,11.8639613981193
2118,10.2720034741613
2119,8.891113302704499
2120,7.693950972666101
2121,6.6565541669782
2122,5.757963132433201
2123,4.9798760034272
2124,4.3063353307323
2125,3.7234453776436003
2126,3.219118898765
2127,2.7828515944024
2128,2.4055221456522
2129,2.079215613174
2130,1.7970679746675
2131,1.5531296439537
2132,1.3422459303374
2133,1.1599525404239999
2134,1.0023843815321
2135,0.8661960864762
2136,0.7484928371353
2137,0.6467702146956
2138,0.5588619451657
2139,0.48289453844630004
2140,0.41724793730309995
2141,0.3605213992024
2142,0.3115039294515
2143,0.2691486691863
2144,0.2325507171585
2145,0.2009279308865
2146,0.1736043113545
2147,0.1499956268998
2148,0.12959697698029998
2149,0.11197203589440001
2150,0.09674375089162296
2151,0.08358629903844993
2152,0.07221813326981977
2153,0.062395970693696255
2154,0.053909595907622856
2155,0.04657736914336294
2156,0.04024234388669473
2157,0.03476891145142899
2158,0.03003990111321329
2159,0.02595407405572505
2160,0.02242395771575915
2161,0.019373974351920304
2162,0.016738823898417386
2163,0.014462086589616537
2164,0.012495015504326329
2165,0.010795493241454443
2166,0.009327130421351625
2167,0.008058486751123094
2168,0.006962397992365297
2169,0.006015394439033746
2170,0.005197198468491224
2171,0.0044902904173373245
2172,0.0038795334885849417
2173,0.0033518496716642434
2174,0.002895939731718135
2175,0.002502041282963964
2176,0.0021617197607159385
2177,0.0018676878251515383
2178,0.0016136493240791344
2179,0.0013941644791186489
