scenario,country,model,ceiling_kind,C_cap_gt,C_scenario_gt,failed_Part2,n_samples_before,n_samples_after,kept_frac,median_r2050_before,median_r2050_after,excluded_from_post_screening_bootstrap
minimum,Australia,Logistic,min,50.24,50.24,False,1762,1762,1.0,0.018383660190020003,0.018383660190020003,False
minimum,Brazil,Logistic,min,30.0,30.0,False,2191,2191,1.0,0.0866173399091244,0.0866173399091244,False
minimum,Canada,Logistic,min,40.4,40.4,False,1716,1716,1.0,0.031399750177556654,0.031399750177556654,False
minimum,China,Logistic,min,40.3,40.3,False,1710,1710,1.0,0.0201381695575375,0.0201381695575375,False
minimum,EU,Logistic,min,9.4,9.4,False,1823,1823,1.0,0.0650973212460563,0.0650973212460563,False
minimum,Indonesia,Logistic,min,1.59,1.59,False,2479,2479,1.0,0.0046537366501096,0.0046537366501096,False
minimum,Middle East,Logistic,min,4.56,4.56,False,2346,2346,1.0,0.021700277046045248,0.021700277046045248,False
minimum,Thailand,Logistic,min,1.05,1.05,False,1695,1695,1.0,0.0015123677223303,0.0015123677223303,False
minimum,UK,Logistic,min,7.8,7.8,False,2368,2368,1.0,0.02804696813679485,0.02804696813679485,False
minimum,US,Logistic,min,50.6,50.6,False,2084,2084,1.0,0.2770151224795566,0.2770151224795566,False
minimum,Australia,Gompertz,min,50.24,50.24,False,1519,1519,1.0,0.0169201030896837,0.0169201030896837,False
minimum,Brazil,Gompertz,min,30.0,30.0,False,1706,1706,1.0,0.07399705785348434,0.07399705785348434,False
minimum,Canada,Gompertz,min,40.4,40.4,False,1477,1477,1.0,0.0290227932176831,0.0290227932176831,False
minimum,China,Gompertz,min,40.3,40.3,False,1438,1438,1.0,0.01841793034721535,0.01841793034721535,False
minimum,EU,Gompertz,min,9.4,9.4,False,934,934,1.0,0.06443710612750285,0.06443710612750285,False
minimum,Indonesia,Gompertz,min,1.59,1.59,False,1971,1971,1.0,0.004100054749017,0.004100054749017,False
minimum,Middle East,Gompertz,min,4.56,4.56,False,1623,1623,1.0,0.0192678611964837,0.0192678611964837,False
minimum,Thailand,Gompertz,min,1.05,1.05,False,1311,1311,1.0,0.001508862414996,0.001508862414996,False
minimum,UK,Gompertz,min,7.8,7.8,False,1811,1811,1.0,0.0250734046592576,0.0250734046592576,False
minimum,US,Gompertz,min,50.6,50.6,False,1407,1407,1.0,0.240917812619169,0.240917812619169,False
reference,Australia,Logistic,min,284.2558600952059,502.4,True,1398,1398,1.0,0.16272398091750884,0.16272398091750884,False
reference,Brazil,Logistic,min,300.0,300.0,False,1859,1859,1.0,0.810514549729045,0.810514549729045,False
reference,Canada,Logistic,min,36.16087229580033,404.0,True,1425,1290,0.9052631578947369,0.2931624686654722,0.2683273876412849,False
reference,China,Logistic,min,84.27551601194598,403.0,True,1303,1240,0.9516500383729855,0.4891868711820887,0.47075196658143126,False
reference,EU,Logistic,min,94.0,94.0,False,2122,2122,1.0,0.6057089809944372,0.6057089809944372,False
reference,Indonesia,Logistic,min,15.9,15.9,False,1825,1825,1.0,0.0445580191225409,0.0445580191225409,False
reference,Middle East,Logistic,min,45.6,45.6,False,1997,1997,1.0,0.2053732940607553,0.2053732940607553,False
reference,Thailand,Logistic,min,10.5,10.5,False,1387,1387,1.0,0.010963007131439,0.010963007131439,False
reference,UK,Logistic,min,78.0,78.0,False,1932,1932,1.0,0.2608262746164113,0.2608262746164113,False
reference,US,Logistic,min,506.0,506.0,False,2102,2102,1.0,2.672621803554582,2.672621803554582,False
reference,Australia,Gompertz,min,502.4,502.4,False,2838,2838,1.0,0.1849261876007421,0.1849261876007421,False
reference,Brazil,Gompertz,min,300.0,300.0,False,2525,2525,1.0,0.5849656460785382,0.5849656460785382,False
reference,Canada,Gompertz,min,50.09622393580483,404.0,True,2803,1330,0.4744916161255797,0.3177947760148346,0.13787643914531045,False
reference,China,Gompertz,min,94.98511612324596,403.0,True,2574,1442,0.5602175602175602,0.4691371759574987,0.24122807831823428,False
reference,EU,Gompertz,min,94.0,94.0,False,2667,2667,1.0,0.396414227734425,0.396414227734425,False
reference,Indonesia,Gompertz,min,15.9,15.9,False,2509,2509,1.0,0.0301133322689061,0.0301133322689061,False
reference,Middle East,Gompertz,min,45.6,45.6,False,2558,2558,1.0,0.12586156616313493,0.12586156616313493,False
reference,Thailand,Gompertz,min,10.5,10.5,False,2563,2563,1.0,0.010693852834226,0.010693852834226,False
reference,UK,Gompertz,min,78.0,78.0,False,2544,2544,1.0,0.17542324047966745,0.17542324047966745,False
reference,US,Gompertz,min,506.0,506.0,False,2569,2569,1.0,1.6311325643014205,1.6311325643014205,False
growth10,Australia,Logistic,min,455.1055392798051,502.4,True,1738,1738,1.0,0.01771744158467735,0.01771744158467735,False
growth10,Brazil,Logistic,min,300.0,300.0,False,1698,1698,1.0,0.0953411469418307,0.0953411469418307,False
growth10,Canada,Logistic,min,52.6488797329934,404.0,True,1786,1786,1.0,0.031277673808258896,0.031277673808258896,False
growth10,China,Logistic,min,122.67775940404135,403.0,True,1740,1740,1.0,0.0203286982155329,0.0203286982155329,False
growth10,EU,Logistic,min,94.0,94.0,False,1867,1867,1.0,0.1198678496025482,0.1198678496025482,False
growth10,Indonesia,Logistic,min,15.9,15.9,False,1908,1908,1.0,0.00505688737553865,0.00505688737553865,False
growth10,Middle East,Logistic,min,45.6,45.6,False,1870,1870,1.0,0.0293728840475336,0.0293728840475336,False
growth10,Thailand,Logistic,min,10.5,10.5,False,1559,1559,1.0,0.0015000418672235,0.0015000418672235,False
growth10,UK,Logistic,min,78.0,78.0,False,1742,1742,1.0,0.033575369817035794,0.033575369817035794,False
growth10,US,Logistic,min,506.0,506.0,False,1742,1742,1.0,0.38329298582765464,0.38329298582765464,False
growth10,Australia,Gompertz,min,502.4,502.4,False,1549,1549,1.0,0.0167272277717723,0.0167272277717723,False
growth10,Brazil,Gompertz,min,300.0,300.0,False,1461,1461,1.0,0.0870683708112816,0.0870683708112816,False
growth10,Canada,Gompertz,min,404.0,404.0,False,1535,1535,1.0,0.0293383496517002,0.0293383496517002,False
growth10,China,Gompertz,min,403.0,403.0,False,1540,1540,1.0,0.01892035103461415,0.01892035103461415,False
growth10,EU,Gompertz,min,94.0,94.0,False,1540,1540,1.0,0.11227943034584156,0.11227943034584156,False
growth10,Indonesia,Gompertz,min,15.9,15.9,False,1624,1624,1.0,0.0047332340429005,0.0047332340429005,False
growth10,Middle East,Gompertz,min,45.6,45.6,False,1551,1551,1.0,0.0269379097795868,0.0269379097795868,False
growth10,Thailand,Gompertz,min,10.5,10.5,False,1255,1255,1.0,0.0014805922954267,0.0014805922954267,False
growth10,UK,Gompertz,min,78.0,78.0,False,1441,1441,1.0,0.0307197478914228,0.0307197478914228,False
growth10,US,Gompertz,min,506.0,506.0,False,1472,1472,1.0,0.3524347481760446,0.3524347481760446,False
policy,Australia,Logistic,min,282.3460522005039,502.4,True,1394,1394,1.0,0.165981710953481,0.165981710953481,False
policy,Brazil,Logistic,min,300.0,300.0,False,1781,1781,1.0,0.8515908078627024,0.8515908078627024,False
policy,Canada,Logistic,min,39.846124622641554,404.0,True,1943,1943,1.0,0.0600000000000001,0.0600000000000001,False
policy,China,Logistic,min,88.91661564274123,403.0,True,1973,1973,1.0,0.216,0.216,False
policy,EU,Logistic,min,94.0,94.0,False,2012,2012,1.0,0.3300000000000005,0.3300000000000005,False
policy,Indonesia,Logistic,min,15.9,15.9,False,1900,1900,1.0,0.04535673238893825,0.04535673238893825,False
policy,Middle East,Logistic,min,45.6,45.6,False,2083,2083,1.0,0.2030620441091791,0.2030620441091791,False
policy,Thailand,Logistic,min,10.5,10.5,False,1403,1403,1.0,0.0111847729814405,0.0111847729814405,False
policy,UK,Logistic,min,78.0,78.0,False,2293,2293,1.0,0.175,0.175,False
policy,US,Logistic,min,506.0,506.0,False,1964,1964,1.0,1.0,1.0,False
policy,Australia,Gompertz,min,502.4,502.4,False,2877,2877,1.0,0.189819889027366,0.189819889027366,False
policy,Brazil,Gompertz,min,300.0,300.0,False,2403,2403,1.0,0.5888775199052202,0.5888775199052202,False
policy,Canada,Gompertz,min,182.91913650125727,404.0,True,4980,4980,1.0,0.06,0.06,False
policy,China,Gompertz,min,152.19100421667878,403.0,True,4468,4468,1.0,0.2159999999999999,0.2159999999999999,False
policy,EU,Gompertz,min,94.0,94.0,False,4770,4770,1.0,0.33,0.33,False
policy,Indonesia,Gompertz,min,15.9,15.9,False,2529,2529,1.0,0.0325184527999448,0.0325184527999448,False
policy,Middle East,Gompertz,min,45.6,45.6,False,2597,2597,1.0,0.126910112000752,0.126910112000752,False
policy,Thailand,Gompertz,min,10.5,10.5,False,2633,2633,1.0,0.0110564516556253,0.0110564516556253,False
policy,UK,Gompertz,min,78.0,78.0,False,4120,4120,1.0,0.1749999999999998,0.1749999999999998,False
policy,US,Gompertz,min,506.0,506.0,False,5145,5145,1.0,1.0,1.0,False
us1gt,Australia,Logistic,min,279.5837375599152,502.4,True,1425,1425,1.0,0.1735251699784238,0.1735251699784238,False
us1gt,Brazil,Logistic,min,300.0,300.0,False,1784,1784,1.0,0.8312073202722128,0.8312073202722128,False
us1gt,Canada,Logistic,min,36.14906838650704,404.0,True,1378,1240,0.8998548621190131,0.2934999361129361,0.2709430119226451,False
us1gt,China,Logistic,min,83.26838120722681,403.0,True,1280,1211,0.94609375,0.5202474783443181,0.5005530143755039,False
us1gt,EU,Logistic,min,94.0,94.0,False,2049,2049,1.0,0.6427877141514567,0.6427877141514567,False
us1gt,Indonesia,Logistic,min,15.9,15.9,False,1863,1863,1.0,0.0423116992091489,0.0423116992091489,False
us1gt,Middle East,Logistic,min,45.6,45.6,False,2047,2047,1.0,0.20402926832145,0.20402926832145,False
us1gt,Thailand,Logistic,min,10.5,10.5,False,1463,1463,1.0,0.0106230692844317,0.0106230692844317,False
us1gt,UK,Logistic,min,78.0,78.0,False,1906,1906,1.0,0.27617796813756085,0.27617796813756085,False
us1gt,US,Logistic,min,506.0,506.0,False,2025,2025,1.0,1.0,1.0,False
us1gt,Australia,Gompertz,min,502.4,502.4,False,2764,2764,1.0,0.18784721931314546,0.18784721931314546,False
us1gt,Brazil,Gompertz,min,300.0,300.0,False,2493,2493,1.0,0.5678173046126244,0.5678173046126244,False
us1gt,Canada,Gompertz,min,50.06276576136135,404.0,True,2670,1263,0.4730337078651685,0.3132661836532905,0.1399657792618593,False
us1gt,China,Gompertz,min,92.02169275641047,403.0,True,2548,1344,0.5274725274725275,0.49593080091031183,0.25285656291314673,False
us1gt,EU,Gompertz,min,94.0,94.0,False,2493,2493,1.0,0.400248421549237,0.400248421549237,False
us1gt,Indonesia,Gompertz,min,15.9,15.9,False,2498,2498,1.0,0.03030570038102855,0.03030570038102855,False
us1gt,Middle East,Gompertz,min,45.6,45.6,False,2605,2605,1.0,0.1265287957114095,0.1265287957114095,False
us1gt,Thailand,Gompertz,min,10.5,10.5,False,2657,2657,1.0,0.0106249470259855,0.0106249470259855,False
us1gt,UK,Gompertz,min,78.0,78.0,False,2505,2505,1.0,0.171652234874384,0.171652234874384,False
us1gt,US,Gompertz,min,506.0,506.0,False,5204,5204,1.0,1.0,1.0,False
maximum,Australia,Logistic,min,133.64221308728963,5024.0,True,1400,1400,1.0,0.1686350080274816,0.1686350080274816,False
maximum,Brazil,Logistic,min,902.9864110228922,3000.0,True,1394,1394,1.0,0.8980229925513199,0.8980229925513199,False
maximum,Canada,Logistic,min,22.5730394956223,4040.0,True,1382,1149,0.8314037626628076,0.3043728188095244,0.2565581651977635,False
maximum,China,Logistic,min,49.866407876777295,4030.0,True,1210,1105,0.9132231404958677,0.5123988086956872,0.4833309484022406,False
maximum,EU,Logistic,min,320.87292776354013,940.0,True,1427,1391,0.9747722494744219,1.1329526948301978,1.1115695097365,False
maximum,Indonesia,Logistic,min,159.0,159.0,False,1375,1375,1.0,0.0473023876331111,0.0473023876331111,False
maximum,Middle East,Logistic,min,456.0,456.0,False,1396,1396,1.0,0.27313325641473224,0.27313325641473224,False
maximum,Thailand,Logistic,min,19.082839954821484,105.0,True,1430,1430,1.0,0.01099893825673855,0.01099893825673855,False
maximum,UK,Logistic,min,49.85623484327664,780.0,True,1389,1296,0.9330453563714903,0.3159749677708011,0.29797528869300965,False
maximum,US,Logistic,min,396.0288516303883,5060.0,True,1447,1271,0.8783690393918452,3.539960896686716,3.171930688249456,False
maximum,Australia,Gompertz,min,503.6149240236891,5024.0,True,2884,2884,1.0,0.18104384462701062,0.18104384462701062,False
maximum,Brazil,Gompertz,min,1961.4005935422645,3000.0,True,2847,2847,1.0,0.957414459427729,0.957414459427729,False
maximum,Canada,Gompertz,min,49.050285504701286,4040.0,True,2910,1308,0.44948453608247424,0.33127173523927966,0.1405385422681833,False
maximum,China,Gompertz,min,91.36874836408556,4030.0,True,3102,1324,0.4268214055448098,0.6268051923072795,0.2478809410724701,False
