scenario,model,med_un,med_min,med_mean,reduction_min_pct,reduction_mean_pct
growth10,Gompertz,0.7225130092873149,0.7315915695498288,0.7256595141338603,-1.2565255083045512,-0.4354945594196469
growth10,Logistic,0.7560458776756396,0.7526822064177945,0.7494907922186398,0.44490306172771943,0.8670221808698364
ipcc_high,Gompertz,5.1701089588793625,4.72713673757423,4.726272142523899,8.56794750030081,8.584670456377896
ipcc_high,Logistic,7.48876689739036,7.493131372429735,7.482806753792871,-0.058280289654844,0.07958778366524699
ipcc_low,Gompertz,0.8666002708473979,0.8642047496112304,0.8745673023768139,0.2764274737446226,-0.9193433001844609
ipcc_low,Logistic,1.2116589494009222,1.2094132050793918,1.2036752224472402,0.1853445907894158,0.6589087595671561
maximum,Gompertz,8.223096753440775,5.077594911723089,5.143218479868519,38.25203492104746,37.45399532461475
maximum,Logistic,7.491263327848951,7.007530578510989,7.011880749239872,6.4572920236253495,6.399222102191537
minimum,Gompertz,0.5066805404161404,0.5053857390279579,0.5070976329847362,0.25554590810199507,-0.08231864761438779
minimum,Logistic,0.5533108414882342,0.552607941897044,0.5536300611279847,0.12703521031679488,-0.057692641425921565
policy,Gompertz,2.788285288749713,2.7847907666089986,2.7785592556303023,0.12532871563804004,0.3488177181385943
policy,Logistic,3.0747190588398485,3.0709318696812824,3.0783938613879718,0.12317187639234728,-0.11951669332384007
reference,Gompertz,4.294893239522034,3.7980806948374832,3.779112289856907,11.567517909708036,12.009168118985114
reference,Logistic,5.628169689273873,5.580285597704716,5.601549421362794,0.8507933167049786,0.47298268141794386
us1gt,Gompertz,3.551528288173536,3.086250442281992,3.081752497229615,13.100778260471769,13.227426415502809
us1gt,Logistic,4.078355059433877,4.015233363700722,4.009692688877134,1.5477243842991095,1.6835800109633814
