scenario,model,rate_2050_gt_yr
minimum,Logistic,0.6752872894974694
minimum,Logistic,0.5849913306651338
minimum,Logistic,0.5735995539760628
minimum,Logistic,0.6507564684277274
minimum,Logistic,0.5366036210401054
minimum,Logistic,0.49725695636828504
minimum,Logistic,0.3882526624563873
minimum,Logistic,0.60574598380965
minimum,Logistic,0.5819026393973268
minimum,Logistic,0.586665884502819
minimum,Logistic,0.5385287699313652
minimum,Logistic,0.5849602021622289
minimum,Logistic,0.4727945140307639
minimum,Logistic,0.6102571917577669
minimum,Logistic,0.6262317161528119
minimum,Logistic,0.6043561172354307
minimum,Logistic,0.4898857239136749
minimum,Logistic,0.6774128955192396
minimum,Logistic,0.6766521253387541
minimum,Logistic,0.6214821317572732
minimum,Logistic,0.6531867217274501
minimum,Logistic,0.4944153483632493
minimum,Logistic,0.39747927418648266
minimum,Logistic,0.7205779244678071
minimum,Logistic,0.5858355580690792
minimum,Logistic,0.613327312526022
minimum,Logistic,0.54280375284455
minimum,Logistic,0.42865857443129407
minimum,Logistic,0.48473493912531074
minimum,Logistic,0.8066488304026026
minimum,Logistic,0.7237023561859861
minimum,Logistic,0.7511863034574335
minimum,Logistic,0.5717369444288343
minimum,Logistic,0.655237428235745
minimum,Logistic,0.444372852447541
minimum,Logistic,0.7162723495726566
minimum,Logistic,0.5811778055665993
minimum,Logistic,0.4514451564626991
minimum,Logistic,0.4538992566280775
minimum,Logistic,0.5049380452341812
minimum,Logistic,0.6537262172752306
minimum,Logistic,0.40473318721322676
minimum,Logistic,0.3799962959459714
minimum,Logistic,0.4589617047637393
minimum,Logistic,0.7012184439823401
minimum,Logistic,0.42401801840621955
minimum,Logistic,0.6637605550145829
minimum,Logistic,0.508156400990561
minimum,Logistic,0.3802785998586934
minimum,Logistic,0.43911371998932686
minimum,Logistic,0.6877055579017917
minimum,Logistic,0.6442280320626923
minimum,Logistic,0.5697494689335111
minimum,Logistic,0.6314351281159897
minimum,Logistic,0.43171745567390585
minimum,Logistic,0.5740702003539796
minimum,Logistic,0.4663248714817553
minimum,Logistic,0.4309445860023737
minimum,Logistic,0.48019879000445154
minimum,Logistic,0.6698732007305856
minimum,Logistic,0.38831293240562015
minimum,Logistic,0.6013236456678037
minimum,Logistic,0.43151012088924035
minimum,Logistic,0.4968402611299438
minimum,Logistic,0.3981752620139161
minimum,Logistic,0.6116125881371551
minimum,Logistic,0.4848346831741559
minimum,Logistic,0.76071386943849
minimum,Logistic,0.566060306075012
minimum,Logistic,0.3500592717297749
minimum,Logistic,0.7481886122867605
minimum,Logistic,0.6334823201378927
minimum,Logistic,0.3738588825502128
minimum,Logistic,0.6049423357821868
minimum,Logistic,0.5352228476107748
minimum,Logistic,0.7002164695389377
minimum,Logistic,0.3690365818564294
minimum,Logistic,0.4594153610308336
minimum,Logistic,0.5467629650075286
minimum,Logistic,0.5494523111462487
minimum,Logistic,0.6454355392304265
minimum,Logistic,0.44977235584943176
minimum,Logistic,0.6755475158301049
minimum,Logistic,0.6290900343909569
minimum,Logistic,0.6541352499217079
minimum,Logistic,0.7075353123418529
minimum,Logistic,0.45349806934314096
minimum,Logistic,0.643376921282095
minimum,Logistic,0.6054516799586533
minimum,Logistic,0.5029846685161582
minimum,Logistic,0.41675596377339785
minimum,Logistic,0.5471684512057798
minimum,Logistic,0.6197750185481189
minimum,Logistic,0.6105933340484332
minimum,Logistic,0.5611134112186912
minimum,Logistic,0.48786786852026853
minimum,Logistic,0.4621883473739734
minimum,Logistic,0.44867213282422447
minimum,Logistic,0.5018378758960909
minimum,Logistic,0.6832369398301322
minimum,Logistic,0.7163893068025327
minimum,Logistic,0.3887577682387004
minimum,Logistic,0.6209982224203416
minimum,Logistic,0.6135606826208091
minimum,Logistic,0.6500774828250967
minimum,Logistic,0.5428785014069777
minimum,Logistic,0.589043650978583
minimum,Logistic,0.4670552886237387
minimum,Logistic,0.6323016788554392
minimum,Logistic,0.5556294323841134
minimum,Logistic,0.339882965815278
minimum,Logistic,0.5294096915331756
minimum,Logistic,0.46108201156552314
minimum,Logistic,0.4258508136262709
minimum,Logistic,0.45535680418478647
minimum,Logistic,0.3923533876238964
minimum,Logistic,0.6549916559944429
minimum,Logistic,0.3694033684058737
minimum,Logistic,0.5963582060255723
minimum,Logistic,0.5527563959905897
minimum,Logistic,0.41513990353574987
minimum,Logistic,0.33053392793432923
minimum,Logistic,0.6517588382428989
minimum,Logistic,0.7139314084620525
minimum,Logistic,0.5359824729718812
minimum,Logistic,0.5449275089433847
minimum,Logistic,0.6565363511704391
minimum,Logistic,0.537783281416281
minimum,Logistic,0.5728040617712256
minimum,Logistic,0.40408216120389884
minimum,Logistic,0.4187155646096672
minimum,Logistic,0.5559525384218656
minimum,Logistic,0.5767610988109115
minimum,Logistic,0.4009118229096422
minimum,Logistic,0.3957611420231305
minimum,Logistic,0.5751719898920454
minimum,Logistic,0.702916495711291
minimum,Logistic,0.5307109130000873
minimum,Logistic,0.4032705373781411
minimum,Logistic,0.4087963116294106
minimum,Logistic,0.5717561137359267
minimum,Logistic,0.6889701715534813
minimum,Logistic,0.4553113914707949
minimum,Logistic,0.5244901852676819
minimum,Logistic,0.6028013754430364
minimum,Logistic,0.4343642665764101
minimum,Logistic,0.4616767182477338
minimum,Logistic,0.6391076157836831
minimum,Logistic,0.5604807661232378
minimum,Logistic,0.44213341365468106
minimum,Logistic,0.6107669682007585
minimum,Logistic,0.564854074490701
minimum,Logistic,0.4211568258605487
minimum,Logistic,0.42042905831256316
minimum,Logistic,0.5320292207833808
minimum,Logistic,0.6106982711117908
minimum,Logistic,0.49084222037597725
minimum,Logistic,0.4578592591448021
minimum,Logistic,0.5798173049289189
minimum,Logistic,0.43085939684710606
minimum,Logistic,0.6612186688641473
minimum,Logistic,0.6004383986652277
minimum,Logistic,0.7118906824814724
minimum,Logistic,0.4536057489504235
minimum,Logistic,0.5486753153070557
minimum,Logistic,0.2619655636617929
minimum,Logistic,0.648232893419201
minimum,Logistic,0.6314479315955688
minimum,Logistic,0.5104383677373328
minimum,Logistic,0.7126570514733988
minimum,Logistic,0.5686115779454918
minimum,Logistic,0.5866911233596788
minimum,Logistic,0.6265550525982082
minimum,Logistic,0.38940775458033106
minimum,Logistic,0.7020265255250069
minimum,Logistic,0.46815727875148877
minimum,Logistic,0.49384060398043783
minimum,Logistic,0.3571005041583582
minimum,Logistic,0.6131854704935915
minimum,Logistic,0.7430308040793563
minimum,Logistic,0.5204434085271152
minimum,Logistic,0.4602974802929753
minimum,Logistic,0.45366980268924684
minimum,Logistic,0.6956484681206871
minimum,Logistic,0.7241492994475964
minimum,Logistic,0.690409156294675
minimum,Logistic,0.5746614519301827
minimum,Logistic,0.35495320507534533
minimum,Logistic,0.5079163572782373
minimum,Logistic,0.5047024019945756
minimum,Logistic,0.6045863407044877
minimum,Logistic,0.6494510460734827
minimum,Logistic,0.7251689849568581
minimum,Logistic,0.3816793403719385
minimum,Logistic,0.6940580976075226
minimum,Logistic,0.5343339422779848
minimum,Logistic,0.6757892331778635
minimum,Logistic,0.6606163568063741
minimum,Logistic,0.6839232039775833
minimum,Logistic,0.6092846881473168
minimum,Logistic,0.44218670663766146
minimum,Logistic,0.47560515132009157
minimum,Logistic,0.377618267849577
minimum,Logistic,0.5724411763127208
minimum,Logistic,0.6647775993808325
minimum,Logistic,0.6435300217584395
minimum,Logistic,0.3555023143346886
minimum,Logistic,0.6284599590863842
minimum,Logistic,0.5888122101547189
minimum,Logistic,0.5370994920556404
minimum,Logistic,0.5124662291437481
minimum,Logistic,0.412459934100615
