scenario,model,n_countries,countries,median,mean,std,p5,p25,p75,p95
minimum,Logistic,10,"Australia,Brazil,Canada,China,EU,Indonesia,Middle East,Thailand,UK,US",0.554492759982484,0.5488363209949181,0.11099044632556078,0.3627507469230049,0.46670706886992397,0.6343760830046596,0.7196104949524358
minimum,Gompertz,10,"Australia,Brazil,Canada,China,EU,Indonesia,Middle East,Thailand,UK,US",0.5061241301397366,0.5086598111683351,0.08192647679260161,0.3753257015688623,0.45090282703857953,0.5668569366955181,0.6449189457577824
reference,Logistic,10,"Australia,Brazil,Canada,China,EU,Indonesia,Middle East,Thailand,UK,US",5.67703347285577,5.661332793406374,1.5158525697582146,3.185475066452947,4.51468198834014,6.815856660238161,8.078977155450884
reference,Gompertz,10,"Australia,Brazil,Canada,China,EU,Indonesia,Middle East,Thailand,UK,US",4.279786316633823,4.415638527223767,1.2673429421926912,2.554554855198757,3.476452886063627,5.229924396539776,6.702631149088965
growth10,Logistic,10,"Australia,Brazil,Canada,China,EU,Indonesia,Middle East,Thailand,UK,US",0.7600746416882443,0.7818366606332147,0.22077129600974718,0.457888020720808,0.6141816523487404,0.934115694860677,1.175197602664293
growth10,Gompertz,10,"Australia,Brazil,Canada,China,EU,Indonesia,Middle East,Thailand,UK,US",0.7234670203605839,0.757313826130527,0.19939001538590048,0.4803030252422605,0.6080813897699935,0.8866235144518209,1.1324783209525926
policy,Logistic,10,"Australia,Brazil,Canada,China,EU,Indonesia,Middle East,Thailand,UK,US",3.076212456509914,3.1016601704133895,0.5156100554912573,2.3034030676688007,2.6987178072696336,3.4853221349118244,3.988643818149298
policy,Gompertz,10,"Australia,Brazil,Canada,China,EU,Indonesia,Middle East,Thailand,UK,US",2.7869795177965213,2.84550033722543,0.453237595684372,2.211304599317919,2.4895685866906656,3.1580445271098085,3.6762855859044117
us1gt,Logistic,10,"Australia,Brazil,Canada,China,EU,Indonesia,Middle East,Thailand,UK,US",4.070216331299344,4.084363810854891,0.7220424557059536,2.940879456638125,3.5668125992535518,4.58164684341685,5.30297371811169
us1gt,Gompertz,10,"Australia,Brazil,Canada,China,EU,Indonesia,Middle East,Thailand,UK,US",3.5553495130220494,3.5929239904743895,0.6865677251028672,2.530592294778608,3.093765906173399,4.0531334211315,4.793981927805121
maximum,Logistic,10,"Australia,Brazil,Canada,China,EU,Indonesia,Middle East,Thailand,UK,US",7.536891644049646,7.830507976907341,2.5910844403221915,4.0533100840534955,5.849559608015003,9.59264350590205,12.54186099596654
maximum,Gompertz,10,"Australia,Brazil,Canada,China,EU,Indonesia,Middle East,Thailand,UK,US",8.229749048505788,8.60640334921115,3.088902700064327,4.191378648667029,6.162824357434798,10.882400397318955,14.063474039197587
ipcc_high,Logistic,8,"Australia,Brazil,Canada,EU,Middle East,Thailand,UK,US",7.483889408634598,7.478800000750818,0.35629167771836195,6.902173353851942,7.2068277174561715,7.7520180117940445,8.047784816116183
ipcc_high,Gompertz,7,"Australia,Canada,EU,Middle East,Thailand,UK,US",5.175300431221057,5.2014331892982195,0.2833088459399427,4.784019131641976,4.989090497504237,5.387594970880125,5.709599424171552
ipcc_low,Logistic,7,"Australia,China,EU,Indonesia,Middle East,Thailand,UK",1.2065384116616653,1.1997716368866234,0.356569979261896,0.6089634147739247,0.9289583177276823,1.4696963732032526,1.7721987929877443
ipcc_low,Gompertz,7,"Australia,China,EU,Indonesia,Middle East,Thailand,UK",0.8674342246314959,0.897343396304081,0.2885670880329477,0.46959598504050626,0.6766853862595423,1.0955221721465414,1.4106532906838438
