scenario,model,ceiling_kind,unscreened,screened
minimum,Logistic,min,0.6626213364146089,0.594711977932584
minimum,Logistic,min,0.5416531627588443,0.37947095251667046
minimum,Logistic,min,0.551600198738079,0.5861737601192716
minimum,Logistic,min,0.3578630816066407,0.6479984235416929
minimum,Logistic,min,0.4641699815091349,0.5554194931104215
minimum,Logistic,min,0.5936094106410134,0.658540154560344
minimum,Logistic,min,0.5797576721089011,0.5272455705414216
minimum,Logistic,min,0.4285929889979593,0.4289272780436624
minimum,Logistic,min,0.49413111703411877,0.5667128859275131
minimum,Logistic,min,0.6330284957155747,0.5906486752838971
minimum,Logistic,min,0.6497998489368204,0.5622736361213752
minimum,Logistic,min,0.720120446702192,0.7070927297338037
minimum,Logistic,min,0.4335972020501082,0.6308060208399439
minimum,Logistic,min,0.6340593412528683,0.4209535042599741
minimum,Logistic,min,0.3753194432851993,0.4562586475793441
minimum,Logistic,min,0.4446951550562459,0.36908071248861446
minimum,Logistic,min,0.38023497974456255,0.4658866407269896
minimum,Logistic,min,0.502361532886213,0.5768877231167782
minimum,Logistic,min,0.5761207916565056,0.6150642463797951
minimum,Logistic,min,0.49232635795649793,0.5041331637537387
minimum,Logistic,min,0.6370420508021217,0.6645121549569335
minimum,Logistic,min,0.6110473209369884,0.4443406712124931
minimum,Logistic,min,0.5316412969274382,0.6108703340394135
minimum,Logistic,min,0.6015698674690142,0.6815931182774224
minimum,Logistic,min,0.5880375066290322,0.4143979037947716
minimum,Logistic,min,0.45165600555639285,0.4702611390522177
minimum,Logistic,min,0.707594606191275,0.5689471612069568
minimum,Logistic,min,0.36061827500767757,0.6388306029858601
minimum,Logistic,min,0.3823379855589195,0.5357063878685676
minimum,Logistic,min,0.45740701422646,0.6200806104944447
minimum,Logistic,min,0.7445769424234246,0.6667471794423232
minimum,Logistic,min,0.7296387559369972,0.5140283574614117
minimum,Logistic,min,0.469815358297175,0.6951808363453821
minimum,Logistic,min,0.659690852640967,0.3958537677777037
minimum,Logistic,min,0.6178851711259692,0.5058400152783635
minimum,Logistic,min,0.7576941916073535,0.6671979082217181
minimum,Logistic,min,0.4813575221047983,0.380786337374356
minimum,Logistic,min,0.4027245596324397,0.4713618107580534
minimum,Logistic,min,0.4710247107647174,0.6977095843600767
minimum,Logistic,min,0.477331310658207,0.6540245012388434
minimum,Logistic,min,0.5994419132191475,0.4139273552184086
minimum,Logistic,min,0.3030893174020469,0.3894604243112052
minimum,Logistic,min,0.6412332271038235,0.7483964181823008
minimum,Logistic,min,0.5598650538914229,0.6827812143631269
minimum,Logistic,min,0.4184801672466122,0.4499838943318658
minimum,Logistic,min,0.499176012409577,0.5812478060643025
minimum,Logistic,min,0.6290167269455867,0.6057025342466993
minimum,Logistic,min,0.6103699233836625,0.527278447734114
minimum,Logistic,min,0.47218851256319666,0.4145673665486062
minimum,Logistic,min,0.6021026885995296,0.5738734682471109
minimum,Logistic,min,0.6021251136041217,0.5322690753711957
minimum,Logistic,min,0.3429181682226385,0.4723534788093246
minimum,Logistic,min,0.5663749067230187,0.484419695588363
minimum,Logistic,min,0.49987518927876773,0.6256096645775862
minimum,Logistic,min,0.6165692961331359,0.5600135936156208
minimum,Logistic,min,0.44068136383317114,0.6602237818254411
minimum,Logistic,min,0.6476313078749751,0.5703030431237497
minimum,Logistic,min,0.5622804723061156,0.5604956142782909
minimum,Logistic,min,0.6357053564448326,0.47449675893675103
minimum,Logistic,min,0.6944627486784574,0.369656890613302
minimum,Logistic,min,0.6254520472664832,0.6279311621346617
minimum,Logistic,min,0.6051110971898019,0.5706214275270078
minimum,Logistic,min,0.4739357818751164,0.5064239059570098
minimum,Logistic,min,0.5484572300085282,0.46150374267433425
minimum,Logistic,min,0.6927060364193923,0.6490303395781838
minimum,Logistic,min,0.497561904598836,0.4116331233858344
minimum,Logistic,min,0.5660014193058974,0.6950940863426678
minimum,Logistic,min,0.5360892857913367,0.5082996730054894
minimum,Logistic,min,0.566601150299049,0.5340611284223425
minimum,Logistic,min,0.6403156144330714,0.6115723953784239
minimum,Logistic,min,0.5853491758423018,0.5110087629702038
minimum,Logistic,min,0.5053768583847119,0.41952518857619986
minimum,Logistic,min,0.5053800778728801,0.6419123787264238
minimum,Logistic,min,0.4821163473032577,0.3608792831252114
minimum,Logistic,min,0.4559827071056402,0.6610131137434017
minimum,Logistic,min,0.5438650358373311,0.6378290023393183
minimum,Logistic,min,0.641714977074241,0.6189541648343339
minimum,Logistic,min,0.6059912011544506,0.5869132055201176
minimum,Logistic,min,0.5396033645988293,0.687430980908996
minimum,Logistic,min,0.43638473626276897,0.5921841698696079
minimum,Logistic,min,0.6103422256769554,0.3131696377694888
minimum,Logistic,min,0.5631052342547797,0.401422639950872
minimum,Logistic,min,0.48067337941525645,0.3760690361345015
minimum,Logistic,min,0.6479852953589575,0.4335692731143147
minimum,Logistic,min,0.6021128299112997,0.33773022444329104
minimum,Logistic,min,0.6818834645834959,0.656562799624512
minimum,Logistic,min,0.4051317923736256,0.5117912196555794
minimum,Logistic,min,0.5750534487788432,0.4772393844366821
minimum,Logistic,min,0.5402417677594276,0.23751095135236108
minimum,Logistic,min,0.5719517142916992,0.5523192286604108
minimum,Logistic,min,0.6375573587492278,0.5993185942923931
minimum,Logistic,min,0.6132980759649784,0.5009345345613053
minimum,Logistic,min,0.3345061466742558,0.5737165185548091
minimum,Logistic,min,0.4630299565089601,0.36087518296225213
minimum,Logistic,min,0.6546797949921185,0.5141558258062077
minimum,Logistic,min,0.4908164171716365,0.40167895294592304
minimum,Logistic,min,0.45335769516756125,0.4384445930188416
minimum,Logistic,min,0.5850739175943211,0.41603505683357744
minimum,Logistic,min,0.5813486008773888,0.406331247458439
minimum,Logistic,min,0.4397242522526681,0.6596855510344921
minimum,Logistic,min,0.4386253945253348,0.6121240603726652
minimum,Logistic,min,0.48870286257918616,0.5828485502037759
minimum,Logistic,min,0.6735706076700216,0.46416116417863285
minimum,Logistic,min,0.3555413421183713,0.3815966588419739
minimum,Logistic,min,0.7141278997311443,0.4736502593219729
minimum,Logistic,min,0.3929833140368575,0.43295422870201555
minimum,Logistic,min,0.5597953509445732,0.6559493396736938
minimum,Logistic,min,0.44506738265304857,0.4644699888940573
minimum,Logistic,min,0.39808574737929725,0.6817899183141117
minimum,Logistic,min,0.4992415208194205,0.6333105955504239
minimum,Logistic,min,0.6531640827494007,0.6723613629364618
minimum,Logistic,min,0.5089165804542709,0.6551383671031215
