year,total_rate
2030,21.289403110074797
2031,25.2126479663072
2032,29.7239819210372
2033,34.8879323228739
2034,40.7725867071268
2035,47.449332628189104
2036,54.992535917146405
2037,63.47915795916501
2038,72.9883136928901
2039,83.6007731437181
2040,95.39841038804269
2041,108.4636048806909
2042,122.8786010384171
2043,138.7248328362329
2044,156.0822209209422
2045,175.0284503611306
2046,195.63823762219621
2047,217.9825956697929
2048,242.1281062602228
2049,268.1362084707179
2050,296.0625123588741
2051,325.9561463249898
2052,357.85914629325276
2053,391.80589423996696
2054,427.8226128941356
2055,465.92692263438937
2056,506.12746572461265
2057,548.4236020876273
2058,592.8051798313451
2059,639.2523827341398
2060,687.7356558845661
2061,738.2157096727218
2062,790.6436013631059
2063,844.9608925566102
2064,901.0998799856573
2065,958.9838962925535
2066,1018.5276767262484
2067,1079.637787063978
2068,1142.2131075268578
2069,1206.14536701553
2070,1271.3197216446506
2071,1337.6153713028339
2072,1404.9062078054692
2073,1473.0614881380486
2074,1541.9465263024783
2075,1611.4233973724515
2076,1681.3516475296667
2077,1751.5890040831835
2078,1821.992079761731
2079,1892.417065905405
2080,1962.7204095606655
2081,2032.7594698929547
2082,2102.393149766686
2083,2171.482498795209
2084,2239.8912846266335
2085,2307.4865296982
2086,2374.1390111564037
2087,2439.7237220964416
2088,2504.1202927181794
2089,2567.213370422187
2090,2628.8929582749774
2091,2689.054711654377
2092,2747.6001932414033
2093,2804.4370868525566
2094,2859.4793709044534
2095,2912.6474525706994
2096,2963.8682639283743
2097,3013.0753215985683
2098,3060.208751562613
2099,3105.2152809836725
2100,3148.048198983353
2101,3188.667288416175
2102,3227.038730752652
2103,3263.1349862259444
2104,3296.934651419336
2105,3328.4222964739542
2106,3357.588284080001
2107,3384.4285723822636
2108,3408.9445038835206
2109,3431.14258236967
2110,3451.034239809526
2111,3468.6355951021505
2112,3483.967206456836
2113,3497.0538190968764
2114,3507.924109879738
2115,3516.6104303241495
2116,3523.1485494305293
2117,3527.577397575868
2118,3529.9388126589593
2119,3530.277289567356
2120,3528.6397339346145
2121,3525.0752210558644
2122,3519.634760732117
2123,3512.3710687194834
2124,3503.3383453690985
2125,3492.5920619572735
2126,3480.1887551235727
2127,3466.185829757269
2128,3450.6413706001363
2129,3433.613962765869
2130,3415.1625213135326
2131,3395.346129954461
2132,3374.2238889187015
2133,3351.854771958532
2134,3328.297492422495
2135,3303.6103782937325
2136,3277.851256051008
2137,3251.0773431793837
2138,3223.3451491300802
2139,3194.7103845051415
2140,3165.227878222176
2141,3134.951502397262
2142,3103.9341046700024
2143,3072.227447683364
2144,3039.8821554222436
2145,3006.9476661083772
2146,2973.472191345053
2147,2939.5026812029864
2148,2905.0847949383565
2149,2870.2628770353385
2150,2835.079938268173
2151,2799.577641481923
2152,2763.796291796192
2153,2727.774830942291
2154,2691.5508354513813
2155,2655.1605184188443
2156,2618.6387345785533
2157,2582.0189884295555
2158,2545.3334451669866
2159,2508.612944178609
2160,2471.8870148782025
2161,2435.183894656976
2162,2398.530548744251
2163,2361.95269177872
2164,2325.4748109016155
2165,2289.1201901930917
2166,2252.9109362829377
2167,2216.868004976392
2168,2181.011228745314
2169,2145.359344944175
2170,2109.9300246193507
2171,2074.739901788895
2172,2039.8046030784203
2173,2005.138777606847
2174,1970.7561270236215
2175,1936.6694356064963
2176,1902.8906003362206
2177,1869.430660871297
2178,1836.2998293525925
2179,1803.507519973771
