year,total_rate
2030,66.6607164024727
2031,75.9552655380365
2032,86.1367086821274
2033,97.23483324842121
2034,109.2741990093414
2035,122.2736146203732
2036,136.2456817152437
2037,151.19641515120668
2038,167.1249462775715
2039,184.0233142748855
2040,201.8763487244105
2041,220.66164467358752
2042,240.34962961534208
2043,260.9037200444801
2044,282.2805636338668
2045,304.4303616202206
2046,327.2972647302068
2047,350.819834930366
2048,374.9315644599326
2049,399.56144300731825
2050,424.6345635159171
2051,450.0727569441732
2052,475.7952463448615
2053,501.7193108516984
2054,527.7609505471278
2055,553.8355437108263
2056,579.8584885903394
2057,605.7458225691231
2058,631.4148124093495
2059,656.7845100942163
2060,681.7762696657779
2061,706.3142213298553
2062,730.3256999618839
2063,753.7416259813813
2064,776.4968373551952
2065,798.5303722303755
2066,819.7857023782084
2067,840.210918245775
2068,859.7588669564398
2069,878.387245073968
2070,896.0586483462085
2071,912.7405809745666
2072,928.4054272172284
2073,943.0303883306566
2074,956.5973879894092
2075,969.0929494036734
2076,980.5080473821848
2077,990.8379385709231
2078,1000.0819730406627
2079,1008.2433903046461
2080,1015.3291027267848
2081,1021.3494691360014
2082,1026.3180612986162
2083,1030.2514257225519
2084,1033.1688430788402
2085,1035.0920873312623
2086,1036.0451864673576
2087,1036.0541865264795
2088,1035.146920425689
2089,1033.3527828942367
2090,1030.7025126440617
2091,1027.2279827285913
2092,1022.9619998764013
2093,1017.9381134307688
2094,1012.1904343815524
2095,1005.7534648424604
2096,998.6619382048484
2097,990.9506700886884
2098,982.6544201121352
2099,973.8077644129029
2100,964.4449787770396
2101,954.599932163228
2102,944.3059903528588
2103,933.5959294072886
2104,922.5018585732472
2105,911.0551522447064
2106,899.2863905640032
2107,887.225308225988
2108,874.900751035833
2109,862.3406397632693
2110,849.5719408328289
2111,836.6206433906193
2112,823.5117422926968
2113,810.2692265677563
2114,796.9160729171458
2115,783.4742438277277
2116,769.964689887441
2117,756.4073559092337
2118,742.8211904859713
2119,729.2241586167438
2120,715.63325706338
2121,702.0645321147421
2122,688.5330994552818
2123,675.0531658532448
2124,661.6380524026232
2125,648.3002190713879
2126,635.0512903265326
2127,621.9020816239666
2128,608.862626568219
2129,595.9422045631937
2130,583.1493687908273
2131,570.491974369365
2132,557.9772065571267
2133,545.6116088810121
2134,533.4011110816202
2135,521.3510567787312
2136,509.46623077201446
2137,497.7508859022111
2138,486.2087694077028
2139,474.84314872034497
2140,463.6568366527324
2141,452.6522159367126
2142,441.831263079979
2143,431.1955715140101
2144,420.74637401248873
2145,410.4845643646657
2146,400.4107182929717
2147,390.52511360853345
2148,380.82774960216847
2149,371.3183656719366
2150,361.99645919143444
2151,352.8613026257774
2152,343.9119599046356
2153,335.147302063798
2154,326.5660221685731
2155,318.16664953389676
2156,309.9475632573493
2157,301.9070050823876
2158,294.0430916100117
2159,286.35382587780623
2160,278.8371083258679
2161,271.4907471695342
2162,264.3124681991207
2163,257.29992402702567
2164,250.450702802623
2165,243.7623364153202
2166,237.232308206036
2167,230.85806020715629
2168,224.6369999307639
2169,218.566506724623
2170,212.64393771503327
2171,206.8666333552655
2172,201.23192259785
2173,195.7371277085245
2174,190.3795687391555
2175,185.1565676764422
2176,180.0654522826911
2177,175.1035596444162
2178,170.2682394439855
2179,165.5568569689936
